"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c"
"a0qWD00000GWknWYAT","false","Bulk Pledge Details","","","a0sWD00000XpwPEYAZ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42848430673618947","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GWknXYAT","false","Collateral Search Results","","","a0sWD00000XpwP4YAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42853911194284150","LLC_BI__Collateral__c","",""
"a0qWD00000GWknYYAT","false","Collateral Search Results","","","a0sWD00000XpwP6YAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42855338262284267","LLC_BI__Collateral__c","",""
"a0qWD00000GWknZYAT","false","Bulk Pledge Details","","","a0sWD00000XpwP1YAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42863673639779731","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GWknaYAD","false","Collateral Search Results","","","a0sWD00000XpwOoYAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42865362700638445","LLC_BI__Collateral__c","",""
"a0qWD00000GWyR5YAL","false","Bulk Pledge Details","","","a0sWD00000XqCnsYAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42870706745356320","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GWknbYAD","false","Collateral Search Results","","","a0sWD00000XpwOxYAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","4289077711468689","LLC_BI__Collateral__c","",""
"a0qWD00000GWkncYAD","false","Bulk Pledge Details","","","a0sWD00000XpwP7YAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42890787500455069","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GWxEQYA1","false","Bulk Pledge Details","","","a0sWD00000XqDPbYAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42922597703739427","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GWkndYAD","false","Bulk Pledge Details","","","a0sWD00000XpwP4YAJ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42925548671347554","LLC_BI__Loan_Collateral2__c","",""
