"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Product_Type__c","LLC_BI__Activate__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Booked__c","LLC_BI__Is_Closed__c","LLC_BI__Is_Covenant__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Stage__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Stage_and_Status__c"
"a45WD000001Cw8LYAS","false","P-0000002562","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lSYAS","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42718862421105335","Complete|Superseded"
"a45WD000001Cw8MYAS","false","P-0000002563","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lUYAS","false","1.0","Underwriting","false","false","false","false","false","Credit Underwriting","Open","42721821298803451","Credit Underwriting|Open"
"a45WD000001Cw8NYAS","false","P-0000002564","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lcYAC","false","1.0","Underwriting","false","false","false","false","false","Approval / Loan Committee","Open","42726105700080002","Approval / Loan Committee|Open"
"a45WD000001Cw8OYAS","false","P-0000002565","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lqYAC","false","2.0","Processing","false","false","false","false","false","Doc Prep","Open","42727588162890313","Doc Prep|Open"
"a1Vbn000007ly3AEAQ","","P-0000001395","","","","","","","","a0tbn000007pcYlAAI","true","","","true","true","true","false","false","Booked","Open","42737780582785158",""
"a45WD000001Cw8PYAS","false","P-0000002566","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lpYAC","false","4.0","Complete","true","true","true","false","false","Complete","Superseded","42751967356029826","Complete|Superseded"
"a45WD000001Cw8QYAS","false","P-0000002567","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lnYAC","false","3.0","Closing","false","true","false","false","false","Boarding","Open","42755194249578705","Boarding|Open"
"a45WD000001Cw8RYAS","false","P-0000002568","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lrYAC","false","0.0","Application","false","false","false","false","false","Qualification","Open","42758583066993798","Qualification|Open"
"a45WD000001Cw8SYAS","false","P-0000002569","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lwYAC","false","0.0","Application","false","false","false","false","false","Qualification","Open","42759371514927983","Qualification|Open"
"a1Vbn000007lxzrEAA","","P-0000001390","","","","","","","","a0tbn000007pcYlAAI","false","","","false","true","false","false","false","Boarding","Open","42763073530970611",""
"a1Vbn000007lxzjEAA","","P-0000001382","","","","","","","","a0tbn000007pcYnAAI","true","","","true","true","true","false","false","Booked","Open","42765171373795013",""
"a45WD000001Cw8TYAS","false","P-0000002570","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lVYAS","false","1.0","Underwriting","false","false","false","false","false","Credit Underwriting","Open","42767231385354363","Credit Underwriting|Open"
"a45WD000001Cw8UYAS","false","P-0000002571","2026-04-07T19:18:49.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","005al00000RVcKvAAL","2026-08-06T11:32:39.000Z","","","a47WD000000E4lrYAC","false","2.0","Processing","false","false","false","false","false","Processing","Open","42768046398830113","Processing|Open"
