"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003RDkeYAG","005al00000RVcKvAAL","false","Beneficial Owners","dep-add-beneficial-owner","Visualforce Page","nPORTAL__MultiRecordForm","","","","false","nPORTAL__ApplicationNavigation","","","","a0sWD00000Xo7cIYAR","","dep-add-beneficial-owner","","nPORTAL__LoanTopbar","42186480571830508"
"a0mWD000003RDkfYAG","005al00000RVcKvAAL","false","Booked Information","small-business-loan-post-approval-ui-booked-information-approved","","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7cDYAR","nforce__sub_navigation","","","n-icon-loan","42187887202144181"
"a0mWD000003RDyKYAW","005al00000RVcKvAAL","false","Pricing","loan-pricing-approved-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7jQYAR","nforce__sub_navigation","loan-pricing-approved-m","","nforce__topbar","42190124760937500"
"a0mWD000003RDyNYAW","005al00000RVcKvAAL","false","Loan Application","sba-application-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-misc5","false","nforce__navigation","","","","a0sWD00000Xo7acYAB","nforce__sub_navigation","sba-application-m","","nforce__topbar","42198002497026500"
"a0mWD000003RDTyYAO","005al00000RVcKvAAL","false","Injections","sba-la-injections","","nforce__korelatedlistchild","","","","false","nforce__navigation","","","","a0sWD00000Xo7VyYAJ","nforce__sub_navigation","","","nforce__topbar","42198362042803499"
"a0mWD000003RDTzYAO","005al00000RVcKvAAL","false","Approved Fees","fees-approved-m","","nforce__korelatedtable","","","n-icon-relationship","false","nforce__navigation","","","","a0sWD00000Xo7a6YAB","nforce__sub_navigation","fees-approved-m","","nforce__topbar","42199926702699300"
"a0mWD000003RDsvYAG","005al00000RVcKvAAL","false","Current Covenants","loan_current","","","","","","false","","","","","a0sWD00000Xo7jLYAR","","","","","42201189323852449"
"a0mWD000003RDyQYAW","005al00000RVcKvAAL","false","Add Sub-Loan","dmw-list-view-all-loans.dmw-row-action-add-sub-loan","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000Xo7l2YAB","","","","","42202242336910868"
"a0mWD000003RDkhYAG","005al00000RVcKvAAL","false","Loan Team","retail-loan-ui-loan-team","Visualforce Page","nforce__ncrelatedlist","","","n-icon-team","false","nforce__navigation","","","","a0sWD00000Xo7cgYAB","nforce__sub_navigation","retail-loan-ui-loan-team","","nforce__topbar","42204337172288567"
"a0mWD000003RDySYAW","005al00000RVcKvAAL","false","Manage Bill Points","product-bill-points","","llc_bi__productbillpoints","","","","false","nforce__navigation","","","","a0sWD00000Xo7l3YAB","nforce__sub_navigation","product-bill-points","","nforce__topbar","42205410667607300"
"a0mWD000003RDyTYAW","005al00000RVcKvAAL","false","Beneficial Ownership","relationship-beneficial-ownership-summary","Lightning Web Component","nforce__ncrelatedlist","","","","false","nforce__inline_navigation","","","","a0sWD00000Xo7l4YAB","nforce__sub_navigation","relationship-beneficial-ownership-summary","","nforce__topbar","42206727345973537"
"a0mWD000003RDU1YAO","005al00000RVcKvAAL","false","New Facility","action-pp-new-facility-m","","llc_bi__newfacility","","","fa fa-plus-square-o","false","nforce__navigation","","complex=1","","a0sWD00000Xo7mKYAR","nforce__sub_navigation","action-pp-new-facility-m","","nforce__topbar","42209309489467600"
"a0mWD000003RDyWYAW","005al00000RVcKvAAL","false","Deposits","relationship-deposits","Lightning Web Component","nforce__korelatedtable","","","n-icon-deposit","false","nforce__inline_navigation","","readonly=true","","a0sWD00000Xo7aPYAR","nforce__sub_navigation","relationship-deposits","","nforce__topbar","42210924393466700"
"a0mWD000003RDyZYAW","005al00000RVcKvAAL","false","Balance Details","balance-information-m","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000Xo7l5YAB","nforce__sub_navigation","balance-information-m","","nforce__topbar","42215548263675700"
"a0mWD000003RDU2YAO","005al00000RVcKvAAL","false","Certifications","certifications","","nforce__kogridlist","","","","false","nforce__navigation","","","","a0sWD00000Xo7bSYAR","nforce__sub_navigation","","","nforce__topbar","42217133810009794"
"a0mWD000003RDyaYAG","005al00000RVcKvAAL","false","Application","loc-loan-detail","","nretail__applicationdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000Xo7l6YAB","nFORCE__Blank","loc-loan-detail","","nretail__summaryheadertopbar","42218280546390400"
"a0mWD000003RDybYAG","005al00000RVcKvAAL","false","Counterparty Report","counterparty-report","Lightning Web Component","nforce__korelatedtable","","","n-icon-loan","false","nforce__inline_navigation","","readonly=true","","a0sWD00000Xo7l7YAB","nforce__sub_navigation","counterparty-report","","nforce__topbar","42218930709551500"
"a0mWD000003RDU3YAO","005al00000RVcKvAAL","false","Site Visits","relationship-site-visits","","nforce__ncrelatedlist","","","n-icon-loan","false","nforce__inline_navigation","","","","a0sWD00000Xo7aZYAR","nforce__sub_navigation","relationship-site-visits","","nforce__topbar","42219624150727000"
