"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9kgjYAB","false","SC-000024383","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAZ7YAP","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42201324532349364","LLC_BI__Collateral__c"
"a0vWD00000B9jJJYAZ","false","SC-000022877","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2gYAD","1.01","Collateral_Valuation_Titled_Mobile_Home","","0.0","false","","","Collateral Valuation","","false","42206872088823830","LLC_BI__Collateral__c"
"a0vWE00000GcnOHYAZ","false","SC-000031304","2026-08-11T16:29:19.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWE00000VlkYcYAJ","1.01","Collateral_Valuation_Titled_Mobile_Home","","","false","","","Collateral Address","","false","42206872088823831","LLC_BI__Collateral__c"
"a0vWD00000B9jJKYAZ","false","SC-000022878","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmi2YAD","1.01","Collateral_Valuation_Titled_Boats","","0.0","false","","","Collateral Valuation","","false","42244785783992750","LLC_BI__Collateral__c"
"a0vWD00000B9jJLYAZ","false","SC-000022879","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2cYAD","1.01","Collateral_Valuation_Vessel","","","false","","","Collateral Valuation","","false","42255708316706025","LLC_BI__Collateral__c"
"a0vWD00000B9jJMYAZ","false","SC-000022880","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiqYAD","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42256916355898128","LLC_BI__Collateral__c"
"a0vWD00000B9jJNYAZ","false","SC-000022881","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSmiHYAT","1.01","Collateral_Valuation_Possessory_Life_Ins","","","false","","","","","false","42260855840941589","LLC_BI__Collateral__c"
"a0vWD00000B9khmYAB","false","SC-000024448","2026-04-07T19:28:44.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GTAQAYA5","1.01","LLC_BI__Collateral_Search_Results","","","false","","","Search Results","","false","42269554666755069","LLC_BI__Collateral__c"
"a0vWD00000B9jJOYAZ","false","SC-000022882","2026-04-07T19:06:45.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GSc2eYAD","1.01","LLC_BI__Leased_Asset_Search_Results","","","false","","","Search Results","","false","42271488687128013","LLC_BI__Collateral__c"
"a0vWD00000B9ld9YAB","false","SC-000027988","2026-04-07T19:29:14.000Z","005al00000RVcKvAAL","2026-08-12T06:41:59.000Z","005al00000RVvFOAA1","2026-08-12T06:41:59.000Z","a0qWD00000GT8ZpYAL","2.02","Review_Pg_3508_Approved_in_Full","","0.0","false","a0vWD00000B9krDYAR","LLC_BI__Account__r","","","false","42275109629481255","Account"
