"Id","OwnerId","IsDeleted","Name","nFORCE__Conditional_Display_Criteria_Context__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Group__c","nFORCE__Has_Visibility_Criteria__c","nFORCE__Is_Default_Context_Child__c","nFORCE__Is_Forward_Navigation_Disabled__c","nFORCE__Is_Hidden__c","nFORCE__Order__c","nFORCE__Parent_Route__c","nFORCE__Primary_Button_Text__c","nFORCE__Question_Group__c","nFORCE__Route__c","nFORCE__Visibility_Criteria__c","nFORCE__lookupKey__c","Route_App_Name__c","Route_Screen__c","nPortal__Is_Portal_Enabled__c","nPortal__OA_Auto_Decision_Required__c","nPortal__OA_Business_Credit_Pull_Required__c","nPortal__OA_Credit_Pull_Required__c"
"a0jWE00000I6vIsYAJ","005al00000RVvFOAA1","false","21226","","","a0XWE000002gDQH2A2","false","false","false","false","1.0","a0mWE000003FDPjYAO","","","a0mWE000003FDJdYAO","","a2Dbn000005LhP6EAK","relationship-new-loan","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vItYAJ","005al00000RVvFOAA1","false","21227","","","a0XWE000002gDPr2AM","false","false","false","false","1.0","a0mWE000003FDPjYAO","","","a0mWE000003FDJdYAO","","a2Dbn000005LhP7EAK","relationship-new-loan","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vIuYAJ","005al00000RVvFOAA1","false","21228","","","a0XWE000002gDQH2A2","false","false","false","false","0.0","a0mWE000003FCtJYAW","","","a0mWE000003FCtJYAW","","a2Dbn000005LhP8EAK","relationship-ongoing-servicing","<a href=""/a0sWE000002YqWb"" target=""_blank"">Activities</a>","","","",""
"a0jWE00000I6vIvYAJ","005al00000RVvFOAA1","false","21229","","","a0XWE000002gDPr2AM","false","false","false","false","0.0","a0mWE000003FCtJYAW","","","a0mWE000003FCtJYAW","","a2Dbn000005LhP9EAK","relationship-ongoing-servicing","<a href=""/a0sWE000002YqWb"" target=""_blank"">Activities</a>","","","",""
"a0jWE00000I6vIwYAJ","005al00000RVvFOAA1","false","21230","","","a0XWE000002gDQH2A2","false","false","false","false","11.0","","","","a0mWE000003FCtJYAW","","a2Dbn000005LhPAEA0","relationship-ongoing-servicing","<a href=""/a0sWE000002YqWb"" target=""_blank"">Activities</a>","","","",""
"a0jWE00000I6vIxYAJ","005al00000RVvFOAA1","false","21231","","","a0XWE000002gDPr2AM","false","false","false","false","11.0","","","","a0mWE000003FCtJYAW","","a2Dbn000005LhPBEA0","relationship-ongoing-servicing","<a href=""/a0sWE000002YqWb"" target=""_blank"">Activities</a>","","","",""
"a0jWE00000I6vIyYAJ","005al00000RVvFOAA1","false","21232","","","a0XWE000002gDQH2A2","false","false","false","false","0.0","a0mWE000003FCtvYAG","","","a0mWE000003FCtvYAG","","a2Dbn000005LhPCEA0","relationship-opportunity","<a href=""/a0sWE000002YqWj"" target=""_blank"">Opportunities</a>","","","",""
"a0jWE00000I6vIzYAJ","005al00000RVvFOAA1","false","21233","","","a0XWE000002gDPr2AM","false","false","false","false","0.0","a0mWE000003FCtvYAG","","","a0mWE000003FCtvYAG","","a2Dbn000005LhPDEA0","relationship-opportunity","<a href=""/a0sWE000002YqWj"" target=""_blank"">Opportunities</a>","","","",""
"a0jWE00000I6vJ0YAJ","005al00000RVvFOAA1","false","21234","","","a0XWE000002gDQH2A2","false","false","false","false","4.0","","","","a0mWE000003FCtvYAG","","a2Dbn000005LhPEEA0","relationship-opportunity","<a href=""/a0sWE000002YqWj"" target=""_blank"">Opportunities</a>","","","",""
"a0jWE00000I6vJ1YAJ","005al00000RVvFOAA1","false","21235","","","a0XWE000002gDPr2AM","false","false","false","false","4.0","","","","a0mWE000003FCtvYAG","","a2Dbn000005LhPFEA0","relationship-opportunity","<a href=""/a0sWE000002YqWj"" target=""_blank"">Opportunities</a>","","","",""
"a0jWE00000I6vJ2YAJ","005al00000RVvFOAA1","false","21236","","","a0XWE000002gDQH2A2","false","false","false","false","2.0","a0mWE000003FDNbYAO","","","a0mWE000003FCzSYAW","","a2Dbn000005LhPGEA0","relationship-other-business","<a href=""/a0sWE000002YqWk"" target=""_blank"">Other Information</a>","","","",""
"a0jWE00000I6vJ3YAJ","005al00000RVvFOAA1","false","21237","","","a0XWE000002gDQH2A2","false","false","false","false","1.0","a0mWE000003FDNbYAO","","","a0mWE000003FDNbYAO","","a2Dbn000005LhPHEA0","relationship-overview-business","<a href=""/a0sWE000002YqWg"" target=""_blank"">Overview</a>","","","",""
"a0jWE00000I6vJ4YAJ","005al00000RVvFOAA1","false","21238","","","a0XWE000002gDPr2AM","false","false","false","false","1.0","a0mWE000003FCsYYAW","","","a0mWE000003FCsYYAW","","a2Dbn000005LhPIEA0","relationship-overview-individual","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vJ5YAJ","005al00000RVvFOAA1","false","21239","","","a0XWE000002gDQH2A2","false","false","false","false","0.0","","","","a0mWE000003FDNbYAO","","a2Dbn000005LhPJEA0","relationship-overview-business","<a href=""/a0sWE000002YqWg"" target=""_blank"">Overview</a>","","","",""
"a0jWE00000I6vJ6YAJ","005al00000RVvFOAA1","false","21240","","","a0XWE000002gDPr2AM","false","false","false","false","0.0","","","","a0mWE000003FCsYYAW","","a2Dbn000005LhPKEA0","relationship-overview-individual","<a href=""/"" target=""_blank""> </a>","","","",""
"a0jWE00000I6vJ7YAJ","005al00000RVvFOAA1","false","21241","","","a0XWE000002gDQW2A2","false","false","false","false","9010.0","a0mWE000003FCzUYAW","","","a0mWE000003FCzUYAW","","a2Dbn000005LhPMEA0","participations","<a href=""/a0sWE000002YqWG"" target=""_blank"">Participations</a>","","","",""
"a0jWE00000I6vJ8YAJ","005al00000RVvFOAA1","false","21242","","","a0XWE000002gDQW2A2","false","false","false","false","9000.0","","","","a0mWE000003FCzUYAW","","a2Dbn000005LhPOEA0","participations","<a href=""/a0sWE000002YqWG"" target=""_blank"">Participations</a>","","","",""
"a0jWE00000I6vJ9YAJ","005al00000RVvFOAA1","false","21243","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDQR2A2","false","false","false","false","1200.0","a0mWE000003FDKDYA4","","","a0mWE000003FDLJYA4","","a2Dbn000005LhPPEA0","sba-partner","<a href=""/a0sWE000002YqXG"" target=""_blank"">Loan Partner</a>","","","",""
"a0jWE00000I6vJAYAZ","005al00000RVvFOAA1","false","21244","","","a0XWE000002gDQR2A2","false","false","false","false","8200040.0","a0mWE000003FDMdYAO","","","a0mWE000003FDJ4YAO","","a2Dbn000005LhPQEA0","sba-form-1919B-m","<a href=""/a0sWE000002YqWz"" target=""_blank"">Previous SBA Loan</a>","","","",""
"a0jWE00000I6vJBYAZ","005al00000RVvFOAA1","false","21245","","{{IF=""A""}}{{COND=""A"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Qualification""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""B""}}{{COND=""B"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Proposal""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""C""}}{{COND=""C"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Credit Underwriting""}}{{SHOW_ROUTE}}{{ENDIF}}{{IF=""D""}}{{COND=""D"" FIELD=""LLC_BI__Loan__c.LLC_BI__Stage__c"" IS=""Final Review""}}{{SHOW_ROUTE}}{{ENDIF}}","a0XWE000002gDQR2A2","false","false","false","false","1020.0","a0mWE000003FDKDYA4","","","a0mWE000003FDK7YAO","","a2Dbn000005LhPREA0","sba-loan-pricing","<a href=""/a0sWE000002YqXF"" target=""_blank"">Pricing</a>","","","",""
"a0jWE00000I6vJCYAZ","005al00000RVvFOAA1","false","21246","","","a0XWE000002gDQH2A2","false","false","false","false","0.0","a0mWE000003FCxDYAW","","","a0mWE000003FCxDYAW","","a2Dbn000005LhPSEA0","relationship-product-packages","<a href=""/a0sWE000002YqWl"" target=""_blank"">Product Packages</a>","","","",""
"a0jWE00000I6vJDYAZ","005al00000RVvFOAA1","false","21247","","","a0XWE000002gDQR2A2","false","false","false","false","8200060.0","a0mWE000003FDMdYAO","","","a0mWE000003FDKGYA4","","a2Dbn000005LhPUEA0","sba-form-1919D-m","<a href=""/a0sWE000002YqX1"" target=""_blank"">Primary Account</a>","","","",""
"a0jWE00000I6vJEYAZ","005al00000RVvFOAA1","false","21248","","","a0XWE000002gDQR2A2","false","false","false","false","8300080.0","a0mWE000003FDN0YAO","","","a0mWE000003FDKnYAO","","a2Dbn000005LhPVEA0","sba-form-19207-m","<a href=""/a0sWE000002YqX9"" target=""_blank"">Primary Account</a>","","","",""
"a0jWE00000I6vJFYAZ","005al00000RVvFOAA1","false","21249","","","a0XWE000002gDPr2AM","false","false","false","false","0.0","a0mWE000003FCxDYAW","","","a0mWE000003FCxDYAW","","a2Dbn000005LhPWEA0","relationship-product-packages","<a href=""/a0sWE000002YqWl"" target=""_blank"">Product Packages</a>","","","",""
"a0jWE00000I6vJGYAZ","005al00000RVvFOAA1","false","21250","","","a0XWE000002gDQH2A2","false","false","false","false","5.0","","","","a0mWE000003FCxDYAW","","a2Dbn000005LhPXEA0","relationship-product-packages","<a href=""/a0sWE000002YqWl"" target=""_blank"">Product Packages</a>","","","",""
"a0jWE00000I6vJHYAZ","005al00000RVvFOAA1","false","21251","","","a0XWE000002gDPr2AM","false","false","false","false","5.0","","","","a0mWE000003FCxDYAW","","a2Dbn000005LhPYEA0","relationship-product-packages","<a href=""/a0sWE000002YqWl"" target=""_blank"">Product Packages</a>","","","",""
"a0jWE00000I6vJIYAZ","005al00000RVvFOAA1","false","21252","","","a0XWE000002gDQo2AM","false","false","false","false","1070.0","a0mWE000003FDLoYAO","","","a0mWE000003FDKkYAO","","a2Dbn000005LhPZEA0","referral-information-m","<a href=""/a0sWE000002YqgF"" target=""_blank"">Referral</a>","","","",""
"a0jWE00000I6vJJYAZ","005al00000RVvFOAA1","false","21253","","","a0XWE000002gDQW2A2","false","false","false","false","1070.0","a0mWE000003FDLoYAO","","","a0mWE000003FDKkYAO","","a2Dbn000005LhPbEAK","referral-information-m","<a href=""/a0sWE000002YqgF"" target=""_blank"">Referral</a>","","","",""
"a0jWE00000I6vJKYAZ","005al00000RVvFOAA1","false","21254","","","a0XWE000002gDQh2AM","false","false","false","false","1070.0","a0mWE000003FDLoYAO","","","a0mWE000003FDKkYAO","","a2Dbn000005LhPcEAK","referral-information-m","<a href=""/a0sWE000002YqgF"" target=""_blank"">Referral</a>","","","",""
"a0jWE00000I6vJLYAZ","005al00000RVvFOAA1","false","21255","","","a0XWE000002gDQH2A2","false","false","false","false","0.0","a0mWE000003FCu1YAG","","","a0mWE000003FCu1YAG","","a2Dbn000005LhPdEAK","relationship-referral-information","<a href=""/a0sWE000002YqWm"" target=""_blank"">Referrals</a>","","","",""
"a0jWE00000I6vJMYAZ","005al00000RVvFOAA1","false","21256","","","a0XWE000002gDPr2AM","false","false","false","false","0.0","a0mWE000003FCu1YAG","","","a0mWE000003FCu1YAG","","a2Dbn000005LhPeEAK","relationship-referral-information","<a href=""/a0sWE000002YqWm"" target=""_blank"">Referrals</a>","","","",""
"a0jWE00000I6vJNYAZ","005al00000RVvFOAA1","false","21257","","","a0XWE000002gDQH2A2","false","false","false","false","8.0","","","","a0mWE000003FCu1YAG","","a2Dbn000005LhPfEAK","relationship-referral-information","<a href=""/a0sWE000002YqWm"" target=""_blank"">Referrals</a>","","","",""
"a0jWE00000I6vJOYAZ","005al00000RVvFOAA1","false","21258","","","a0XWE000002gDPr2AM","false","false","false","false","8.0","","","","a0mWE000003FCu1YAG","","a2Dbn000005LhPgEAK","relationship-referral-information","<a href=""/a0sWE000002YqWm"" target=""_blank"">Referrals</a>","","","",""
