"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWE00000FWt4aYAD","false","SC-000022157","a0qWE00000USiWJYA1","1.01","SBL_Manual_Underwriting","","a0bWE000001bbIKYAY","0.0","false","","","","","false","07971640791248844","LLC_BI__Loan__c"
"a0vWE00000FSMDoYAP","false","SC-000020175","a0qWE00000UNVlPYAX","1.01","SBL_Approver_2_Details","","a0bWE000001bbIbYAI","0.0","false","","","","","false","08911663700626421","LLC_BI__Loan__c"
"a0vWE00000FSM3PYAX","false","SC-000019730","a0qWE00000UNVfzYAH","1.0","","","","","false","","","Change Memo","","false","08981560278867804","LLC_BI__Loan__c"
"a0vWE00000FSMR7YAP","false","SC-000021000","a0qWE00000UNVx4YAH","1.01","","","","","false","","","Loan Compliance","","false","09111619447516050","LLC_BI__Loan__c"
"a0vWE00000FSMW9YAP","false","SC-000021312","a0qWE00000UNVwuYAH","1.01","UI_Loan_Compliance_Certifications","","a0bWE000001bbHIYAY","0.0","false","","","","","false","09371619447516043","LLC_BI__Loan__c"
"a0vWE00000FSN31YAH","false","SC-000021850","a0qWE00000UNVxJYAX","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWE00000FSMRsYAP","LLC_BI__Legal_Entities__r","HMDA","","false","09401615577847196","LLC_BI__Legal_Entities__c"
"a0vWE00000FSMR8YAP","false","SC-000021001","a0qWE00000UNVx5YAH","1.01","","","a0bWE000001bbGnYAI","","false","","","","","false","1002","Account"
"a0vWE00000FWt08YAD","false","SC-000021981","a0qWE00000USgmjYAD","1.01","UI_Relationship_Relationship_Information","","","","false","","","","","false","1003","Account"
"a0vWE00000FWt09YAD","false","SC-000021982","a0qWE00000USgmPYAT","1.01","","","","","false","","","","","false","1004","Account"
"a0vWE00000FWswVYAT","false","SC-000022250","a0qWE00000USgmPYAT","2.01","nFORCE__UI_Lookup_Fields","","","","false","a0vWE00000FWt09YAD","Contacts","","","false","1005","Contact"
"a0vWE00000FWt0AYAT","false","SC-000021983","a0qWE00000USgmsYAD","1.01","","","","","false","","","","","false","1006","Account"
"a0vWE00000FWswWYAT","false","SC-000022251","a0qWE00000USgmsYAD","2.01","UI_Relationship_Referrals","","","","false","a0vWE00000FWt0AYAT","nRE__Referrals__r","","","false","1007","nRE__Referral__c"
"a0vWE00000FSMR9YAP","false","SC-000021002","a0qWE00000UNVwmYAH","1.01","","","a0bWE000001bbGoYAI","0.0","false","","","","","false","1010","LLC_BI__Treasury_Service__c"
"a0vWE00000FSN32YAH","false","SC-000021851","a0qWE00000UNVwmYAH","2.01","","","a0bWE000001bbGpYAI","0.0","false","a0vWE00000FSMR9YAP","LLC_BI__Product_Package__r","","","false","1011","LLC_BI__Product_Package__c"
