"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c","LastViewedDate","LastReferencedDate"
"a2Fbn000000CzGxEAK","","SBL Primary Identification- Passport","a2Gbn000000kG3oEAE","false","false","false","false","false","80.0","slide","true","false","false","false","","true","","a2Ibn000000NRBQEA4","MappedSObjectScreenResource","","10271666029075339","Contact","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""Contact.cm_Primary_ID_Type__c"" IS=""Passport""}}{{ENDIF}}","a2Fbn000000CzGuEAK","","","false","false","","","","","",""
"a2Fbn000000C3iIEAS","","Booked Information","a2Gbn000000hcfqEAA","false","false","false","true","false","1.0","slide","true","false","false","false","","false","","a2Ibn000000M69KEAS","MappedSObjectScreenResource","","10361585604341048","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000DvQhEAK","","Mailing Address","a2Gbn000000mZAKEA2","false","false","true","false","false","1645.0","slide","true","false","false","false","","true","","a2Ibn000000OjsxEAC","MappedSObjectScreenResource","","11051598553323932","Contact","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","a2Fbn000000DvSOEA0","","","false","false","","","","","",""
"a2Fbn000000C3WyEAK","","Underwriting_Overview","a2Gbn000000hcdNEAQ","false","false","true","true","false","6.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","11151560278867256","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3hIEAS","","Post Closing Review","a2Gbn000000hceBEAQ","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M68zEAC","MappedSObjectScreenResource","","11651585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3X0EAK","","Loan Details","a2Gbn000000hcdKEAQ","false","false","false","false","false","1.0","slide","true","false","false","false","","true","","a2Ibn000000M66xEAC","MappedSObjectScreenResource","","11841560278867257","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3k7EAC","","Booked Information","a2Gbn000000hcgoEAA","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","12571620937672164","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3kLEAS","","Draw Overview Summary","a2Gbn000000hch0EAA","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","12591620937672170","LLC_BI__Budget__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3cEEAS","","Booked Information","a2Gbn000000hcfREAQ","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","a2Ibn000000Ojs2EAC","MappedSObjectScreenResource","","12721585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzGZEA0","","Loan Compliances (HMDA Effective-2018)","a2Gbn000000kG3cEAE","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","13251663700625413","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000C3UAEA0","","Enhanced Fees Management","a2Gbn000000hcg5EAA","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","14331619447515161","LLC_BI__Loan__c","false","false","","","","","false","false","","","","","",""
"a2Fbn000000CzH6EAK","","SBL Business Info","a2Gbn000000kG3qEAE","false","false","false","false","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","15021666029075345","Account","false","false","","","","","false","false","","","","","",""
