"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HAeu2AG","005al00000RVcKvAAL","false","a5VWD000000HAeu","","","false","false","false","true","","","$","true","","","","42008346076837918"
"a5VWD000000HAXi2AO","005al00000RVcKvAAL","false","a5VWD000000HAXi","","","false","false","false","true","","","$","false","","","","42008346280024165"
"a5VWD000000HAff2AG","005al00000RVcKvAAL","false","a5VWD000000HAff","","","false","false","false","true","","","$","false","","","","42008392918042526"
"a5VWD000000HBFP2A4","005al00000RVcKvAAL","false","a5VWD000000HBFP","","","false","false","false","true","","","m","false","","","","42008451320706474"
"a5VWD000000HAkT2AW","005al00000RVcKvAAL","false","a5VWD000000HAkT","","","false","false","false","true","","","m","false","","","","42008625231004477"
"a5VWD000000HAfy2AG","005al00000RVcKvAAL","false","a5VWD000000HAfy","","","false","false","false","true","","","m","false","","","","42008638247581750"
"a5VWD000000HB522AG","005al00000RVcKvAAL","false","a5VWD000000HB52","","","false","false","false","true","","","$","false","","","","42008703942230861"
"a5VWD000000HB7O2AW","005al00000RVcKvAAL","false","a5VWD000000HB7O","","","false","false","false","true","","","mm","true","","","","42008914136812638"
"a5VWD000000HAet2AG","005al00000RVcKvAAL","false","a5VWD000000HAet","","","false","false","false","true","","","$","true","","","","42009355999598432"
"a5VWD000000HB4P2AW","005al00000RVcKvAAL","false","a5VWD000000HB4P","","","false","false","false","true","","","mm","true","","","","42010747057483428"
"a5VWD000000HAcV2AW","005al00000RVcKvAAL","false","a5VWD000000HAcV","","","false","false","false","true","","","m","false","","","","42011055614490003"
"a5VWD000000HAxN2AW","005al00000RVcKvAAL","false","a5VWD000000HAxN","","","false","false","false","true","","","m","true","","","","42011141904452708"
"a5VWD000000HApg2AG","005al00000RVcKvAAL","false","a5VWD000000HApg","","","false","false","false","true","","","m","true","","","","42011142139838050"
