"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002Fmk12AC","005al00000RVcKvAAL","false","FC-002368","","","","","","","","cm_Referring_Loan_Officer__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDsYAP","","false","","42011403114485058","LLC_BI__Loan__c"
"a0SWD000002Fmdh2AC","005al00000RVcKvAAL","false","FC-001976","","","","","","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","","LLC_BI__Income_Type__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHNAwYAP","","false","","42017678075385560","LLC_BI__Income__c"
"a0SWD000002Fmln2AC","005al00000RVcKvAAL","false","FC-002478","","","","","","","","LLC_BI__HMDA_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNMaYAP","","false","","42030579773915075","LLC_BI__Loan__c"
"a0SWD000002KEnH2AW","005al00000RVcKvAAL","false","FC-002504","","Registered Address Street","","","","","","SIOC__Address1Line2__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuRtYYAV","","false","","42036584670590207","SIOC__CompanyInfo__c"
"a0SWD000002KEnI2AW","005al00000RVcKvAAL","false","FC-002505","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuRmVYAV","","false","","42044457071802355","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmdi2AC","005al00000RVcKvAAL","false","FC-001977","","","","","100","","","LLC_BI__Ownership_Percent__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNAJYA5","","false","","42044963066399826","LLC_BI__Connection__c"
"a0SWD000002FmWE2A0","005al00000RVcKvAAL","false","FC-001513","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHNPoYAP","","false","","42048633114611653","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmdj2AC","005al00000RVcKvAAL","false","FC-001978","","","","","","","All applicant emails must be unique and in correct email format 'name@example.com'","Email","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHNAsYAP","The email address listed will be notified to log in and complete application... etc","false","","42056096975555324","Contact"
"a0SWD000002Fmk22AC","005al00000RVcKvAAL","false","FC-002369","","","","","","","","Referral_Company__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDsYAP","","false","","42059324596224584","LLC_BI__Loan__c"
"a0SWD000002Fmlo2AC","005al00000RVcKvAAL","false","FC-002479","","","","","","","","LLC_BI__Reg_O_Loan__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNMaYAP","","false","","42064980757766906","LLC_BI__Loan__c"
"a0SWD000002Fmdk2AC","005al00000RVcKvAAL","false","FC-001979","","","","","{{artifact}}","","","LLC_BI__Deposit__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNAUYA5","","false","","42085915559474043","LLC_BI__Beneficiary__c"
"a0SWD000002KEyq2AG","005al00000RVcKvAAL","false","FC-002544","","Commercial Lender","","","","","","Online_Application_Commercial_Lender__c","","","","false","","","false","false","true","false","false","false","false","false","false","","","a0qWD00000JuTaaYAF","","false","","42100665359272035","LLC_BI__Loan__c"
"a0SWD000002KEyr2AG","005al00000RVcKvAAL","false","FC-002545","","City","","","","","","LLC_BI__City__c","","","","false","","","false","false","false","false","false","false","false","false","false","","3.0","a0qWD00000JuTKGYA3","","false","","42109664031051052","LLC_BI__Address__c"
"a0SWD000002KEys2AG","005al00000RVcKvAAL","false","FC-002546","","State","","","","","","LLC_BI__State__c","","","","false","","","false","false","false","false","false","false","false","false","false","","3.0","a0qWD00000JuTKGYA3","","false","","421096644031051052","LLC_BI__Address__c"
"a0SWD000002KEyt2AG","005al00000RVcKvAAL","false","FC-002547","","Postal Code","","","","","","LLC_BI__Postal_Code__c","","","","false","","","false","false","false","false","false","false","false","false","false","","3.0","a0qWD00000JuTKGYA3","","false","","42109664403331051052","LLC_BI__Address__c"
"a0SWD000002FmfP2AS","005al00000RVcKvAAL","false","FC-002082","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","true","false","true","false","","","a0qWD00000JHNCxYAP","","false","","42131868360334692","LLC_BI__Entity__r"
"a0SWD000002Fmlp2AC","005al00000RVcKvAAL","false","FC-002480","","","","","","","","HVCRE_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuUMpYAN","","false","","42143663429075267","LLC_BI__Loan__c"
"a0SWD000002FmfV2AS","005al00000RVcKvAAL","false","FC-002088","","","","","","","","LLC_BI__Borrower_Type__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNAhYAP","","false","","42149372608275315","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmk32AC","005al00000RVcKvAAL","false","FC-002370","","","","","","","","Referral_Fee_Type__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDsYAP","","false","","42173044214036834","LLC_BI__Loan__c"
"a0SWD000002KEyu2AG","005al00000RVcKvAAL","false","FC-002548","","","","","","","","SIOC__CompanyId__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuTQwYAN","","false","","42177650003785919","SIOC__CompanyInfo__c"
"a0SWD000002KEyv2AG","005al00000RVcKvAAL","false","FC-002549","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuTVfYAN","","false","","42179581075293944","Daily_Limit_Change__c"
"a0SWD000002Fmlq2AC","005al00000RVcKvAAL","false","FC-002481","","","","","","","","LLC_BI__Allocated_Facility_Amount__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNMbYAP","","false","","42182148697712431","LLC_BI__Loan__c"
"a0SWD000002FmWF2A0","005al00000RVcKvAAL","false","FC-001514","","","","","","","","Paid_Defaults_2k__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","a0qWD00000JHNMZYA5","","false","","42182148697712435","LLC_BI__Loan__c"
"a0SWD000002FmWG2A0","005al00000RVcKvAAL","false","FC-001515","","","","","","","","LLC_BI__InterestRate__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","a0qWD00000JHNNRYA5","","false","","42182148697712436","LLC_BI__Loan__c"
"a0SWD000002FmWH2A0","005al00000RVcKvAAL","false","FC-001516","","","","","","","","LLC_BI__Amount__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","a0qWD00000JHNNRYA5","","false","","42182148697712437","LLC_BI__Loan__c"
"a0SWD000002FmWI2A0","005al00000RVcKvAAL","false","FC-001517","","","","","","","","LLC_BI__Monthly_Payment__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","a0qWD00000JHNNRYA5","","false","","42182148697712438","LLC_BI__Loan__c"
"a0SWD000002FmWJ2A0","005al00000RVcKvAAL","false","FC-001518","","","","","","","","LLC_BI__Payment_Schedule__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","a0qWD00000JHNNRYA5","","false","","42182148697712439","LLC_BI__Loan__c"
"a0SWD000002FmWK2A0","005al00000RVcKvAAL","false","FC-001519","","","","","","","","LLC_BI__Term_Months__c","","","","false","","","false","false","false","false","false","false","false","false","true","","","a0qWD00000JHNNRYA5","","false","","42182148697712440","LLC_BI__Loan__c"
"a0SWD000002KEnJ2AW","005al00000RVcKvAAL","false","FC-002506","","Registered Address Building Number","","","","","","SIOC__Address1Line1__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuRtYYAV","","false","","42194115327754436","SIOC__CompanyInfo__c"
"a0SWD000002KEnK2AW","005al00000RVcKvAAL","false","FC-002507","","","","","","","","LLC_BI__Borrower_Type__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuRmVYAV","","false","","42202455729635182","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmk42AC","005al00000RVcKvAAL","false","FC-002371","","","","","","","","nSBA__Is_Agent_Involved__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDsYAP","","false","","42202600021058784","LLC_BI__Loan__c.LLC_BI__Application__c"
"a0SWD000002KEnL2AW","005al00000RVcKvAAL","false","FC-002508","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuRtHYAV","","false","","42232764291109098","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmk52AC","005al00000RVcKvAAL","false","FC-002372","","","","","","","","Most_Recent_Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNHoYAP","","false","","42235122483005548","LLC_BI__Product_Package__c"
"a0SWD000002FmWL2A0","005al00000RVcKvAAL","false","FC-001520","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHN5VYAX","","false","","42242293480412932","LLC_BI__Credit_Memo_Modifcation__c"
"a0SWD000002KEnM2AW","005al00000RVcKvAAL","false","FC-002509","","Do not display","","","-","","","SIOC__Address1Line4__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JuRtYYAV","","false","","42252366127546577","SIOC__CompanyInfo__c"
"a0SWD000002KEyX2AW","005al00000RVcKvAAL","false","FC-002525","","","","","","","","BtestFC","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuTBdYAN","","false","","42257460974503118","."
"a0SWD000002KEnN2AW","005al00000RVcKvAAL","false","FC-002510","","","","","","","","Name","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHOR1YAP","","false","","42258866755038037","LLC_BI__Loan__r"
"a0SWD000002Fmdl2AC","005al00000RVcKvAAL","false","FC-001980","","","","","","","","FirstName","","","","false","","","false","false","false","false","false","false","false","false","false","","2.0","a0qWD00000JHNAsYAP","","false","","42274058602214080","Contact"
"a0SWD000002FmWM2A0","005al00000RVcKvAAL","false","FC-001521","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHN50YAH","","false","","42284339143491482","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmk62AC","005al00000RVcKvAAL","false","FC-002373","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNDrYAP","","false","","42285572135810069","LLC_BI__Loan__c"
"a0SWD000002Fmk72AC","005al00000RVcKvAAL","false","FC-002374","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNEEYA5","","false","","42286909285396963","LLC_BI__Product_Package__c"
"a0SWD000002KEnO2AW","005al00000RVcKvAAL","false","FC-002511","","","","","","","","LLC_BI__Approved_Loan_Amount__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JuRvVYAV","","false","","42330668526596006","LLC_BI__Loan__c"
"a0SWD000002Fmdm2AC","005al00000RVcKvAAL","false","FC-001981","","","","","a1f4S000000g2cYQAQ","","","LLC_BI__Connection_Role__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNA2YAP","","false","","42333834396384937","LLC_BI__Connection__c"
"a0SWD000002Fmk82AC","005al00000RVcKvAAL","false","FC-002375","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHNE9YAP","","false","","42338945786402186","LLC_BI__Loan__c"
"a0SWD000002KEyw2AG","005al00000RVcKvAAL","false","FC-002550","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuTd7YAF","","false","","42350435604359761","LLC_BI__Legal_Entities__c"
"a0SWD000002Fmfw2AC","005al00000RVcKvAAL","false","FC-002115","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHNCQYA5","","false","","42351442277867026","LLC_BI__Legal_Entities__c"
"a0SWD000002KEyx2AG","005al00000RVcKvAAL","false","FC-002551","","Registered Address Street","","","","","","SIOC__Address1Line2__c","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JuTQwYAN","","false","","42371126163724407","SIOC__CompanyInfo__c"
"a0SWD000002Fmdn2AC","005al00000RVcKvAAL","false","FC-001982","","","","","","","","Pa1test1","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHN9xYAH","","false","","42372324732844981","LLC_BI_Loan__c"
"a0SWD000002Fmdo2AC","005al00000RVcKvAAL","false","FC-001983","","","","","","","","Type","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHNAtYAP","","false","","42376365263587631","Account"
