"Id","IsDeleted","Name","LLC_BI__Classification__c","LLC_BI__Spread_Statement_Record__c","LLC_BI__lookupKey__c"
"a3fbn000000ft7IAAQ","","a3fbn000000ftzg","a3Ybn0000004xE2EAI","a18bn000001a1RSAAY","2d0cf7f7-ec15-468f-9e05-310ee04ed301"
"a3fbn000000ftAeAAI","","a3fbn000000fu12","a3Ybn0000004xFyEAI","a18bn000001a1eaAAA","2ee15010-187f-4f0c-8cb4-6a85b7096e89"
"a3fbn000000ft7JAAQ","","a3fbn000000ftzh","a3Ybn0000004xE3EAI","a18bn000001a1RQAAY","3100e210-1e9c-4fa8-8273-8b4a3d729a3f"
"a3fbn000000ftQDAAY","","a3fbn000000fu38","a3Ybn0000004xDeEAI","a18bn000001a1ngAAA","311a6fbe-2cdb-4c19-98b7-466884939601"
"a3fbn000000ftVMAAY","","a3fbn000000fu3E","a3Ybn0000004xGTEAY","a18bn000001a1stAAA","318d5465-12ab-47ad-8d9d-bc1a666cf895"
"a3fbn000000ft7iAAA","","a3fbn000000fu06","a3Ybn0000004xDeEAI","a18bn000001a1PxAAI","35336b71-c013-483c-a2ff-34651f4ab177"
"a3fbn000000ftbDAAQ","","a3jbn000000ldzd","a3Ybn0000004xDKEAY","a18bn000001a1AzAAI","35dda343-6509-49f4-835e-31d393212945"
"a3fbn000000fthsAAA","","a3jbn000000le10","a3Ybn0000004xGtEAI","a18bn000001a108AAA","360920b9-6167-4fae-b3c3-98540e89c4b2"
"a3fbn000000ft7ZAAQ","","a3fbn000000ftzx","a3Ybn0000004xDeEAI","a18bn000001a1ehAAA","361110f4-f91a-46b7-8c3a-527f2946f573"
"a3fbn000000ftNMAAY","","a3fbn000000fu2u","a3Ybn0000004xDeEAI","a18bn000001a1eeAAA","37052c39-ac0e-4915-af42-2e87b5fc9478"
"a3fbn000000ftqgAAA","","a3jbn000000le2u","a3Ybn0000004xHtEAI","a18bn000001a1FGAAY","382f9ec8-c465-4aee-8707-0bd7730fcf5e"
"a3fbn000000ft7DAAQ","","a3fbn000000ftzb","a3Ybn0000004xDzEAI","a18bn000001a1eNAAQ","3866b8d0-88d1-437c-9ee6-b6ae3001a14e"
"a3fbn000000ftidAAA","","a4Wbn000000hSHy","a3Ybn0000004xH5EAI","a18bn000001a0zoAAA","38c382c0-abac-4ff2-a74b-e4592c7922dc"
"a3fbn000000ftyOAAQ","","a4Wbn000000hSHt","a3Ybn0000004xDNEAY","a18bn000001a1BMAAY","39baa1e5-8564-4130-8e2f-b5e43dd3546c"
"a3fbn000000ftmoAAA","","a3jbn000000le1u","a3Ybn0000004xGoEAI","a18bn000001a100AAA","3b16f2aa-62dd-4662-a30d-92daaf3e4dbd"
"a3fbn000000ftuCAAQ","","a4Wbn000000hSIE","a3Ybn0000004xHKEAY","a18bn000001a1B2AAI","3b2a4081-8806-4888-94c9-82e0398ec71e"
"a3fbn000000ftrVAAQ","","a3jbn000000le3A","a3Ybn0000004xG2EAI","a18bn000001a1JiAAI","3b9b69d6-e980-4d0b-b356-fc02cff05465"
"a3fbn000000ftv2AAA","","a3jbn000000le3m","a3Ybn0000004xCxEAI","a18bn000001a1ByAAI","3d16eaf5-f547-4194-ae2f-c9d0650fc432"
"a3fbn000000ftAdAAI","","a3fbn000000fu14","a3Ybn0000004xFxEAI","a18bn000001a1abAAA","3e14b0a6-9a17-4366-b90b-4314b2bde7dc"
"a3fbn000000fthIAAQ","","a3fbn000000fu4O","a3Ybn0000004xH5EAI","a18bn000001a191AAA","4.907047069009352"
"a3fbn000000ftjvAAA","","a3jbn000000le1I","a3Ybn0000004xGoEAI","a18bn000001a10FAAQ","40146700-687c-45f7-b84d-919561a80331"
"a3fbn000000ftb1AAA","","Book Depreciation and Depletion","a3Ybn0000004xK0EAI","a18bn000001a1gzAAA","42002627748818817"
"a3fbn000000ftEfAAI","","a5xbn000000Jorl","a3Ybn0000004xCvEAI","a18bn000001a1SxAAI","42002974044073948"
"a3fbn000000ftr0AAA","","a5xbn000000Jp3A","a3Ybn0000004xH3EAI","a18bn000001a1KsAAI","42004199419839559"
"a3fbn000000fth0AAA","","a5xbn000000Jp2S","a3Ybn0000004xIGEAY","a18bn000001a19PAAQ","42004827692314123"
"a3fbn000000ftCjAAI","","a9Ibn000001OAiK","a3Ybn0000004xG3EAI","a18bn000001a1RzAAI","42004917388097352"
"a3fbn000000ft9lAAA","","a3fbn000000fu0n","a3Ybn0000004xDeEAI","a18bn000001a1dyAAA","42004950787191271"
"a3fbn000000ftvxAAA","","a5xbn000000Jp3l","a3Ybn0000004xHeEAI","a18bn000001a1CEAAY","42005067749785657"
"a3fbn000000ftWHAAY","","a5xbn000000JoyV","a3Ybn0000004xCvEAI","a18bn000001a1jJAAQ","42005157975921176"
"a3fbn000000ftGjAAI","","a3jbn000000ldvz","a3Ybn0000004xGoEAI","a18bn000001a1VbAAI","42005289273910646"
"a3fbn000000ftRjAAI","","a5xbn000000JouY","a3Ybn0000004xJgEAI","a18bn000001a1qfAAA","42005521167689361"
"a3fbn000000ftARAAY","","a5xbn000000JooZ","a3Ybn0000004xFqEAI","a18bn000001a1asAAA","42005525296734278"
"a3fbn000000ftqZAAQ","","a5xbn000000Jp2R","a3Ybn0000004xDaEAI","a18bn000001a1JMAAY","42005776351578953"
"a3fbn000000ft9mAAA","","PFS - Total Long Term Liabs","a3Ybn0000004xFcEAI","a18bn000001a1dzAAA","42005924651224435"
"a3fbn000000ftZfAAI","","a5xbn000000JouI","a3Ybn0000004xDyEAI","a18bn000001a1kBAAQ","42006515255709480"
"a3fbn000000ft9CAAQ","","a5xbn000000Jont","a3Ybn0000004xFKEAY","a18bn000001a1dVAAQ","42006912818009067"
"a3fbn000000ftamAAA","","a3jbn000000ldzV","a3Ybn0000004xGVEAY","a18bn000001a1k9AAA","42007021442705426"
"a3fbn000000ftOWAAY","","a5xbn000000Jout","a3Ybn0000004xGjEAI","a18bn000001a1QjAAI","42007111795180129"
"a3fbn000000ftr4AAA","","a3fbn000000fu4u","a3Ybn0000004xGjEAI","a18bn000001a1E0AAI","42007402853946347"
"a3fbn000000ftqKAAQ","","a5xbn000000Jp3u","a3Ybn0000004xGZEAY","a18bn000001a1GIAAY","42007618034312765"
"a3fbn000000ftSCAAY","","a5xbn000000JomL","a3Ybn0000004xDUEAY","a18bn000001a1sFAAQ","42007989175371734"
"a3fbn000000ft6aAAA","","a5xbn000000JomW","a3Ybn0000004xDgEAI","a18bn000001a1MOAAY","42008144965566236"
"a3fbn000000ftsAAAQ","","a3fbn000000fu4E","a3Ybn0000004xGtEAI","a18bn000001a1HwAAI","42008349943930088"
"a3fbn000000ftPdAAI","","a5xbn000000Jovo","a3Ybn0000004xJtEAI","a18bn000001a1mpAAA","42008559008898611"
"a3fbn000000ftoFAAQ","","a5xbn000000Jp53","a3Ybn0000004xCrEAI","a18bn000001a0zaAAA","42008642009258345"
"a3fbn000000ftiiAAA","","a5xbn000000Jp31","a3Ybn0000004xH7EAI","a18bn000001a11pAAA","42008838897603063"
"a3fbn000000ftlCAAQ","","a5xbn000000JowQ","a3Ybn0000004xHBEAY","a18bn000001a15MAAQ","42008888889069657"
"a3fbn000000ftqhAAA","","a5xbn000000Jp5W","a3Ybn0000004xCvEAI","a18bn000001a1IzAAI","42008975849805375"
