"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category__c","nFORCE__Generator_Class__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","nFORCE__lookupKey__c"
"a0bWD0000011LuiYAE","005al00000RVcKvAAL","false","a313g0000008Q0K","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42526569050199401"
"a0bWD0000011MYmYAM","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42526604580218441"
"a0bWD0000011MYnYAM","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42527243547468956"
"a0bWD0000011LBCYA2","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42527265887821465"
"a0bWD0000011MYoYAM","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42527284728853486"
"a0bWD0000011LujYAE","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42528507801622580"
"a0bWD0000011LukYAE","005al00000RVcKvAAL","false","a2Cbn000002Vb5n","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42528559027777673"
"a0bWD0000011LBDYA2","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T18:59:36.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42528962651534654"
"a0bWD0000011LulYAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42529263436888451"
"a0bWD0000011LumYAE","005al00000RVcKvAAL","false","TwoColumnGrid","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.TwoColumnGrid","","","","42529362657131756"
"a0bWD0000011LDBYA2","005al00000RVcKvAAL","false","SingleColumnGrid","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.SingleColumnGrid","","","","42530141315795855"
"a0bWD0000011LunYAE","005al00000RVcKvAAL","false","NoLayout","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42531122614970274"
"a0bWD0000011LuoYAE","005al00000RVcKvAAL","false","a2Cbn000002VbCw","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42531169471868664"
"a0bWD0000011LupYAE","005al00000RVcKvAAL","false","a313g0000008Q0L","2026-04-07T19:27:10.000Z","005al00000RVcKvAAL","2026-08-24T08:44:07.000Z","005al00000RVvFOAA1","2026-08-24T08:44:07.000Z","","Html.Layouts.NoLayout","","","","42531217618345308"
"a0bWD0000011LDCYA2","005al00000RVcKvAAL","false","TableLayout","2026-04-07T18:59:37.000Z","005al00000RVcKvAAL","2026-08-24T18:42:38.000Z","005al00000RVvFOAA1","2026-08-24T18:42:38.000Z","","Html.Layouts.TableLayout","","","","42531362879136297"
"a0bWD0000011MYpYAM","005al00000RVcKvAAL","false","TableLayout","2026-04-07T19:27:13.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","005al00000RVcKvAAL","2026-08-12T08:38:50.000Z","","Html.Layouts.TableLayout","","","","42531594138459491"
