"Id","OwnerId","IsDeleted","Name","LLC_BI__Bundle__c","LLC_BI__Is_Collapsed__c","LLC_BI__Is_Template__c","LLC_BI__Output_1_Display_Type__c","LLC_BI__Output_1_Formula__c","LLC_BI__Output_1_Name__c","LLC_BI__Output_2_Display_Type__c","LLC_BI__Output_2_Formula__c","LLC_BI__Output_2_Name__c","LLC_BI__Output_3_Display_Type__c","LLC_BI__Output_3_Formula__c","LLC_BI__Output_3_Name__c","LLC_BI__Output_4_Display_Type__c","LLC_BI__Output_4_Formula__c","LLC_BI__Output_4_Name__c","LLC_BI__Output_5_Display_Type__c","LLC_BI__Output_5_Formula__c","LLC_BI__Output_5_Name__c","LLC_BI__Output_A_Display_Type__c","LLC_BI__Output_A_Formula__c","LLC_BI__Output_A_Name__c","LLC_BI__Output_B_Display_Type__c","LLC_BI__Output_B_Formula__c","LLC_BI__Variable_A_Direction__c","LLC_BI__Variable_A_Increments__c","LLC_BI__Variable_A_Name__c","LLC_BI__Variable_B_Direction__c","LLC_BI__Variable_B_Increments__c","LLC_BI__Variable_B_Name__c","LLC_BI__lookupKey__c"
"a4oWE000002RwLbYAK","005al00000RVvFOAA1","false","SA-0030","a5VWE000003uJeY2AU","false","true","Double","<#noi> / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","<#noi> / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42192214720362368"
"a4oWE000002RwLcYAK","005al00000RVvFOAA1","false","SA-0031","a5VWE000003uJeY2AU","false","false","Currency","<#potential_gross_income> - (<#potential_gross_income> * $A$)","Effective Gross Income","Currency","$1$ - <#total_operating_expenses>","NOI","Currency","$2$ - <#debt_service>","CF After Debt Service","Double","$2$ / <#debt_service>","DSCR","String","","","Percent","%A% + <#vacancy_rate>","Total","String","","","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","","","","42223500607969349"
"a4oWE000002RwLdYAK","005al00000RVvFOAA1","false","SA-0032","a5VWE000003uJeg2AE","false","false","Currency","PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * $A$)","Monthly Payment","Currency","$1$ * {{loanAssumptions:selectedPeriod.numberOfPeriods}}","Debt Service","Double","<#noi> / $2$","DSCR","String","","","String","","","Currency","{{loanAssumptions:requestedLoanAmount}} + (%A% * {{loanAssumptions:requestedLoanAmount}})","Total Loan Amount","String","","","-4,-3,-2,-1,0,1,2,3,4","Loan Amount","","","","42234786410292645"
"a4oWE000002RwLeYAK","005al00000RVvFOAA1","false","SA-0033","a5VWE000003uJeY2AU","false","false","Currency","<#effective_gross_income> - $A$","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Currency","<#total_operating_expenses> * (1 + %A%)","Total Op Ex","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42241094869302874"
"a4oWE000002RwLfYAK","005al00000RVvFOAA1","false","SA-0034","a5VWE000003uJeY2AU","false","false","Double","<#noi> / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","<#noi> / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42302525571477623"
"a4oWE000002RwLgYAK","005al00000RVvFOAA1","false","SA-0035","a5VWE000003uJeg2AE","false","false","Double","<#noi> / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","<#noi> / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42305523061882925"
"a4oWE000002RwLhYAK","005al00000RVvFOAA1","false","SA-0036","a5VWE000003uJeg2AE","false","true","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","$1$ / $B$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $3$","Loan to Value","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + <#cap_rate>","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","42393126318964685"
"a4oWE000002RwLiYAK","005al00000RVvFOAA1","false","SA-0037","a5VWE000003uJeg2AE","false","true","Double","<#noi> / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","<#noi> / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42405611781385118"
"a4oWE000002RwLjYAK","005al00000RVvFOAA1","false","SA-0038","a5VWE000003uJeY2AU","false","true","Currency","<#effective_gross_income> - $A$","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Currency","<#total_operating_expenses> * (1 + %A%)","Total Op Ex","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42408571642667283"
"a4oWE000002SSUvYAO","005al00000RVvFOAA1","false","SA-0098","a5VWE0000048GDS2A2","false","false","Currency","<#potential_gross_income> - (<#Residential_Potential_Gross_Income>*<#Res_Vacancy_Rate>) - (<#Total_PGI_Commercial> * $A$)","Effective Gross Income","Currency","$1$ + <#other_income> - <#total_operating_expenses>","NOI","Currency","$2$ - <#debt_service>","CF After Debt Service","Double","$2$ / <#debt_service>","DSCR","String","","","Percent","%A% + <#Commercial_Vacancy_Rate>","Total","String","","","-10,-5,-2,-1,0,1,2,5,10","Commercial Vacancy Rate","","","","42421173730180661"
"a4oWE000002RwLkYAK","005al00000RVvFOAA1","false","SA-0039","a5VWE000003uJeg2AE","false","true","Currency","<#potential_gross_income> - (<#potential_gross_income> * <#vacancy_rate>) - $B$","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42424994136817306"
"a4oWE000002SSUwYAO","005al00000RVvFOAA1","false","SA-0099","a5VWE0000048GDS2A2","false","true","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) + <#other_income> - <#total_operating_expenses>","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","$1$ / $B$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $3$","Loan to Value","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + <#cap_rate>","X","-10,-5,-2,-1,0,1,2,5,10","Vacancy Rate","Y","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","42452561892497373"
"a4oWE000002RwLlYAK","005al00000RVvFOAA1","false","SA-0040","a5VWE000003uJeg2AE","false","true","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42475336128313427"
"a4oWE000002RwLmYAK","005al00000RVvFOAA1","false","SA-0041","a5VWE000003uJeg2AE","false","false","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42482485534615183"
"a4oWE000002SSUxYAO","005al00000RVvFOAA1","false","SA-0100","a5VWE0000048GDS2A2","false","true","Double","<#noi> / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","<#noi> / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42491354017209326"
"a4oWE000002SSUyYAO","005al00000RVvFOAA1","false","SA-0101","a5VWE0000048GDS2A2","false","true","Double","(<#gross_revenue> - $B$) / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","(<#gross_revenue> - $B$) / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42500120504589860"
"a4oWE000002RwLnYAK","005al00000RVvFOAA1","false","SA-0042","a5VWE000003uJeg2AE","false","false","Currency","<#potential_gross_income> - (<#potential_gross_income> * $A$)","Effective Gross Income","Currency","$1$ - <#total_operating_expenses>","NOI","Currency","$2$ - <#debt_service>","CF After Debt Service","Double","$2$ / <#debt_service>","DSCR","String","","","Percent","%A% + <#vacancy_rate>","Total","String","","","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","","","","42520119641982950"
"a4oWE000002RwLoYAK","005al00000RVvFOAA1","false","SA-0043","a5VWE000003uJeY2AU","false","false","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","$1$ / $B$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $3$","Loan to Value","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + <#cap_rate>","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","42535330994447129"
"a4oWE000002RwLpYAK","005al00000RVvFOAA1","false","SA-0044","a5VWE000003uJeY2AU","false","false","Currency","PMT($A$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}})","Monthly Payment","Currency","$1$ * {{loanAssumptions:selectedPeriod.numberOfPeriods}}","Debt Service","Currency","<#noi> - $2$","CF After Debt Service","Double","<#noi> / $2$","DSCR","String","","","Percent","%A% + {{loanAssumptions:interestRate}}","Total","String","","","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","","","","42569956923091999"
"a4oWE000002RwLqYAK","005al00000RVvFOAA1","false","SA-0045","a5VWE000003uJeY2AU","false","false","Currency","<#effective_gross_income> - $A$","NOI","Currency","$1$ - <#debt_service>","CF After Debt Service","Double","$1$ / <#debt_service>","DSCR","String","","","String","","","Currency","<#total_operating_expenses> * (1 + %A%)","Total Op Ex","String","","","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","","","","42601862219162308"
"a4oWE000002SSUzYAO","005al00000RVvFOAA1","false","SA-0102","a5VWE0000048GDS2A2","false","false","Currency","$A$ - <#debt_service>","CF After Debt Service","Double","$A$ / <#debt_service>","DSCR","String","","","String","","","String","","","Currency","<#noi> * (1 + %A%)","Total NOI","String","","","20,15,10,5,0,-5,-10,-15,-20","NOI","","","","42602587414147405"
"a4oWE000002RwLrYAK","005al00000RVvFOAA1","false","SA-0046","a5VWE000003uJeY2AU","false","false","Currency","<#potential_gross_income> - (<#potential_gross_income> * $A$) - $B$","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42628848789600353"
"a4oWE000002RwLsYAK","005al00000RVvFOAA1","false","SA-0047","a5VWE000003uJeY2AU","false","true","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42656797962152710"
"a4oWE000002RwLtYAK","005al00000RVvFOAA1","false","SA-0048","a5VWE000003uJeg2AE","false","false","Currency","<#potential_gross_income> - (<#potential_gross_income> * <#vacancy_rate>) - $B$","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42667398099187860"
"a4oWE000002RwLuYAK","005al00000RVvFOAA1","false","SA-0049","a5VWE000003uJeg2AE","false","false","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","$1$ / $B$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $3$","Loan to Value","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + <#cap_rate>","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","42744651296124842"
"a4oWE000002RwLvYAK","005al00000RVvFOAA1","false","SA-0050","a5VWE000003uJeg2AE","false","false","Currency","<#effective_gross_income> - $A$","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Currency","<#total_operating_expenses> * (1 + %A%)","Total Op Ex","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42747432560339546"
"a4oWE000002RwLwYAK","005al00000RVvFOAA1","false","SA-0051","a5VWE000003uJeg2AE","false","false","Currency","<#effective_gross_income> - $A$","NOI","Currency","$1$ - <#debt_service>","CF After Debt Service","Double","$1$ / <#debt_service>","DSCR","String","","","String","","","Currency","<#total_operating_expenses> * (1 + %A%)","Total Op Ex","String","","","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","","","","42752434131019716"
"a4oWE000002RwLxYAK","005al00000RVvFOAA1","false","SA-0052","a5VWE000003uJeY2AU","false","true","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","$1$ / $B$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $3$","Loan to Value","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + <#cap_rate>","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","42802112594581935"
