"Id","OwnerId","IsDeleted","Name","LastViewedDate","LastReferencedDate","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a1fWE000002SqyPYAS","005al00000RVvFOAA1","false","Ground Rent","","","NOI Statement","Ground_Rent"
"a1fWE000002LEfiYAG","005al00000RVvFOAA1","false","Growing Crops Total Adjust.","","","Accounting Grid (AG Owner Operator)","GrowingCrops_TotalAdjust_ACCTGRD"
"a1fWE000002SqyQYAS","005al00000RVvFOAA1","false","Growing Crops","","","Accounting Grid (AG Owner Operator)","Growing_Crops_ACCTGRD"
"a1fWE000002SqyRYAS","005al00000RVvFOAA1","false","Growing Crop - Manual Adjust","","","Accounting Grid (Cash Accounting)","Growing_Crops_ManualAdjust_ACCTGRD"
"a1fWE000002SqyTYAS","005al00000RVvFOAA1","false","Historical CFC (TCF)","","","Accounting Grid (Ratios/Stats)","Historical_CFC_TCF_ACCTGRD"
"a1fWE000002LEfjYAG","005al00000RVvFOAA1","false","(ICF) Change in Cash & Equivalents","","","Accounting Grid (Cash Flows)","ICF_Change_in_Cash_Equivalents_ACCTGRD"
"a1fWE000002LEfkYAG","005al00000RVvFOAA1","false","(ICF) Change in Investments","","","Accounting Grid (Cash Flows)","ICF_Change_in_Investments_ACCTGRD"
"a1fWE000002LEflYAG","005al00000RVvFOAA1","false","(ICF) Change in Net Fixed Assets","","","Accounting Grid (Cash Flows)","ICF_Change_in_Net_Fixed_Assets_ACCTGRD"
"a1fWE000002LEfmYAG","005al00000RVvFOAA1","false","(ICF) Change in Net Intangibles","","","Accounting Grid (Cash Flows)","ICF_Change_in_Net_Intangibles_ACCTGRD"
"a1fWE000002LEfnYAG","005al00000RVvFOAA1","false","(ICF) Net Cash Provided by Financing","","","Accounting Grid (Cash Flows)","ICF_Net_Cash_Provided_by_Financing_ACCTGRD"
"a1fWE000002LEfoYAG","005al00000RVvFOAA1","false","(ICF) Net Cash Used in Investing","","","Accounting Grid (Cash Flows)","ICF_Net_Cash_Used_in_Investing_ACCTGRD"
"a1fWE000002LEfpYAG","005al00000RVvFOAA1","false","(ICF) Net Cash from Operations","","","Accounting Grid (Cash Flows)","ICF_Net_Cash_from_Operations_ACCTGRD"
"a1fWE000002LEfqYAG","005al00000RVvFOAA1","false","(ICF) Net Change in Borrowing","","","Accounting Grid (Cash Flows)","ICF_Net_Change_in_Borrowing_ACCTGRD"
"a1fWE000002LEfrYAG","005al00000RVvFOAA1","false","(ICF) Net Change in Other Funding","","","Accounting Grid (Cash Flows)","ICF_Net_Change_in_Other_Funding_ACCTGRD"
"a1fWE000002UdOGYA0","005al00000RVvFOAA1","false","Improvements - Breeding Livestock","","","Accounting Grid (AG Owner Operator)","Improvements_BreedingLivestock_ACCTGTD"
"a1fWE000002UdOHYA0","005al00000RVvFOAA1","false","Improvements - Machinery","","","Accounting Grid (AG Owner Operator)","Improvements_Machinery_ACCTGRD"
"a1fWE000002UdOIYA0","005al00000RVvFOAA1","false","Improvements - Other Capital Assets","","","Accounting Grid (AG Owner Operator)","Improvements_OtherCapitalAssets_ACCTGRD"
"a1fWE000002UdOJYA0","005al00000RVvFOAA1","false","Improvements - Real Estate","","","Accounting Grid (AG Owner Operator)","Improvements_RealEstate_ACCTGRD"
"a1fWE000002LEfsYAG","005al00000RVvFOAA1","false","Income Taxes Payable Total Adjust.","","","Accounting Grid (AG Owner Operator)","IncomeTaxesPayable_TotalAdjust_ACCTGRD"
"a1fWE000002SqyUYAS","005al00000RVvFOAA1","false","Income Taxes Payable - Manual Adj","","","Accounting Grid (Cash Accounting)","IncomeTaxes_Payable_ManualAdjust_ACCTGRD"
"a1fWE000002SqyWYAS","005al00000RVvFOAA1","false","Income Tax Receivable","","","Accounting Grid (Balance Sheet)","Income_Tax_Receivable_ACCTGRD"
"a1fWE000002SqyXYAS","005al00000RVvFOAA1","false","Income Taxes Payable","","","Accounting Grid (Balance Sheet)","Income_Taxes_Payable_ACCTGRD"
"a1fWE000002SqyYYAS","005al00000RVvFOAA1","false","Income from Subs/Joint Ventures","","","Accounting Grid (Income Statement)","Income_from_SubsJoint_Ventures_ACCTGRD"
"a1fWE000002UdOKYA0","005al00000RVvFOAA1","false","Inconsistency in Valuing Assets or Listing Liabilities","","","Accounting Grid (AG Owner Operator)","Inconsistency_in_Valuing_Assets_or_Listing_Liabilities_ACCTGRD"
"a1fWE000002SqyZYAS","005al00000RVvFOAA1","false","Insurance","","","NOI Statement","Insurance"
"a1fWE000002SqybYAC","005al00000RVvFOAA1","false","Intangibles - Due From Related","","","Accounting Grid (Balance Sheet)","Intangibles_Due_From_Related_ACCTGRD"
"a1fWE000002SqycYAC","005al00000RVvFOAA1","false","Intangibles - Goodwill","","","Accounting Grid (Balance Sheet)","Intangibles_Goodwill_ACCTGRD"
"a1fWE000002SqydYAC","005al00000RVvFOAA1","false","Intangibles - Other","","","Accounting Grid (Balance Sheet)","Intangibles_Other_ACCTGRD"
"a1fWE000002SqyeYAC","005al00000RVvFOAA1","false","Interest Coverage","","","Accounting Grid (Ratios/Stats)","Interest_Coverage_ACCTGRD"
"a1fWE000002SqyfYAC","005al00000RVvFOAA1","false","Interest Expense","","","Accounting Grid (Income Statement)","Interest_Expense_ACCTGRD"
"a1fWE000002SqyhYAC","005al00000RVvFOAA1","false","Interest Income","","","Accounting Grid (Income Statement)","Interest_Income_ACCTGRD"
"a1fWE000002SqyiYAC","005al00000RVvFOAA1","false","Interest Payable","","","Accounting Grid (Balance Sheet)","Interest_Payable_ACCTGRD"
"a1fWE000002SqyjYAC","005al00000RVvFOAA1","false","Interest Rate 2","","","Accounting Grid (Other)","Interest_Rate_2_ACCTGRD"
"a1fWE000002SqykYAC","005al00000RVvFOAA1","false","Interest Rate 2nd Mortgage","","","Accounting Grid (Other)","Interest_Rate_2nd_Mortgage"
"a1fWE000002SqylYAC","005al00000RVvFOAA1","false","Interest Rate 3","","","Accounting Grid (Other)","Interest_Rate_3_ACCTGRD"
"a1fWE000002SqynYAC","005al00000RVvFOAA1","false","Inventory","","","Accounting Grid (Balance Sheet)","Inventory_ACCTGRD"
"a1fWE000002SqyoYAC","005al00000RVvFOAA1","false","Inventory Days on Hand","","","Accounting Grid (Ratios/Stats)","Inventory_Days_on_Hand_ACCTGRD"
"a1fWE000002SqypYAC","005al00000RVvFOAA1","false","Investment in Subsidiaries","","","Accounting Grid (Balance Sheet)","Investment_in_Subsidiaries_ACCTGRD"
"a1fWE000002SqyqYAC","005al00000RVvFOAA1","false","Janitorial Services","","","NOI Statement","Janitorial_Services"
"a1fWE000002UdOLYA0","005al00000RVvFOAA1","false","K1 Foreign Taxes","","","Accounting Grid (Other)","K1_Foreign_Taxes_ACCTGRD"
"a1fWE000002LEerYAG","005al00000RVvFOAA1","false","K-1 Income","","","Accounting Grid (Individual)","K1_Income_ACCTGRD"
"a1fWE000002SqyrYAC","005al00000RVvFOAA1","false","K1 Section 179 Deduction","","","Accounting Grid (Other)","K1_Section_179_Deduction_ACCTGRD"
"a1fWE000002SqysYAC","005al00000RVvFOAA1","false","LIFO Reserve","","","Accounting Grid (Balance Sheet)","LIFO_Reserve_ACCTGRD"
"a1fWE000002SqytYAC","005al00000RVvFOAA1","false","LTV Reconciled Value","","","NOI Statement","LTV Reconciled Value"
"a1fWE000002SqyuYAC","005al00000RVvFOAA1","false","Land","","","Accounting Grid (Balance Sheet)","Land_ACCTGRD"
"a1fWE000002SqywYAC","005al00000RVvFOAA1","false","Landscaping","","","NOI Statement","Landscaping"
"a1fWE000002SqyxYAC","005al00000RVvFOAA1","false","Lease/Rent Expense","","","Accounting Grid (Income Statement)","LeaseRent_Expense_ACCTGRD"
"a1fWE000002SqyyYAC","005al00000RVvFOAA1","false","Leasehold Improvements","","","Accounting Grid (Balance Sheet)","Leasehold_Improvements_ACCTGRD"
"a1fWE000002SqyzYAC","005al00000RVvFOAA1","false","Legal And Professional Fees","","","NOI Statement","Legal_And_Professional_Fees"
"a1fWE000002LEftYAG","005al00000RVvFOAA1","false","Livestock Products Total Adjust.","","","Accounting Grid (AG Owner Operator)","LivestockProducts_TotalAdjust_ACCTGRD"
