"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000CzV0YYAV","false","SC-000021757","a0qWD00000JHNN7YAP","2.01","UI_Borrowing_Structure","","","","false","a0vWD00000CzUogYAF","LLC_BI__Legal_Entities__r","Borrowing Structure","","false","1105","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUohYAF","false","SC-000021052","a0qWD00000JHNN4YAP","1.0","","","","","false","","","Tasks","","false","1106","LLC_BI__Loan__c"
"a0vWD00000CzV0ZYAV","false","SC-000021758","a0qWD00000JHNN4YAP","2.0","LLC_BI__UI_Tasks","","","","false","a0vWD00000CzUohYAF","Tasks","Tasks","","false","1107","Task"
"a0vWD00000CzUu8YAF","false","SC-000021389","a0qWD00000JHNNrYAP","1.0","","","","","false","","","HMDA","","false","1110","LLC_BI__Loan__c"
"a0vWD00000CzV27YAF","false","SC-000021854","a0qWD00000JHNNrYAP","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUu8YAF","LLC_BI__Legal_Entities__r","HMDA","","false","1111","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUoiYAF","false","SC-000021053","a0qWD00000JHNMZYA5","0.0","UI_Loan_Details","","","","false","","","Loan Details","","false","1114","LLC_BI__Loan__c"
"a0vWD00000CzUu9YAF","false","SC-000021390","a0qWD00000JHNRpYAP","0.0","UI_Loan_Pricing","","a0bWD000001HG4hYAG","0.0","false","","","Pricing","","false","1115","LLC_BI__Loan__c"
"a0vWD00000CzUojYAF","false","SC-000021054","a0qWD00000JHNNDYA5","0.0","LLC_BI__UI_Referral_Information","","","","false","","","Referral","","false","1116","LLC_BI__Loan__c"
"a0vWD00000CzUokYAF","false","SC-000021055","a0qWD00000JHNMFYA5","0.0","IBCL_Retail_Balance_Details","","a0bWD000001HG96YAG","0.0","false","","","Balance Details","","false","1117","LLC_BI__Loan__c"
"a0vWD00000CzUolYAF","false","SC-000021056","a0qWD00000JHNMIYA5","0.0","IBCL_Booked_Details","","a0bWD000001HGGKYA4","0.0","false","","","Booked Details","","false","1118","LLC_BI__Loan__c"
"a0vWD00000CzUomYAF","false","SC-000021057","a0qWD00000JHNMMYA5","0.0","LLC_BI__UI_Loan_Summary","","","","false","","","Loan Details","","false","1119","LLC_BI__Loan__c"
"a0vWD00000CzUuAYAV","false","SC-000021391","a0qWD00000JHNRkYAP","0.0","LLC_BI__UI_CRA_Loan_Information","","","","false","","","Loan Information","","false","1120","LLC_BI__Loan__c"
"a0vWD00000CzUuBYAV","false","SC-000021392","a0qWD00000JHNRTYA5","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","Action Taken","","false","1121","LLC_BI__Loan__c"
"a0vWD00000CzUuCYAV","false","SC-000021393","a0qWD00000JHNRSYA5","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","Property Location","","false","1122","LLC_BI__Loan__c"
"a0vWD00000CzUuDYAV","false","SC-000021394","a0qWD00000JHNRfYAP","0.0","LLC_BI__UI_CRA_Other","","","","false","","","Other","","false","1123","LLC_BI__Loan__c"
"a0vWD00000CzUuEYAV","false","SC-000021395","a0qWD00000JHNReYAP","0.0","LLC_BI__UI_HMDA_Application_Loan_Information","","","","false","","","Application or Loan Information","","false","1124","LLC_BI__Loan__c"
"a0vWD00000CzUuFYAV","false","SC-000021396","a0qWD00000JHNR7YAP","0.0","LLC_BI__UI_HMDA_Action_Taken","","","","false","","","Action Taken","","false","1125","LLC_BI__Loan__c"
"a0vWD00000CzUuGYAV","false","SC-000021397","a0qWD00000JHNNyYAP","0.0","LLC_BI__UI_HMDA_Property_Location","","","","false","","","Property Location","","false","1126","LLC_BI__Loan__c"
"a0vWD00000CzUuHYAV","false","SC-000021398","a0qWD00000JHNRUYA5","0.0","LLC_BI__UI_HMDA_Loan_Lifecycle","","","","false","","","Loan Lifecycle","","false","1127","LLC_BI__Loan__c"
"a0vWD00000CzUonYAF","false","SC-000021058","a0qWD00000JHNMqYAP","1.01","","","","","false","","","","","false","1130","LLC_BI__Loan__c"
"a0vWD00000CzV0aYAF","false","SC-000021759","a0qWD00000JHNMqYAP","2.01","UI_Loan_Loan_Team_Members","","","","false","a0vWD00000CzUonYAF","LLC_BI__Loan_Teams__r","","","false","1131","LLC_BI__LoanTeam__c"
"a0vWD00000CzUTkYAN","false","SC-000019753","a0qWD00000JHN5fYAH","1.01","","","","","false","","","","","false","1132","LLC_BI__Loan__c"
"a0vWD00000CzUvFYAV","false","SC-000021428","a0qWD00000JHN5fYAH","2.01","CM_Participations","","","","false","a0vWD00000CzUTkYAN","LLC_BI__Participations__r","","","false","1133","LLC_BI__Participation__c"
"a0vWD00000CzUooYAF","false","SC-000021059","a0qWD00000JHNN8YAP","1.01","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","false","","","","","false","11331619447516046","LLC_BI__Fee_Loan_Aggregate__c"
"a0vWD00000CzUopYAF","false","SC-000021060","a0qWD00000JHNMDYA5","1.01","","","","","false","","","","","false","1134","LLC_BI__Loan__c"
"a0vWD00000CzV0bYAF","false","SC-000021760","a0qWD00000JHNMDYA5","2.01","UI_Risk_Rating","","","","false","a0vWD00000CzUopYAF","LLC_BI__Risk_Rating_Review__r","","","false","1135","LLC_BI__Annual_Review__c"
"a0vWD00000CzUoqYAF","false","SC-000021061","a0qWD00000JHNNGYA5","1.01","","","","","false","","","","","false","1139","LLC_BI__Loan__c"
"a0vWD00000CzV0cYAF","false","SC-000021761","a0qWD00000JHNNGYA5","2.01","UI_Loan_Adverse_Action","","","","false","a0vWD00000CzUoqYAF","LLC_BI__Adverse_Actions__r","","","false","1140","LLC_BI__Adverse_Action__c"
"a0vWD00000CzUTlYAN","false","SC-000019754","a0qWD00000JHN5RYAX","1.01","","","","","false","","","","","false","1143","LLC_BI__Loan__c"
"a0vWD00000CzUvGYAV","false","SC-000021429","a0qWD00000JHN5RYAX","2.01","UI_Loan_Memo","","","","false","a0vWD00000CzUTlYAN","LLC_BI__Change_Memos__r","","","false","1144","LLC_BI__Credit_Memo_Modifcation__c"
"a0vWD00000CzUorYAF","false","SC-000021062","a0qWD00000JHNN5YAP","1.01","","","","","false","","","","","false","1145","LLC_BI__Loan__c"
"a0vWD00000CzV0dYAF","false","SC-000021762","a0qWD00000JHNN5YAP","2.01","UI_Loan_Fees","","","","false","a0vWD00000CzUorYAF","LLC_BI__Fees__r","","","false","1146","LLC_BI__Fee__c"
"a0vWD00000CzUTmYAN","false","SC-000019755","a0qWD00000JHN5sYAH","1.01","","","","","false","","","","","false","1147","LLC_BI__Loan__c"
"a0vWD00000CzUvHYAV","false","SC-000021430","a0qWD00000JHN5sYAH","2.01","UI_Stage_History","","","","false","a0vWD00000CzUTmYAN","LLC_BI__Opportunity_History__r","","","false","1148","LLC_BI__Opportunity_History__c"
"a0vWD00000CzUTnYAN","false","SC-000019756","a0qWD00000JHN10YAH","1.01","UI_Loan_Narrative","","","","false","","","","","false","1149","LLC_BI__Loan__c"
"a0vWD00000CzUuIYAV","false","SC-000021399","a0qWD00000JHNNwYAP","1.01","LLC_BI__Prod_Pkg_UI_Related_Pledge_Schedule","","","","false","","","","","false","11921563816286757","LLC_BI__Loan_Collateral2__c"
"a0vWD00000CzUosYAF","false","SC-000021063","a0qWD00000JHNMVYA5","1.01","LLC_BI__Deal_Management_Loan_Tree_Grid","[{""filterKey"":""LLC_BI__Stage__c"",""operator"":""="",""value"":[""Processing"",""Doc Prep"",""Closing"",""Boarding""],""isLocked"":false}]","","","false","","","","","false","123134134","LLC_BI__Loan__c"
"a0vWD00000CzUuJYAV","false","SC-000021400","a0qWD00000JHNQJYA5","1.01","Booked_DMW","","","","false","","","","","false","12314124124","LLC_BI__Loan__c"
"a0vWD00000CzUbNYAV","false","SC-000020226","a0qWD00000JHNCAYA5","0.0","LLC_BI__Add_Income","","","","false","","","Add Income","","false","12345678901234","LLC_BI_Income__c"
"a0vWD00000CzRTAYA3","false","SC-000022124","a0qWD00000JHN0tYAH","3.02","LLC_BI__UI_Authorized_Signer_Fieldset","","a0bWD000001HFzxYAG","0.0","false","a0vWD00000CzUvKYAV","LLC_BI__Contingent_Liabilties__r","","","false","12611620937672789","LLC_BI__Contingent_Liabilty__c"
"a0vWD00000CzUbOYAV","false","SC-000020227","a0qWD00000JHN98YAH","0.0","LLC_BI__UI_CRA_Other","","","","false","","","Other","","false","12891585311472185","LLC_BI__Loan__c"
"a0vWD00000CzUotYAF","false","SC-000021064","a0qWD00000JHNMuYAP","1.01","RequiredLoanFieldsToCreateRateOrPayment","","a0bWD000001HGJkYAO","0.0","false","","","","","false","12931619447516049","LLC_BI__Loan__c"
"a0vWD00000CzV0eYAF","false","SC-000021763","a0qWD00000JHNMHYA5","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000CzUouYAF","LLC_BI__Legal_Entities__r","HMDA","","false","13451619447516054","LLC_BI__Legal_Entities__c"
"a0vWD00000CzRScYAN","false","SC-000022090","a0qWD00000JHNC2YAP","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWD00000CzUysYAF","LLC_BI__Entity_Compliances__r","Entity Compliance","","false","14191663700626425","LLC_BI__Entity_Compliance__c"
"a0vWD00000CzUvIYAV","false","SC-000021431","a0qWD00000JHN0YYAX","2.02","UI_Participations","","a0bWD000001HGIfYAO","0.0","false","a0vWD00000CzUThYAN","LLC_BI__Participations__r","","","false","14251620937672797","LLC_BI__Participation__c"
"a0vWD00000CzV28YAF","false","SC-000021855","a0qWD00000JHNO3YAP","2.01","LLC_BI__UI_Loan_Products","{LLC_BI__Loan__c: {ne: """"}}","","","false","a0vWD00000CzUu0YAF","LLC_BI__Legal_Entities__r","","","false","14431562008947621","LLC_BI__Legal_Entities__c"
"a0vWD00000CzUbPYAV","false","SC-000020228","a0qWD00000JHNCCYA5","0.0","","","","","false","","","HMDA","","false","14911600720268232","LLC_BI__Loan__c"
"a0vWD00000CzUToYAN","false","SC-000019757","a0qWD00000JHN0ZYAX","1.01","UI_Loan_Details","","a0bWD000001HGIqYAO","","false","","","","","false","15121620937672796","LLC_BI__Loan__c"
"a0vWD00000CzUbQYAV","false","SC-000020229","a0qWD00000JHNBgYAP","0.0","","","","","false","","","HMDA","","false","15181602764632533","LLC_BI__Loan__c"
"a0vWD00000CzUvJYAV","false","SC-000021432","a0qWD00000JHN0lYAH","2.0","LLC_BI__UI_Memo_Action","","","","false","a0vWD00000CzUaaYAF","LLC_BI__Change_Memos__r","Change Memo","","false","15761620937672794","LLC_BI__Credit_Memo_Modifcation__c"
