"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qWD00000GSTTTYA5","false","Borrowing Structure","","","a0sWD00000Xo7ZoYAJ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","09601560278867311","LLC_BI__Loan__c",""
"a0qWD00000GSgR3YAL","false","Exposure Confirmation","","","a0sWD00000Xo7byYAB","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WD000005UIDCYA4","MappedSObjectScreenResource","","","09811602764631672","LLC_BI__Loan__c",""
"a0qWD00000GSTTUYA5","false","Lease Details","","","a0sWD00000Xo7aBYAR","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","a16WD000005UIZZYA4","MappedSObjectScreenResource","","","0983g000000PAzd","LLC_BI__Loan__c",""
"a0qWD00000GSTTVYA5","false","Lease Details","","","a0sWD00000Xo7aBYAR","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","0984x000000sY1h","LLC_BI__Loan__c",""
"a0qWD00000GSgVOYA1","false","Other","","","a0sWD00000Xo7doYAB","false","false","false","false","","false","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","0F64714F261243328C087F7D653B7D62","LLC_BI__Loan__c",""
"a0qWD00000GSgR4YAL","false","SBL Primary Identification- Passport","","","a0sWD00000Xo7blYAB","false","false","false","false","{{IF=""A""}}{{COND=""A"" FIELD=""Contact.cm_Primary_ID_Type__c"" IS=""Passport""}}{{ENDIF}}","false","false","false","false","false","80.0","slide","true","false","false","false","","true","","","","a0qWD00000GSgRPYA1","a16WD000005UIDOYA4","MappedSObjectScreenResource","","","10271666029075339","Contact",""
"a0qWD00000GT9ZNYA1","false","Booked Information","","","a0sWD00000XoCK5YAN","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","a16WD000005UIddYAG","MappedSObjectScreenResource","","","10361585604341048","LLC_BI__Loan__c",""
"a0qWD00000GSgVPYA1","false","PPP Related","","","a0sWD00000Xo7d1YAB","false","false","false","false","","false","false","false","false","false","200.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","10980983757252345","LLC_BI__Loan__c",""
"a0qWD00000GSgR5YAL","false","Mailing Address","","","a0sWD00000Xo7d7YAB","false","false","false","false","{{IF=/""A AND B AND C/""}}{{COND=/""A/"" FIELD=/""Contact.cm_Mailing_Same_as_Physical__c/"" IS=/""No/""}}{{COND=/""B/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""C/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","true","false","false","false","false","1645.0","slide","true","false","false","false","","true","","","","a0qWD00000GSgUsYAL","a16WD000005UIamYAG","MappedSObjectScreenResource","","","11051598553323932","Contact",""
"a0qWD00000GSTTWYA5","false","Underwriting_Overview","","","a0sWD00000XnoK6YAJ","false","false","false","false","","true","true","false","false","false","6.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","11151560278867256","LLC_BI__Loan__c",""
"a0qWD00000GSgVQYA1","false","Referral","","","a0sWD00000Xo7dhYAB","false","false","false","false","","false","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","111842233A234569A36241206E53164B","LLC_BI__Loan__c",""
"a0qWD00000GSTTXYA5","false","Post Closing Review","","","a0sWD00000Xo7ZuYAJ","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UI03YAG","MappedSObjectScreenResource","","","11651585604341049","LLC_BI__Loan__c",""
"a0qWD00000GSTTYYA5","false","Loan Details","","","a0sWD00000Xo7a1YAB","false","false","false","false","","false","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIefYAG","MappedSObjectScreenResource","","","11841560278867257","LLC_BI__Loan__c",""
"a0qWD00000GSgR6YAL","false","Third Party Management","","","a0sWD00000Xo7ctYAB","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","12291602764631667","LLC_BI__Loan__c",""
"a0qWD00000GSgR7YAL","false","Enhanced Fee Loan Aggregate Summary","","","a0sWD00000Xo7d9YAB","false","false","false","false","","true","true","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","12321602764631667","LLC_BI__Fee_Loan_Aggregate__c",""
"a0qWD00000JHOB5YAP","false","Test Screen Section","","","a0sWD00000Xo7jMYAR","false","false","false","false","","false","false","false","false","false","12.0","slide","true","false","false","false","","false","","","","a0qWD00000GT8ZpYAL","","SObjectScreenResource","","","12345","Account",""
"a0qWD00000GSTTZYA5","false","Relationship Add Debt","","","a0sWD00000Xo7kgYAB","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","2.0","","","","MappedSObjectScreenResource","","","12401562008947390","LLC_BI__Debt__c",""
"a0qWD00000GSghYYAT","false","Booked Information","","","a0sWD00000Xo7kPYAR","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","12571620937672164","LLC_BI__Loan__c",""
"a0qWD00000GSTTaYAP","false","Draw Overview Summary","","","a0sWD00000Xo7a2YAB","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","12591620937672170","LLC_BI__Budget__c",""
"a0qWD00000GSgfyYAD","false","Booked Information","","","a0sWD00000Xo7ktYAB","false","false","false","false","","false","true","false","false","false","4.0","slide","true","false","false","false","","false","","","","","a16WD000005UI7oYAG","MappedSObjectScreenResource","","","12721585604341049","LLC_BI__Loan__c",""
"a0qWD00000GSgR8YAL","false","Loan Compliances (HMDA Effective-2018)","","","a0sWD00000Xo7d6YAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","13251663700625413","LLC_BI__Loan__c",""
"a0qWD00000GSgVRYA1","false","SBA Form 601","","","a0sWD00000Xo7eUYAR","false","false","false","false","","false","true","false","false","false","6.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","134C4E49384A4C57884C6E39461D2863","LLC_BI__Loan__c",""
"a0qWD00000GSgVSYA1","false","Approval Details","","","a0sWD00000Xo7djYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","142A67294B4D403E870269634F59266B","LLC_BI__Loan__c",""
"a0qWD00000GSgfzYAD","false","Enhanced Fees Management","","","a0sWD00000Xo7kUYAR","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectHierarchyScreenResource","","","14331619447515161","LLC_BI__Loan__c",""
"a0qWD00000GSgR9YAL","false","SBL Business Info","","","a0sWD00000Xo7cxYAB","false","false","false","false","","false","false","false","false","false","20.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","15021666029075345","Account",""
"a0qWD00000GSgRAYA1","false","Manual Underwriting","","","a0sWD00000Xo7cvYAB","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WD000005UHzxYAG","MappedSObjectScreenResource","","","15091663700625423","LLC_BI__Loan__c",""
"a0qWD00000GSgg0YAD","false","Total Exposure Summary","","","a0sWD00000Xo7kgYAB","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","15191562008947390","Account",""
"a0qWD00000GSghZYAT","false","Editable Fields","","","a0sWD00000Xo7lrYAB","false","false","false","false","","true","true","false","false","false","","slide","true","false","false","false","","true","","","","","a16WD000005UIdeYAG","MappedSObjectScreenResource","","","15201619447515181","LLC_BI__Loan__c",""
"a0qWD00000GSgg1YAD","false","Budget Details","","","a0sWD00000Xo7k6YAB","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIeJYAW","MappedSObjectScreenResource","","","15241620937672168","LLC_BI__Loan__c",""
"a0qWD00000GSgg2YAD","false","Loan Details","","","a0sWD00000Xo7lJYAR","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","15271585604341050","LLC_BI__Loan__c",""
"a0qWD00000GSgRBYA1","false","Other","","","a0sWD00000Xo7bhYAB","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","15321585311470662","LLC_BI__Loan__c",""
"a0qWD00000GSgRCYA1","false","Connection for Others Involved MRF","","","a0sWD00000Xo7dBYAR","false","false","false","false","","false","false","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","16441666029075350","LLC_BI__Connection__c",""
"a0qWD00000GSghaYAD","false","Payment Structure","","","a0sWD00000Xo7m3YAB","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","16731620937672159","LLC_BI__Loan__c",""
"a0qWD00000GSghbYAD","false","Budget Details","","","a0sWD00000Xo7m7YAB","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIeKYAW","MappedSObjectScreenResource","","","18181619447515179","LLC_BI__Loan__c",""
"a0qWD00000GSghcYAD","false","UI Related Pledged Collateral Schedule","","","a0sWD00000Xo7khYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","18431563816286645","LLC_BI__Loan_Collateral2__c",""
"a0qWD00000GSgVTYA1","false","Processing","","","a0sWD00000Xo7j7YAB","false","false","false","false","","false","true","false","false","false","10.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","1859000438582034854","LLC_BI__Loan__c",""
"a0qWD00000GSTTbYAP","false","Pricing Fields Required","","","a0sWD00000Xo7ZvYAJ","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","a16WD000005UIeeYAG","MappedSObjectScreenResource","","","18731620937672157","LLC_BI__Loan__c",""
"a0qWD00000GSTTcYAP","false","Change Memo","","","a0sWD00000XnoK8YAJ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","19051620937672160","LLC_BI__Loan__c",""
"a0qWD00000GSTTdYAP","false","Editable","","","a0sWD00000Xo7ZrYAJ","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","a16WD000005UIeZYAW","MappedSObjectScreenResource","","","19341585604341051","LLC_BI__Loan__c",""
"a0qWD00000GSgRDYA1","false","DEP Primary Identification - Business Application - co-owner","","","a0sWD00000Xo7d7YAB","false","false","false","false","","false","false","false","false","false","1900.0","slide","true","false","false","false","","true","","","","","a16WD000005UHztYAG","MappedSObjectScreenResource","","","20271598553323930","Contact",""
"a0qWD00000GSgVUYA1","false","CRA Address","","","a0sWD00000Xo7doYAB","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","false","","","","","","MappedSObjectScreenResource","","","203368695C204948AF59703D726D672F","LLC_BI__Loan__c",""
"a0qWD00000GSgREYA1","false","SBL Existing Customer? Hidden (Primary Applicant)","","","a0sWD00000Xo7blYAB","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","a16WD000005UID9YAO","MappedSObjectScreenResource","","","20971666029075341","Contact",""
"a0qWD00000GSgRFYA1","false","Compliance Info","","","a0sWD00000Xo7bmYAB","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","21701585311470668","LLC_BI__Loan__c",""
"a0qWD00000GSgRGYA1","false","Secured RL Eligibility Loan","","","a0sWD00000Xo7bjYAB","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectListScreenResource","","","21701602078251511","LLC_BI__Loan__c",""
"a0qWD00000GSghdYAD","false","Collateral Pledged","","","a0sWD00000Xo7lOYAR","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIeTYAW","MappedSObjectHierarchyScreenResource","","","21901585604341049","LLC_BI__Loan__c",""
"a0qWD00000GSTTeYAP","false","Team Members","","","a0sWD00000Xo7ZlYAJ","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","22181619447515172","LLC_BI__Loan__c",""
"a0qWD00000GSTTfYAP","false","Collateral Value","","","a0sWD00000XnoKLYAZ","false","false","false","false","","true","true","false","false","false","1.0","slide","true","false","false","false","","true","","","","","a16WD000005UIdbYAG","MappedSObjectHierarchyScreenResource","","","22621585604341049","LLC_BI__Loan__c",""
"a0qWD00000GSgRHYA1","false","Credit Check","","","a0sWD00000Xo7d3YAB","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","a16WD000005UIDLYA4","MappedSObjectScreenResource","","","22921666029075352","LLC_BI__Loan__c",""
"a0qWD00000GSgRIYA1","false","Approver 1 Details","","","a0sWD00000Xo7byYAB","false","false","false","false","","true","false","false","false","false","20.0","slide","true","false","false","false","","true","","","","","a16WD000005UIDAYA4","MappedSObjectScreenResource","","","23201602764631673","LLC_BI__Loan__c",""
