"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c"
"a0SWD000002FmiR2AS","005al00000RVcKvAAL","false","FC-002270","","","","","Customer Reported","","","LLC_BI__Income_Source__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvzJYAQ","","","","false","","89131603130192864","LLC_BI__Income__c"
"a0SWD000002FmiS2AS","005al00000RVcKvAAL","false","FC-002271","","State","","","","","","Mailing_State_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyAYAQ","2.0","","","false","","89521602078251660","Contact"
"a0SWD000002FmiT2AS","005al00000RVcKvAAL","false","FC-002272","","ZIP","","","","","","Mailing_Zip_code_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyAYAQ","2.0","","","false","","90191603129897216","Contact"
"a0SWD000002FmiU2AS","005al00000RVcKvAAL","false","FC-002273","","City","","","","","","MailingCity","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0rYAA","","","","false","","91691666029076779","Contact"
"a0SWD000002FmiV2AS","005al00000RVcKvAAL","false","FC-002274","","Is Mailing Address Same as Physical Address?","","","","","","Business_Mailing_Address_Same_as_Physica__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyEYAQ","","","","false","","91881666029076792","Account"
"a0SWD000002FmiW2AS","005al00000RVcKvAAL","false","FC-002275","","ZIP","","","","","","OtherPostalCode","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0rYAA","2.0","","","false","","92141666029076796","Contact"
"a0SWD000002FmiX2AS","005al00000RVcKvAAL","false","FC-002276","","","","","Rent- Reported via Online App","","","LLC_BI__Debt_Type__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvzpYAA","","","","false","","92261603130192870","LLC_BI__Debt__c"
"a0SWD000002FmiY2AS","005al00000RVcKvAAL","false","FC-002277","","Do you rent or own the current address?","","","","","","cm_Rent_or_Own_Current_Address__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qw0rYAA","","","","false","","92771666029076776","Contact"
"a0SWD000002FmiZ2AS","005al00000RVcKvAAL","false","FC-002278","","Physical Address","","","","","","LLC_BI__Home_Address__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyAYAQ","","","","false","","95481603129897214","Contact"
"a0SWD000002Fmia2AC","005al00000RVcKvAAL","false","FC-002279","","","","","{{Contact}}","","","LLC_BI__Contact__c","","","","false","","","false","false","false","false","false","true","false","false","false","","a0mWD000003qvzpYAA","","","","false","","95681603130192870","LLC_BI__Debt__c"
"a0SWD000002Fmib2AC","005al00000RVcKvAAL","false","FC-002280","","Mailing Address","","","","","","Mailing_Address_nCino__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyGYAQ","","","","false","","97141598381727927","Contact"
"a0SWD000002Fmic2AC","005al00000RVcKvAAL","false","FC-002281","","Primary ID Number","","","","","","LLC_BI__Drivers_License__c","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyGYAQ","2.0","","","false","","97601598381727934","Contact"
"a0SWD000002Fmid2AC","005al00000RVcKvAAL","false","FC-002282","","City","","","","","","BillingCity","","","","false","","","false","false","false","false","false","false","false","false","false","","a0mWD000003qvyEYAQ","","","","false","","98461666029076791","Account"
