"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body_Type__c","nFORCE__Body__c","nFORCE__Description__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parameters__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Taxonomy_Id__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c"
"a0mWD000003qvmVYAQ","005al00000RVcKvAAL","false","Personal Info","sbl-secured-personal-other","","NPORTAL__PortalForm","","","","false","NPORTAL__ApplicationNavigation","20.0","","","a0sWD00000cQ1YeYAK","","sbl-secured-personal-other","","NPORTAL__LoanTopbar","42694588657848700"
"a0mWD000003qvmWYAQ","005al00000RVcKvAAL","false","Underwriting","sbl-underwriting","","nretail__blank","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","sbl-underwriting","","nretail__summaryheadertopbar","42696652947022400"
"a0mWD000003qvmXYAQ","005al00000RVcKvAAL","false","Collateral Value","collateral-value","","nforce__kodatagridlookup","","","n-icon-relationship","false","nforce__navigation","","","","a0sWD00000cPtLZYA0","nforce__sub_navigation","collateral-value","","nforce__topbar","42697382044274900"
"a0mWD000003qvmYYAQ","005al00000RVcKvAAL","false","Get Credit Report","tool-credit-report","","ncbc__cbccreditreport","","","n-icon-my_tasks","false","nFORCE__Navigation","","","","","nFORCE__Sub_Navigation","tool-credit-report","","nFORCE__Topbar","42699225758900700"
"a0mWD000003qw9XYAQ","005al00000RVcKvAAL","false","Balance Details","balance-information","Lightning Web Component","nforce__ncdatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000cQ1WeYAK","nforce__sub_navigation","balance-information","","nforce__topbar","42701882967143700"
"a0mWD000003qw9YYAQ","005al00000RVcKvAAL","false","Loan Products","relationship-loan-products","Lightning Web Component","nforce__korelatedtable","","","n-icon-loan","false","nforce__inline_navigation","","readonly=true","","a0sWD00000cQ1WfYAK","nforce__sub_navigation","relationship-loan-products","","nforce__blank","42703517189532400"
"a0mWD000003qvmZYAQ","005al00000RVcKvAAL","false","Business Search","sbl-account-search","","NPORTAL__SearchResults","","","","false","NPORTAL__ApplicationNavigation","40.0","","","","","sbl-account-search","","NPORTAL__LoanTopbar","42704608667688600"
"a0mWD000003qvmaYAA","005al00000RVcKvAAL","false","Reg O","RegO-kyc","","llc_bi__Questionnaire_Loan_App","","","","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42705618760457046"
"a0mWD000003qw9ZYAQ","005al00000RVcKvAAL","false","Loan Information","loan-information-blank","","nforce__blank","","","n-icon-loan","false","nforce__navigation","","","","","nforce__sub_navigation","loan-information-blank","","nforce__topbar","42708251485303991"
"a0mWD000003qw9aYAA","005al00000RVcKvAAL","false","Loan Covenants","pp-tn-covenants-loan","","llc_bi__prodpkguiloancovenantspage","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pp-tn-covenants-loan","","nforce__topbar","42708516082328900"
"a0mWD000003qvmbYAA","005al00000RVcKvAAL","false","Review","Review","","","","","","false","nforce__navigation","","","","","nforce__sub_navigation","","","nforce__topbar","42712758759175870"
"a0mWD000003qw9bYAA","005al00000RVcKvAAL","false","Add Sub-Loan","dmw-list-view-pre-approval-loans.dmw-row-action-add-sub-loan","","llc_bi:dealManagementWorkspace","","","","false","","","","","a0sWD00000cQ1WDYA0","","","","","42714852994505368"
"a0mWD000003qvzWYAQ","005al00000RVcKvAAL","false","Editable Details","retail-loan--post-approval-ui-editable-details","Visualforce Page","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000cQ1ObYAK","nforce__sub_navigation","retail-loan--post-approval-ui-editable-details","","nforce__topbar","42714968377141454"
"a0mWD000003qw9cYAA","005al00000RVcKvAAL","false","Details","loan-ind-relationship-details","","llc_bi__relationship_details_app","","","","false","nforce__navigation","","","","a0sWD00000cQ1WIYA0","nforce__sub_navigation","loan-ind-relationship-details","","nforce__nctopbar","42716214251921900"
"a0mWD000003qvmcYAA","005al00000RVcKvAAL","false","Legal Processing","loan-api-legalinfo","","nforce__kodatagrid","","","n-icon-loan","false","nforce__navigation","","","","a0sWD00000cQ1NqYAK","nforce__sub_navigation","","","nforce__topbar","42716609075469374"
"a0mWD000003qvmdYAA","005al00000RVcKvAAL","false","Loan Auto Decision Detail","sbl-unsec-decision-detail","","AutoDecisionDetails","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__Blank","sbl-unsec-decision-detail","","nretail__summaryheadertopbar","42719784205435800"
"a0mWD000003qvmeYAA","005al00000RVcKvAAL","false","Closing","sbl-unsec-closing","","nretail__blank","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","sbl-unsec-closing","","nretail__summaryheadertopbar","42720258697877900"
"a0mWD000003qw9dYAA","005al00000RVcKvAAL","false","Summary","pc-summary","","llc_bi__deposit_product_creation_summary_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pc-summary","","nforce__nctopbar","42721467081203900"
"a0mWD000003qvzXYAQ","005al00000RVcKvAAL","false","Decision History","retail-loan--post-approval-ui-decision-history","Visualforce Page","llc_bi__loanautodecisionscorecardhistory","","","n-icon-analyze","false","nforce__navigation","","","","","nforce__sub_navigation","retail-loan--post-approval-ui-decision-history","","nforce__topbar","42721602764630869"
"a0mWD000003qw9eYAA","005al00000RVcKvAAL","false","Fee Summary","loc-fee-summary","","nretail__blank","","","n-icon-loan","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","loc-fee-summary","","nretail__summaryheadertopbar","42722929397444800"
"a0mWD000003qvmfYAA","005al00000RVcKvAAL","false","Collateral Pledged","sba-la-collateral-pledged","","nforce__korelatedlist","","","n-icon-relationship","false","nforce__navigation","","","","a0sWD00000cQ1IHYA0","nforce__sub_navigation","","","nforce__topbar","42725770737475454"
"a0mWD000003qvzYYAQ","005al00000RVcKvAAL","false","Joint Intent/Marital Status","joint-intent-marital-status-cdsecured-2borrowers","Visualforce Page","nforce__ncrelatedlist","","","","false","nforce__navigation","","action_new=retail-loan-ui.credit-auth-joint-intent;action_new_label=Please Acknowledge Joint Intent and Marital Status (if applicable) for each Entity Below by clicking ""Edit"" next to each name:","","a0sWD00000cQ1PuYAK","nforce__sub_navigation","credit-auth-joint-intent","","nforce__topbar","427263427853964434"
"a0mWD000003qvzZYAQ","005al00000RVcKvAAL","false","Marital Status","marital-status-cdsecured-1borrower","Visualforce Page","nforce__ncrelatedlist","","","","false","nforce__navigation","","action_new=retail-loan-ui.credit-auth-joint-intent;action_new_label=Please Acknowledge Marital Status (if applicable) for each Entity Below by clicking ""Edit"" next to each name:","","a0sWD00000cQ1PvYAK","nforce__sub_navigation","credit-auth-joint-intent","","nforce__topbar","4272634278539644345"
"a0mWD000003qvzaYAA","005al00000RVcKvAAL","false","Credit Authorization/Marital Status","credit-auth-marital-status-secured-1borrower","Visualforce Page","nforce__ncrelatedlist","","","","false","nforce__navigation","","action_new=retail-loan-ui.credit-auth-joint-intent;action_new_label=Please Acknowledge Credit Authorization and Marital Status (if applicable) for each Entity Below by clicking ""Edit"" next to each name:","","a0sWD00000cQ1PrYAK","nforce__sub_navigation","credit-auth-joint-intent","","nforce__topbar","427263427853967"
"a0mWD000003qw9fYAA","005al00000RVcKvAAL","false","Primary Relationship","loan-ind-primary-relationship","","nforce__blank","","","","false","nforce__navigation","","","","","nforce__sub_navigation","loan-ind-primary-relationship","","nforce__nctopbar","42727164221492000"
"a0mWD000003qvmgYAA","005al00000RVcKvAAL","false","Change Memo","loan-post-read-change-memo","","nforce__ncrelatedlist","","","n-icon-memo","false","nforce__navigation","","readonly=true","","a0sWD00000cQ1RbYAK","nforce__sub_navigation","","","nforce__topbar","42727510747119321"
"a0mWD000003qvzbYAA","005al00000RVcKvAAL","false","Third Party","retail-third-party","Visualforce Page","llc_bi__third_party_management","This productized route is the retail template for the Third Party route. Users clone this route to reduce configuration and implementation time.","","n-icon-fees","false","nFORCE__navigation","","","","a0sWD00000cQ1P5YAK","nFORCE__sub_navigation","retail-third-party","","nforce__topbar","42728355126133167"
"a0mWD000003qw9gYAA","005al00000RVcKvAAL","false","Generate Documents","pm-dep-docprep","","nfuse__depactdocpreplanding","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pm-dep-docprep","","nforce__nctopbar","42730166018309100"
"a0mWD000003qw9hYAA","005al00000RVcKvAAL","false","Know Your Customer","loan-bus-connected-kyc","","llc_bi__questionnaire_relationship_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","loan-bus-connected-kyc","","nforce__nctopbar","42731679519870600"
"a0mWD000003qvmhYAA","005al00000RVcKvAAL","false","Covenants","relationship-covenants","","nforce__ncrelatedlist","","","n-icon-loan","false","nforce__inline_navigation","","","","a0sWD00000cQ1MpYAK","nforce__sub_navigation","relationship-covenants","","nforce__topbar","4273353854754820"
"a0mWD000003qw9iYAA","005al00000RVcKvAAL","false","Check Policy Exceptions","action-auto-policy-exception","","llc_bi__policyexceptionsauto","","","n-icon-exception","false","nforce__navigation","","","","","nforce__sub_navigation","action-auto-policy-exception","","nforce__topbar","42737131375003300"
"a0mWD000003qvzcYAA","005al00000RVcKvAAL","false","Submit For Approval","next-step-submit-approval","Visualforce Page","llc_bi__loan_approval","","","n-icon-submit","false","nforce__navigation","","","","","nforce__sub_navigation","next-step-submit-approval","","nforce__topbar","42737745608142953"
"a0mWD000003qw9jYAA","005al00000RVcKvAAL","false","Treasury Services","pp-sn-treasury-services","","llc_bi__prodpkguitreasuryservicespage","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pp-sn-treasury-services","","nforce__topbar","42737916175296100"
"a0mWD000003qvzdYAA","005al00000RVcKvAAL","false","Run Automated Underwriting","action-retail-run-automated-underwriting","Visualforce Page","nretail__automatedunderwriting","This productized route is the retail template for the Run Automated Underwriting route. Users clone this route to reduce configuration and implementation time.","","n-icon-analyze","false","nFORCE__navigation","","","","","nFORCE__sub_navigation","action-retail-run-automated-underwriting","","nforce__topbar","42739830311653001"
"a0mWD000003qw9kYAA","005al00000RVcKvAAL","false","Partner","sba-partner","","nforce__kodatagridlookup","","","","false","nforce__navigation","","","","a0sWD00000cQ1NRYA0","nforce__sub_navigation","sba-partner","","nforce__topbar","42740829783336200"
"a0mWD000003qvzeYAA","005al00000RVcKvAAL","false","Additional Business Info","odao-bus-kyc","Visualforce Page","llc_bi__questionnaire_relationship_app","","","","false","nforce__navigation","","","","","nforce__sub_navigation","odao-bus-kyc","","nforce__nctopbar","42741039945234182"
"a0mWD000003qvzfYAA","005al00000RVcKvAAL","false","Editable Details","small-business-loan-post-approval-ui-editable-details","","nforce__ncdatagrid","","","","false","nforce__navigation","","","","a0sWD00000cQ1PAYA0","nforce__sub_navigation","","","nforce__topbar","42742109482439450"
"a0mWD000003qw9lYAA","005al00000RVcKvAAL","false","Fees","loan-fees-m","","","","","n-icon-fees","false","","","","","","","loan-fees-m","","","42744072508833500"
"a0mWD000003qvmiYAA","005al00000RVcKvAAL","false","Underwriting","sbl-sub-underwriting","","nretail__underwritingdetails","","","n-icon-loan","false","nFORCE__navigation","","","","a0sWD00000cQ1YWYA0","nFORCE__sub_navigation","sbl-sub-underwriting","","nretail__summaryheadertopbar","42744304443980600"
"a0mWD000003qw9mYAA","005al00000RVcKvAAL","false","Reviews","pp-tn-reviews-m","","llc_bi__prodpkguireviews","","","","false","nforce__navigation","","","","","nforce__sub_navigation","pp-tn-reviews-m","","nforce__topbar","4274757343032110"
