"Id","OwnerId","IsDeleted","Name","nFORCE__Api_Key__c","nFORCE__Classification_Tag__c","nFORCE__Default_Text_Answer__c","nFORCE__Form_Type__c","nFORCE__Group__c","nFORCE__Help_Text__c","nFORCE__Is_Archived__c","nFORCE__Is_Required__c","nFORCE__Label__c","nFORCE__Maximum__c","nFORCE__Minimum__c","nFORCE__Order__c","nFORCE__Target_Answer_Field__c","nFORCE__lookupKey__c","nFORCE__Decimal_Scale__c"
"a0gWD000002GyyoYAC","005al00000RVcKvAAL","false","Q-001076","","","","Picklist","a0XWD000002hCCp2AM","","false","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","","","4.0","","a304S0000008XYdQAM",""
"a0gWD000002GyypYAC","005al00000RVcKvAAL","false","Q-001077","","","","Picklist","a0XWD000002hCCv2AM","","false","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","","","1.0","","a304S0000008XYeQAM",""
"a0gWD000002GyyqYAC","005al00000RVcKvAAL","false","Q-001078","","","","Picklist","a0XWD000002hCCv2AM","","false","false","I certify this loan has been marked as ""Reg O Reportable"".","","","2.0","","a304S0000008XYfQAM",""
"a0gWD000002GyyrYAC","005al00000RVcKvAAL","false","Q-001079","","","","Picklist","a0XWD000002hCD22AM","","false","false","Is any borrower, co-borrower, or guarantor company directly or indirectly controlled, sponsored, or advised by our bank?","","","0.0","","a304S0000008XYgQAM",""
"a0gWD000002GyysYAC","005al00000RVcKvAAL","false","Q-001080","","","","Picklist","a0XWD000002hCD22AM","","false","false","I certify that Reg W applies to this loan.","","","5.0","","a304S0000008XYhQAM",""
"a0gWD000002GyytYAC","005al00000RVcKvAAL","false","Q-001081","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan HMDA reportable?","","","0.0","","a304S0000008XYiQAM",""
"a0gWD000002GyyuYAC","005al00000RVcKvAAL","false","Q-001082","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan a renewal, extension or modification of a previously HMDA reportable file?","","","1.0","","a304S0000008XYjQAM",""
"a0gWD000002GyyvYAC","005al00000RVcKvAAL","false","Q-001083","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan for business purposes?","","","2.0","","a304S0000008XYkQAM",""
"a0gWD000002GyywYAC","005al00000RVcKvAAL","false","Q-001084","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is the loan amount $1 Million or less?","","","3.0","","a304S0000008XYlQAM",""
"a0gWD000002GyyxYAC","005al00000RVcKvAAL","false","Q-001085","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan an origination?","","","4.0","","a304S0000008XYmQAM",""
"a0gWD000002GyyyYAC","005al00000RVcKvAAL","false","Q-001086","","","","Picklist","a0XWD000002hCD32AM","","false","false","I certify that this loan is CRA reportable?","","","6.0","","a304S0000008XYnQAM",""
"a0gWD000002GyyzYAC","005al00000RVcKvAAL","false","Q-001087","","","","Picklist","a0XWD000002hCCm2AM","","false","true","Will this loan be used for construction of:","","","0.0","","a304S0000008XYoQAM",""
"a0gWD000002Gyz0YAC","005al00000RVcKvAAL","false","Q-001088","","","","Picklist","a0XWD000002hCCm2AM","","false","false","Is the LTV ratio less than or equal to the applicable maximum supervisory LTV ratio?","","","1.0","","a304S0000008XYpQAM",""
"a0gWD000002Gyz1YAC","005al00000RVcKvAAL","false","Q-001089","","","","Picklist","a0XWD000002hCCm2AM","","false","false","Has the borrower contributed capital to the project in the form of cash or unencumbered readily marketable assets (must contribute to the project) estate's appraised ""as completed"" value?","","","2.0","","a304S0000008XYqQAM",""
"a0gWD000002Gyz2YAC","005al00000RVcKvAAL","false","Q-001090","","","","Picklist","a0XWD000002hCCm2AM","","false","false","The borrower contributed the amount of capital required, described above, prior to the bank advancing any dunds under the credit facility?","","","3.0","","a304S0000008XYrQAM",""
"a0gWD000002Gyz3YAC","005al00000RVcKvAAL","false","Q-001091","","","","Picklist","a0XWD000002hCCm2AM","","false","false","The capital contributed by the borrower, or internally generated by the project, is contractually required to remain in the project throughout the life of the project?","","","4.0","","a304S0000008XYsQAM",""
"a0gWD000002Gyz4YAC","005al00000RVcKvAAL","false","Q-001092","","","","Picklist","a0XWD000002hCCm2AM","","false","false","I certify this transaction has been indicated as a HVCRE reportable transaction?","","","5.0","","a304S0000008XYtQAM",""
"a0gWD000002Gyz5YAC","005al00000RVcKvAAL","false","Q-001093","","","","Picklist","a0XWD000002hCDE2A2","","false","false","What is your expected annual revenue?","","","0.0","","a304S0000008XYuQAM",""
"a0gWD000002Gyz6YAC","005al00000RVcKvAAL","false","Q-001094","","","","Picklist","a0XWD000002hCDE2A2","","false","false","What is your expected annual expenses?","","","1.0","","a304S0000008XYvQAM",""
"a0gWD000002Gyz7YAC","005al00000RVcKvAAL","false","Q-001095","","","","Picklist","a0XWD000002hCDE2A2","","false","false","Do you expect to conduct international transactions?","","","2.0","","a304S0000008XYwQAM",""
"a0gWD000002Gyz8YAC","005al00000RVcKvAAL","false","Q-001096","","","","Picklist","a0XWD000002hCDE2A2","","false","false","How much will your business deposit in cash on a daily basis?","","","4.0","","a304S0000008XYxQAM",""
"a0gWD000002Gyz9YAC","005al00000RVcKvAAL","false","Q-001097","","","","Picklist","a0XWD000002hCDE2A2","","false","false","How long have you been in business?","","","5.0","","a304S0000008XYyQAM",""
"a0gWD000002GyzAYAS","005al00000RVcKvAAL","false","Q-001098","","","","Picklist","a0XWD000002hCDE2A2","","false","false","What amount do you intend to maintain in this account?","","","6.0","","a304S0000008XYzQAM",""
"a0gWD000002GyzBYAS","005al00000RVcKvAAL","false","Q-001099","","","","Picklist","a0XWD000002hCDE2A2","","false","false","How will you be using this account?","","","7.0","","a304S0000008XZ0QAM",""
"a0gWD000002GyzCYAS","005al00000RVcKvAAL","false","Q-001100","","","","Picklist","a0XWD000002hCDE2A2","","false","false","Do any of the following apply to your business?","","","8.0","","a304S0000008XZ1QAM",""
"a0gWD000002GyzDYAS","005al00000RVcKvAAL","false","Q-001101","","","","Picklist","a0XWD000002hCDE2A2","","false","false","May I ask you a few more questions to better understand your needs?","","","10.0","","a304S0000008XZ2QAM",""
"a0gWD000002GyzEYAS","005al00000RVcKvAAL","false","Q-001102","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is the loan (not secured by residential dwelling) for the purpose of improving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","","","2.0","","a304S0000008XZ3QAM",""
"a0gWD000002GyzFYAS","005al00000RVcKvAAL","false","Q-001103","","","","Picklist","a0XWD000002hCCp2AM","","false","false","I certify that this loan IS NOT HMDA Reportable.","","","5.0","","a304S0000008XZ4QAM",""
"a0gWD000002GyzGYAS","005al00000RVcKvAAL","false","Q-001104","","","","Picklist","a0XWD000002hCD22AM","","false","false","Does this transaction intend to support the purchase of assets from an affiliate?","","","1.0","","a304S0000008XZ5QAM",""
"a0gWD000002GyzHYAS","005al00000RVcKvAAL","false","Q-001105","","","","Picklist","a0XWD000002hCD22AM","","false","false","Does this transaction contain a guarantee on behalf of an affiliate?","","","2.0","","a304S0000008XZ6QAM",""
"a0gWD000002GyzIYAS","005al00000RVcKvAAL","false","Q-001106","","","","Picklist","a0XWD000002hCD22AM","","false","false","Does this transaction help to invest in securities issued by an affiliate?","","","3.0","","a304S0000008XZ7QAM",""
"a0gWD000002GyzJYAS","005al00000RVcKvAAL","false","Q-001107","","","","Picklist","a0XWD000002hCD22AM","","false","false","Does this transaction utilize as collateral any securities issued by an affiliate?","","","4.0","","a304S0000008XZ8QAM",""
"a0gWD000002GyzKYAS","005al00000RVcKvAAL","false","Q-001108","","","","Text","a0XWD000002hCD22AM","","false","false","Please describe how the subject transaction is in compliance with market terms and arms length definitions as defined in Reg W.","","","6.0","","a304S0000008XZ9QAM",""
"a0gWD000002GyzLYAS","005al00000RVcKvAAL","false","Q-001109","","","","Picklist","a0XWD000002hCCm2AM","","false","false","I certify this transaction is NOT HVCRE reportable","","","6.0","","a304S0000008XZAQA2",""
"a0gWD000002GyzMYAS","005al00000RVcKvAAL","false","Q-001110","","","","Picklist","a0XWD000002hCD32AM","","false","false","I certify this loan is not CRA reportable?","","","5.0","","a304S0000008XZBQA2",""
"a0gWD000002GyzNYAS","005al00000RVcKvAAL","false","Q-001111","","","","Picklist","a0XWD000002hCCr2AM","","false","false","How often do you send money out of the country?","","","0.0","","a304S0000008XZCQA2",""
"a0gWD000002GyzOYAS","005al00000RVcKvAAL","false","Q-001112","","","","Picklist","a0XWD000002hCCr2AM","","false","false","May I ask you a few more questions to better understand your needs?","","","5.0","","a304S0000008XZDQA2",""
"a0gWD000002GyzPYAS","005al00000RVcKvAAL","false","Q-001113","","","","Picklist","a0XWD000002hCCr2AM","","false","false","How do you prefer to monitor your account activity?","","","8.0","","a304S0000008XZEQA2",""
"a0gWD000002GyzQYAS","005al00000RVcKvAAL","false","Q-001114","","","","Picklist","a0XWD000002hCCr2AM","","false","false","How do you typically pay for purchases?","","","6.0","","a304S0000008XZFQA2",""
"a0gWD000002GyzRYAS","005al00000RVcKvAAL","false","Q-001115","","","","Picklist","a0XWD000002hCCr2AM","","false","false","How do you typically pay your monthly bills?","","","7.0","","a304S0000008XZGQA2",""
"a0gWD000002GyzSYAS","005al00000RVcKvAAL","false","Q-001116","","","","Picklist","a0XWD000002hCCr2AM","","true","false","How often do you send money out of the country?","","","0.0","","a304S0000008XZHQA2",""
"a0gWD000002GyzTYAS","005al00000RVcKvAAL","false","Q-001117","","","","Picklist","a0XWD000002hCCr2AM","","false","false","Do you typically make cash deposits?","","","2.0","","a304S0000008XZIQA2",""
"a0gWD000002GyzUYAS","005al00000RVcKvAAL","false","Q-001118","","","","Picklist","a0XWD000002hCCr2AM","","false","false","How much in cash are you typically depositing?","","","3.0","","a304S0000008XZJQA2",""
"a0gWD000002GyzVYAS","005al00000RVcKvAAL","false","Q-001119","","","","Picklist","a0XWD000002hCCr2AM","","false","false","How do you typically make your deposits?","","","1.0","","a304S0000008XZKQA2",""
"a0gWD000002GyzWYAS","005al00000RVcKvAAL","false","Q-001120","","","","Picklist","a0XWD000002hCCr2AM","","false","false","What type of automatic payments do you have coming out of your accounts?","","","4.0","","a304S0000008XZLQA2",""
"a0gWD000002GyzXYAS","005al00000RVcKvAAL","false","Q-001121","","","","Picklist","a0XWD000002hCCr2AM","","false","false","In the next year, do you plan to move locally or relocate?","","","9.0","","a304S0000008XZMQA2",""
"a0gWD000002GyzYYAS","005al00000RVcKvAAL","false","Q-001122","","","","Picklist","a0XWD000002hCCr2AM","","false","false","In the next year, do you plan to buy or sell any real estate?","","","10.0","","a304S0000008XZNQA2",""
"a0gWD000002GyzZYAS","005al00000RVcKvAAL","false","Q-001123","","","","Picklist","a0XWD000002hCCr2AM","","false","false","In the next year, do you plan reevaluate how you are planning for your retirement?","","","11.0","","a304S0000008XZOQA2",""
"a0gWD000002GyzaYAC","005al00000RVcKvAAL","false","Q-001124","","","","Picklist","a0XWD000002hCDE2A2","","false","false","How often do you expect to send money overseas?","","","3.0","","a304S0000008XZPQA2",""
"a0gWD000002GyzbYAC","005al00000RVcKvAAL","false","Q-001125","","","","Picklist","a0XWD000002hCDE2A2","","true","false","How much will your business deposit in cash on a daily basis?","","","5.0","","a304S0000008XZQQA2",""
"a0gWD000002GyzcYAC","005al00000RVcKvAAL","false","Q-001126","","","","Picklist","a0XWD000002hCDE2A2","","false","false","Are you registered as a Money Service Business with the state in which you operate?","","","9.0","","a304S0000008XZRQA2",""
"a0gWD000002GyzdYAC","005al00000RVcKvAAL","false","Q-001127","","","","Picklist","a0XWD000002hCDE2A2","","false","false","May I tell you more about our Treasury Services?","","","12.0","","a304S0000008XZSQA2",""
"a0gWD000002GyzeYAC","005al00000RVcKvAAL","false","Q-001128","","","","Picklist","a0XWD000002hCDE2A2","","false","false","What types of banking services do you typically use?","","","11.0","","a304S0000008XZTQA2",""
"a0gWD000002GyzfYAC","005al00000RVcKvAAL","false","Q-001129","","","","Picklist","a0XWD000002hCDE2A2","","false","false","In the next year do you plan to buy or sell any real estate?","","","14.0","","a304S0000008XZUQA2",""
"a0gWD000002GyzgYAC","005al00000RVcKvAAL","false","Q-001130","","","","Picklist","a0XWD000002hCDE2A2","","false","false","In the next year, do you plan to add additional locations?","","","13.0","","a304S0000008XZVQA2",""
"a0gWD000002GyzhYAC","005al00000RVcKvAAL","false","Q-001131","","","","Picklist","a0XWD000002hCDE2A2","","false","false","In the next year do you plan to reevaluate retirement options for yourself or your employees?","","","15.0","","a304S0000008XZWQA2",""
"a0gWD000002GyziYAC","005al00000RVcKvAAL","false","Q-001132","","","","Picklist","a0XWD000002hCDE2A2","","false","false","In the next year do you plan to purchase or refinance any business associated assets?","","","16.0","","a304S0000008XZXQA2",""
"a0gWD000002GyzjYAC","005al00000RVcKvAAL","false","Q-001133","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is this loan secured by a residential dwelling including: 1-2 Family home (condominium) Manufactured housing (with or without land) Multi-family dwelling (five or more units)?","","","0.0","","a304W00000AWE7TQAX",""
"a0gWD000002GyzkYAC","005al00000RVcKvAAL","false","Q-001134","","","","Picklist","a0XWD000002hCCp2AM","","true","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","","","4.0","","a304W00000AWE7UQAX",""
"a0gWD000002GyzlYAC","005al00000RVcKvAAL","false","Q-001135","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is this loan purpose to purchase, improve, or refinance a dwelling?","","","1.0","","a304W00000AWE7VQAX",""
"a0gWD000002GyzmYAC","005al00000RVcKvAAL","false","Q-001136","","","","Picklist","a0XWD000002hCCp2AM","","true","false","Is the loan (not secured by residential dwelling) for the purpose of imporving (repair, rehabilitation, or renovating) a residential dwelling AND the bank classified it as a home improvement loan?","","","2.0","","a304W00000AWE7WQAX",""
"a0gWD000002GyznYAC","005al00000RVcKvAAL","false","Q-001137","","","","Picklist","a0XWD000002hCCp2AM","","false","false","Is this loan a construction-only, bridge loan, or other temporary financing expected to be replaced with permanent financing?","","","3.0","","a304W00000AWE7XQAX",""
"a0gWD000002GyzoYAC","005al00000RVcKvAAL","false","Q-001138","","","","Picklist","a0XWD000002hCCp2AM","","true","false","I certify that this loan IS NOT HMDA Reportable.","","","4.0","","a304W00000AWE7YQAX",""
"a0gWD000002GyzpYAC","005al00000RVcKvAAL","false","Q-001139","","","","Picklist","a0XWD000002hCCv2AM","","false","false","Is any borrower, co-borrower, or guarantor an executive officer, director, or principal shareholder of that bank, of a bank holding company of which the member bank is a subsidiary, and of any other subsidiary of that bank holding company?","","","0.0","","a304W00000AWE7ZQAX",""
"a0gWD000002GyzqYAC","005al00000RVcKvAAL","false","Q-001140","","","","Picklist","a0XWD000002hCCv2AM","","true","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","","","1.0","","a304W00000AWE7aQAH",""
"a0gWD000002GyzrYAC","005al00000RVcKvAAL","false","Q-001141","","","","Picklist","a0XWD000002hCCv2AM","","true","false","I certify this loan has been marked as ""Reg O Reportable"".","","","2.0","","a304W00000AWE7bQAH",""
"a0gWD000002GyzsYAC","005al00000RVcKvAAL","false","Q-001142","","","","Picklist","a0XWD000002hCCp2AM","","false","false","I certify that this loan has been marked HMDA Reportable and the applicable loan details have been populated.","","","4.0","","a304W00000AWE7cQAH",""
"a0gWD000002GyztYAC","005al00000RVcKvAAL","false","Q-001143","","","","Picklist","a0XWD000002hCCv2AM","","false","false","If any borrower, co-borrower, or guarantor of this loan is an employee of the bank or any affiliates, I certify I have indicated this is an ""Employee Loan"".","","","1.0","","a304W00000AWE7dQAH",""
"a0gWD000002GyzuYAC","005al00000RVcKvAAL","false","Q-001144","","","","Picklist","a0XWD000002hCCv2AM","","false","false","I certify this loan has been marked as ""Reg O Reportable"".","","","2.0","","a304W00000AWE7eQAH",""
"a0gWD000002GyzvYAC","005al00000RVcKvAAL","false","Q-001145","","","","Picklist","a0XWD000002hCD22AM","","false","false","Is any borrower, co-borrower, or guarantor company directly or indirectly controlled, sponsored, or advised by our bank?","","","0.0","","a304W00000AWE7fQAH",""
"a0gWD000002GyzwYAC","005al00000RVcKvAAL","false","Q-001146","","","","Picklist","a0XWD000002hCD22AM","","false","false","I certify that Reg W applies to this loan.","","","5.0","","a304W00000AWE7gQAH",""
"a0gWD000002GyzxYAC","005al00000RVcKvAAL","false","Q-001147","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan HMDA reportable?","","","0.0","","a304W00000AWE7hQAH",""
"a0gWD000002GyzyYAC","005al00000RVcKvAAL","false","Q-001148","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan a renewal, extension or modification of a previously HMDA reportable file?","","","1.0","","a304W00000AWE7iQAH",""
"a0gWD000002GyzzYAC","005al00000RVcKvAAL","false","Q-001149","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan for business purposes?","","","2.0","","a304W00000AWE7jQAH",""
"a0gWD000002Gz00YAC","005al00000RVcKvAAL","false","Q-001150","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is the loan amount $1 Million or less?","","","3.0","","a304W00000AWE7kQAH",""
"a0gWD000002Gz01YAC","005al00000RVcKvAAL","false","Q-001151","","","","Picklist","a0XWD000002hCD32AM","","false","false","Is this loan an origination?","","","4.0","","a304W00000AWE7lQAH",""
"a0gWD000002Gz02YAC","005al00000RVcKvAAL","false","Q-001152","","","","Picklist","a0XWD000002hCD32AM","","false","false","I certify that this loan is CRA reportable?","","","6.0","","a304W00000AWE7mQAH",""
"a0gWD000002Gz03YAC","005al00000RVcKvAAL","false","Q-001153","","","","Picklist","a0XWD000002hCCm2AM","","false","true","Will this loan be used for construction of:","","","0.0","","a304W00000AWE7nQAH",""
"a0gWD000002Gz04YAC","005al00000RVcKvAAL","false","Q-001154","","","","Picklist","a0XWD000002hCCm2AM","","false","false","Is the LTV ratio less than or equal to the applicable maximum supervisory LTV ratio?","","","1.0","","a304W00000AWE7oQAH",""
