"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c"
"a0qal00000CdJdGAAV","false","Collateral Valuation","a0sal000004PdLlAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42263686687538568","LLC_BI__Collateral__c",""
"a0qal00000CdJdHAAV","false","Collateral Search Results","a0sal000004PdLUAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42265414594135939","LLC_BI__Collateral__c",""
"a0qal00000CdJdIAAV","false","Collateral Search Results","a0sal000004PdLmAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42275749942731791","LLC_BI__Collateral__c",""
"a0qVx00000Gm4OLIAZ","false","Collateral Search Results","a0sVx000002iIXfIAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42276574753049427","LLC_BI__Collateral__c",""
"a0qal00000CdJdJAAV","false","Bulk Pledge Details","a0sal000004PdLlAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42278275281163285","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdKAAV","false","Collateral Valuation","a0sal000004PdLnAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42301426787635379","LLC_BI__Collateral__c",""
"a0qal00000CdJdLAAV","false","Bulk Pledge Details","a0sal000004PdLoAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42302197961286282","LLC_BI__Loan_Collateral2__c",""
"a0qVx00000Gm4PcIAJ","false","Collateral Valuation","a0sVx000002iIT4IAM","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42321335984014317","LLC_BI__Collateral__c",""
"a0qal00000CdJdMAAV","false","Collateral Search Results","a0sal000004PdLiAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42324251124134576","LLC_BI__Collateral__c",""
"a0qal00000CdJdNAAV","false","Bulk Pledge Details","a0sal000004PdLXAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42324850389840785","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJroAAF","false","Collateral Search Results","a0sal000004PdNWAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42341236978633924","LLC_BI__Collateral__c",""
"a0qal00000CdJdOAAV","false","Collateral Valuation","a0sal000004PdLdAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42349998591038546","LLC_BI__Collateral__c",""
"a0qal00000CdJdPAAV","false","Collateral Search Results","a0sal000004PdLpAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42355584328676920","LLC_BI__Collateral__c",""
"a0qal00000CdJdQAAV","false","Collateral Search Results","a0sal000004PdLhAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42372503340940549","LLC_BI__Collateral__c",""
"a0qVx00000Gm4SqIAJ","false","Collateral Search Results","a0sVx000002iIWRIA2","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42384811655248690","LLC_BI__Collateral__c",""
"a0qal00000CdJdSAAV","false","Collateral Search Results","a0sal000004PdLoAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42400804380149719","LLC_BI__Collateral__c",""
"a0qal00000CdJdTAAV","false","Collateral Search Results","a0sal000004PdLYAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42407198864532806","LLC_BI__Collateral__c",""
"a0qal00000CdJs6AAF","false","Collateral Details","a0sal000004PdNWAA0","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42408547330158687","LLC_BI__Loan_Collateral2__c",""
"a0qal00000CdJdVAAV","false","Collateral Valuation","a0sal000004PdLiAAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42424425548316676","LLC_BI__Collateral__c",""
