"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWE00000W9ie1YAB","false","Pledge Details","","","a0sWE000002tqeiYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42560036649135156","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9ifFYAR","false","Bulk Pledge Details","","","a0sWE000002tqfhYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42615334647610688","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9ifuYAB","false","Collateral Valuation","","","a0sWE000002tqeyYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42636758536657529","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ifvYAB","false","Bulk Pledge Details","","","a0sWE000002tqfAYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42637226840552638","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9igBYAR","false","Bulk Pledge Details","","","a0sWE000002tqeOYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42649800298279122","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9igWYAR","false","Collateral Search Results","","","a0sWE000002tqesYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42672268055648249","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9igtYAB","false","Collateral Valuation","","","a0sWE000002tqfhYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42683828209591215","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ihDYAR","false","Collateral Valuation","","","a0sWE000002tqeOYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42699376658931831","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ihdYAB","false","Collateral Valuation","","","a0sWE000002tqejYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42719981069742436","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ihkYAB","false","Collateral Valuation","","","a0sWE000002tqfbYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42724201043734643","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iiEYAR","false","Bulk Pledge Details","","","a0sWE000002tqeyYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42745692644457605","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iiWYAR","false","Collateral Details","","","a0sWE000002tqfdYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42756644578938984","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWD00000GSLXfYAP","false","Collateral Valuation","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42770916055813452","LLC_BI__Collateral__c","","","",""
"a0qWD00000GTAbCYAX","false","SBL OA Posseossery","","","a0sWD00000XoBohYAF","false","false","false","false","","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","","","MappedSObjectScreenResource","","42787908567926334","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ijVYAR","false","Collateral Search Results","","","a0sWE000002tqezYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42805212959009489","LLC_BI__Collateral__c","","","",""
"a0qWD00000GSLXhYAP","false","Pledge Details","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42837477030719818","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9ikcYAB","false","Collateral Search Results","","","a0sWE000002tqfHYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42855338262284267","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iknYAB","false","Bulk Pledge Details","","","a0sWE000002tqexYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42863673639779731","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9ikqYAB","false","Collateral Search Results","","","a0sWE000002tqeqYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42865362700638445","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ilZYAR","false","Collateral Search Results","","","a0sWE000002tqfdYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","4289077711468689","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9ilaYAB","false","Bulk Pledge Details","","","a0sWE000002tqeiYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42890787500455069","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWD00000GTAfkYAH","false","SBL OA Real Estate Screen","","","a0sWD00000XoBlNYAV","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","429048491265969971","LLC_BI__Collateral__c","","","",""
"a0qWD00000GT9VZYA1","false","Bulk Pledge Details","","","a0sWD00000XoCL3YAN","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42922597703739427","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9imUYAR","false","Collateral Search Results","","","a0sWE000002tqejYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42927034709879004","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9imbYAB","false","Collateral Search Results","","","a0sWE000002tqfNYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42931257077940933","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9imsYAB","false","Collateral Valuation","","","a0sWE000002tqeiYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42942024594527494","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iHbYAJ","false","Collateral Search Results","","","a0sWE000002tqfhYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42954137051418988","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iHdYAJ","false","Pledge Details","","","a0sWE000002tqfdYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42954666193102875","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iHpYAJ","false","Bulk Pledge Details","","","a0sWE000002tqesYAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42960334219562572","LLC_BI__Loan_Collateral2__c","","","",""
"a0qWE00000W9iI1YAJ","false","Collateral Valuation","","","a0sWE000002tqf5YAA","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42967747533345043","LLC_BI__Collateral__c","","","",""
"a0qWE00000W9iIEYAZ","false","Collateral Search Results","","","a0sWE000002tqfAYAQ","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42976588561781420","LLC_BI__Collateral__c","","","",""
