"Id","OwnerId","IsDeleted","Name","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000001m8cn2AA","005al00000RVcKvAAL","false","FC-002248","","","","","","","","CreatedDate","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000GWKZNYA5","","false","","42865013837701102","Daily_Limit_Change__c",""
"a0SWD000001m8co2AA","005al00000RVcKvAAL","false","FC-002249","","Business Name","","","Name not found","","","Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWKTcYAP","","false","","42873341063979028","SIOC__CompanyInfo__c",""
"a0SWD000001m8Ju2AI","005al00000RVcKvAAL","false","FC-002187","","","","","Booked","","","LLC_BI__Stage__c","","Stages to Display","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWFmcYAH","","false","","42874378885559190","LLC_BI__Loan__c",""
"a0SWD000001m8IT2AY","005al00000RVcKvAAL","false","FC-002098","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFeqYAH","","false","","42875561931260967","LLC_BI__Loan__c",""
"a0SWD000001m84g2AA","005al00000RVcKvAAL","false","FC-001243","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWFVuYAP","","false","","42884335687819065","LLC_BI__Legal_Entities__c",""
"a0SWD000001m8C92AI","005al00000RVcKvAAL","false","FC-001706","","","","","","","","LLC_BI__Account__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFb2YAH","","false","","42885604852150311","LLC_BI__Loan__c",""
"a0SWD000001m8IU2AY","005al00000RVcKvAAL","false","FC-002099","","","","","","","","Referral_Contact__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFeKYAX","","false","","42898157922042105","LLC_BI__Loan__c",""
"a0SWD000001m8K92AI","005al00000RVcKvAAL","false","FC-002202","","","","","","","","LLC_BI__CRA_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWJc3YAH","","false","","42914663871139843","LLC_BI__Loan__c",""
"a0SWD000001m8CA2AY","005al00000RVcKvAAL","false","FC-001707","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000GWFaPYAX","","false","","42919911116897775","LLC_BI__Legal_Entities__c",""
"a0SWD000001m8KA2AY","005al00000RVcKvAAL","false","FC-002203","","","","","","","","LLC_BI__Approval_Status__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000GWFn6YAH","","false","","42937821374556311","LLC_BI__Credit_Memo_Modifcation__c",""
