"Id","IsDeleted","Name","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000BAHA6YAP","false","SC-000019389","a0qWD00000GWFf9YAH","1.01","Loan_UI_Third_Party_Mgmt_Route","","","","false","a0vWD00000BAGqsYAH","LLC_BI__Service_Mgmt__r","","","false","0240312506404973B853312B2B112446","LLC_BI__Service_Mgmt__c"
"a0vWD00000BAGm8YAH","false","SC-000017943","a0qWD00000GWFcjYAH","0.0","LLC_BI__UI_CRA_Loan_Information","","","","false","","","Loan Information","","false","02511585311472184","LLC_BI__Loan__c"
"a0vWD00000BAGpZYAX","false","SC-000018156","a0qWD00000GWFdfYAH","10.0","","","","","false","","","","","false","02551701790671954","LLC_BI__Deposit__c"
"a0vWD00000BAGm9YAH","false","SC-000017944","a0qWD00000GWFZJYA5","1.01","IBCL_Consumer_Next_Steps","","a0bWD0000011TNZYA2","0.0","false","","","","","false","02651602764632535","LLC_BI__Loan__c"
"a0vWD00000BAGmAYAX","false","SC-000017945","a0qWD00000GWFZbYAP","1.01","OA_Primary_ID_Details","","a0bWD0000011TNaYAM","0.0","false","","","","","false","02691598553324362","Contact"
"a0vWD00000BAJcJYAX","false","SC-000020574","a0qWD00000GWIjcYAH","1.01","TS_OE_BCC","","","0.0","false","","","","","false","02731575852748016","LLC_BI__Treasury_Service__c"
"a0vWD00000BAH6BYAX","false","SC-000019146","a0qWD00000GWFR1YAP","2.01","UI_Borrowing_Structure","","","","false","a0vWD00000BAGlRYAX","LLC_BI__Legal_Entities__r","Borrowing Structure","","false","02741560278867810","LLC_BI__Legal_Entities__c"
"a0vWD00000BAGpaYAH","false","SC-000018157","a0qWD00000GWFddYAH","1.01","","","a0bWD0000011TQiYAM","0.0","false","","","","","false","03111701790671952","LLC_BI__Deposit__c"
"a0vWD00000BAKGZYA5","false","SC-000022893","a0qWD00000GWImaYAH","2.02","LLC_BI__UI_Beneficiary","","","","false","a0vWD00000BAJe5YAH","LLC_BI__Deposits__r","","","false","03263E7A_7E37_4849_912F_4752437A5C6C","LLC_BI__Beneficiary__c"
"a0vWD00000BAGqdYAH","false","SC-000018222","a0qWD00000GWFdqYAH","1.01","UI_Loan_Details","","a0bWD0000011TQoYAM","","false","","","","","false","033E170D704C4E2F896F103579001216","LLC_BI__Loan__c"
