"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","AutorabitExtId__c"
"a0XWE000002gDPx2AM","005al00000RVcKvAAL","false","Deposit Product Questionnaire","Business Account","","","false","","false","true","","","42124102390932389","","","","","","","","",""
"a0XWE000002gDPy2AM","005al00000RVcKvAAL","false","Small Business Retail Lending","","","","false","","false","true","","","42128895100604846","","","","","","","","",""
"a0XWE000002gDPz2AM","005al00000RVcKvAAL","false","Return Deposited Item","","tmmg-ReturnDepositedItem01-00","","false","","false","false","","","42133411758186930","","","","","","","","",""
"a0XWE000002gDQ02AM","005al00000RVcKvAAL","false","Treasury Configuration","","treasury-config","","false","","false","false","","","42143513379842577","","","","","","","","",""
"a0XWE000002gDQ12AM","005al00000RVcKvAAL","false","Secured Small Business Loan Application","","portal-sbl-secured","","false","","false","false","","portal-sbl-secured","42144815564389495","","","","","","","","",""
"a0XWE000002gDSg2AM","005al00000RVcKvAAL","false","Deposit Ancillary Services Maintenance","","dep-pm-ancillary-services","","false","","false","false","","dep-pm-ancillary-services","42154253801321945","","","","","","","","",""
"a0XWE000002gDQ22AM","005al00000RVcKvAAL","false","OB Information Reporting","","tmmg-OBInformationReporting00-00","","false","","false","false","","","42161487210648280","","","","","","","","",""
"a0XWE000002gDTJ2A2","005al00000RVcKvAAL","false","Retail Loan ADD","","","","false","","false","true","","","42161599347242956","","","","","","","","",""
"a0XWE000002lTk02AE","005al00000RVcKvAAL","false","CP Group_PO_F","","CP_UIConfig_F","","false","","false","false","","","42170311110272447","","","","","","","","",""
"a0XWE000002gDQ32AM","005al00000RVcKvAAL","false","Session Redirect","","session-redirect","","false","","false","false","","session-redirect","42175376029357054","Used to redirect the user that started the loan session to the actual loan record. (WILL BE REMOVED ONCE FALL RELEASE IS INSTALLED)","","","","","","","",""
"a0XWE000002gDQ42AM","005al00000RVcKvAAL","false","ACH Direct Send","","tmmg-ACHDirectSend00-00","","false","","false","false","","","42176513421434370","","","","","","","","",""
"a0XWE000002gDQ52AM","005al00000RVcKvAAL","false","Overdraft Protection","","tmmg-OverdraftProtection01-00","","false","","false","false","","","42178474390866250","","","","","","","","",""
"a0XWE000002gDTV2A2","005al00000RVcKvAAL","false","a2B79000000trJi","","","","false","","false","false","","","42180675330014550","","","","","","","","",""
"a0XWE000002gDQ62AM","005al00000RVcKvAAL","false","ACH Debit","","tmmg-ACHDebit00-00","","false","","false","false","","","42182351739442362","","","","","","","","",""
"a0XWE000002gDQ72AM","005al00000RVcKvAAL","false","Check Printing","","tmmg-CheckPrinting00-00","","false","","false","false","","","42182936697621246","","","","","","","","",""
