"Id","OwnerId","IsDeleted","Name","nFORCE__Api_Value__c","nFORCE__Is_Default__c","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate"
"a0eWE0000058rJ5YAI","005al00000RVcKvAAL","false","O-002460","","false","No","2.0","a0gWE000001QK7ZYAW","42933634544753542","","","","","","",""
"a0eWE0000058rJ6YAI","005al00000RVcKvAAL","false","O-002461","","false","Yes","1.0","a0gWE000001QK7eYAG","429367259948288","","","","","","",""
"a0eWE0000058rJ7YAI","005al00000RVcKvAAL","false","O-002462","","false","Yes","1.0","a0gWE000001QK7NYAW","42949559886462050","","","","","","",""
"a0eWE0000058rJ8YAI","005al00000RVcKvAAL","false","O-002463","","false","Prof Service Provider","10.0","a0gWE000001QK7pYAG","42965255083306270","","","","","","",""
"a0eWE0000058rJ9YAI","005al00000RVcKvAAL","false","O-002464","","false","No","2.0","a0gWE000001QK7NYAW","42965730624463035","","","","","","",""
"a0eWE0000058rJAYAY","005al00000RVcKvAAL","false","O-002465","","false","NGO","4.0","a0gWE000001QK7pYAG","42965951069650552","","","","","","",""
"a0eWE0000058rJBYAY","005al00000RVcKvAAL","false","O-002466","","false","Incoming","1.0","a0gWE000001QK7hYAG","42969731581391059","","","","","","",""
"a0eWE0000058rJCYAY","005al00000RVcKvAAL","false","O-002467","","false","Cash Intensive Business","8.0","a0gWE000001QK7pYAG","42978630503339765","","","","","","",""
"a0eWE0000058rJDYAY","005al00000RVcKvAAL","false","O-002468","","false","Mobile deposit","3.0","a0gWE000001WJ2BYAW","444737441358535604","","","","","","",""
"a0eWE0000058rJEYAY","005al00000RVcKvAAL","false","O-002469","","false","Yes","1.0","a0gWE000001WIzPYAW","451621344522503843","","","","","","",""
"a0eWE0000058rJFYAY","005al00000RVcKvAAL","false","O-002470","","false","Other","6.0","a0gWE000001WJ2BYAW","457657593852448456","","","","","","",""
"a0eWE0000058rJGYAY","005al00000RVcKvAAL","false","O-002471","","false","No","2.0","a0gWE000001WJ32YAG","464630486149616060","","","","","","",""
