"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","AutorabitExtId__c","nFORCE__Taxonomy_Id__c","nFORCE__Parameters__c","nFORCE__Body_Type__c","nFORCE__Description__c"
"a2EKU0000004p5A2AQ","0058c00000BxeO9AAJ","false","Manage Covenants","lob-loan-post-manage-covenants-lob-pwc","llc_bi__loancovenantmanagerui","","n-icon-covenant","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJ3EAK","","","","",""
"a2EKU0000004p592AA","0058c00000BxeO9AAJ","false","Loan Information","post-loan-information-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJ7EAK","","","","",""
"a2EKU0000004p5B2AQ","0058c00000BxeO9AAJ","false","Referrals","lob-loan-post-referrals-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJ9EAK","","","","",""
"a2EKU0000004p4J2AQ","0058c00000BxeO9AAJ","false","Borrowing Structure","loan-post-borrowing-structure-lob-pwc","nforce__korelatedlist","","n-icon-relationship","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJBEA0","","","","",""
"a2EKU0000004p6J2AQ","0058c00000BxeO9AAJ","false","Budget Details L","lob-loan-post-budget-details-l-lob-pwc","llc_bi__budget_detail_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJCEA0","","","","",""
"a2EKU0000004p8C2AQ","0058c00000BxeO9AAJ","false","Manage Budget L","lob-loan-post-manage-budget-l-lob-pwc","llc_bi__manage_budget_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJDEA0","","","","",""
"a2EKU0000004p4x2AA","0058c00000BxeO9AAJ","false","Loan Compliance","loan-post-loan-compliance-lob-pwc","nforce__ncrelatedlist","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJFEA0","","","","",""
"a2EKU0000004p4w2AA","0058c00000BxeO9AAJ","false","Entity Compliance","lob-loan-post-entity-compliance2-lob-pwc","llc_bi__hmda_entity_compliance","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJGEA0","","","","",""
"a2EKU0000004p572AA","0058c00000BxeO9AAJ","false","Budget Administration","lob-loan-post-budget-administration2-lob-pwc","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJJEA0","","","","",""
"a2EKU0000004p7y2AA","0058c00000BxeO9AAJ","false","Budget Details","loan-post-budget-details-lob-pwc","llc_bi__budget_detail_app","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJKEA0","","","","",""
"a2EKU0000004p6u2AA","0058c00000BxeO9AAJ","false","Booked Information","lob-loan-post-booked-information2-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJPEA0","","","","",""
"a2EKU0000004p662AA","0058c00000BxeO9AAJ","false","Supplementary Details","post-supplementary-details2-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJQEA0","","","","",""
"a2EKU0000004p6t2AA","0058c00000BxeO9AAJ","false","Referrals","loan-post-referrals2-lob-pwc","nforce__ncdatagrid","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","a2E3k00000lQgJREA0","","","","",""
