"Id","OwnerId","IsDeleted","Name","nFORCE__Alternate_Label__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Hidden__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__Route__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nFORCE__Is_Editable__c","nFORCE__Address_Part__c","nFORCE__Is_Header__c","nFORCE__Is_Important__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Is_Active__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Autocomplete_Attribute_Value__c","AutorabitExtId__c"
"a3TKU0000008cLe2AI","0058c00000BxeO9AAJ","false","FC-007142","","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2EKU0000004ox92AA","","","","false","","06381666029076786","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDc2AI","0058c00000BxeO9AAJ","false","FC-006644","","","","","MobilePhone","","false","","","false","false","false","","a2EKU0000004owd2AA","2.0","","","false","","07051598553324131","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDb2AI","0058c00000BxeO9AAJ","false","FC-006643","City","","","","LLC_BI__Home_City__c","","false","","","false","false","false","","a2EKU0000004owd2AA","","","","false","","08301598553324130","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEw2AI","0058c00000BxeO9AAJ","false","FC-006726","","","Rent- Reported via Online App","","LLC_BI__Debt_Type__c","","false","","","true","false","false","","a2EKU0000004oxL2AQ","","","","false","","08991603129897219","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cFD2AY","0058c00000BxeO9AAJ","false","FC-006743","","","Monthly Rent- Reported via Online App","","Name","","false","","","true","false","false","","a2EKU0000004owU2AQ","","","","false","","10101603130192870","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDW2AY","0058c00000BxeO9AAJ","false","FC-006638","Mobile Phone Number","","","","MobilePhone","","false","","","false","false","false","","a2EKU0000004owc2AA","","","","false","","11111598381727933","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDv2AI","0058c00000BxeO9AAJ","false","FC-006663","ZIP","","","","LLC_BI__Home_Zipcode__c","","false","","","false","false","false","","a2EKU0000004owd2AA","2.0","","","false","","13071598553324137","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEf2AI","0058c00000BxeO9AAJ","false","FC-006709","Are you applying with a co-applicant?","","","","cm_Applying_with_Co_Applicant__c","","false","","","false","false","false","","a2EKU0000004oxK2AQ","","","","false","","13841603129897212","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cKy2AI","0058c00000Dk4fdAAB","false","FC-007100","","","","","LLC_BI__Income_Type__c","","false","","","false","false","false","","","","a2FKU0000004vte2AA","","false","","14611666029076797","LLC_BI__Income__c","false","","false","false","","","false","false","false","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","",""
"a3TKU0000008cF72AI","0058c00000BxeO9AAJ","false","FC-006737","City","","","","Mailing_City_nCino__c","","false","","","false","false","false","","a2EKU0000004owT2AQ","","","","false","","15101603130192868","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDM2AY","0058c00000BxeO9AAJ","false","FC-006628","","","","","BirthDate","","false","","","false","false","false","","a2EKU0000004owc2AA","2.0","","","false","","15121598381727930","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cF22AI","0058c00000BxeO9AAJ","false","FC-006732","Physical Address","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2EKU0000004owT2AQ","","","","false","","16351603130192867","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDr2AI","0058c00000BxeO9AAJ","false","FC-006659","","","","","LLC_BI__Country_of_Citizenship__c","","false","","","false","false","false","","a2EKU0000004owd2AA","2.0","","","false","","16681598553324136","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEs2AI","0058c00000BxeO9AAJ","false","FC-006722","","","Customer Reported","","LLC_BI__Income_Source__c","","false","","","true","false","false","","a2EKU0000004owS2AQ","","","","false","","16971603129897218","LLC_BI__Income__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLt2AI","0058c00000BxeO9AAJ","false","FC-007157","ZIP","","","","LLC_BI__Home_Zipcode__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","18121666029076795","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLT2AY","0058c00000BxeO9AAJ","false","FC-007131","What industry does your business belong to?","","","","Industry","","false","","","false","false","false","","a2EKU0000004ox82AA","","","","false","","20081666029076781","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLS2AY","0058c00000BxeO9AAJ","false","FC-007130","","","","","cm_State_ID_Expiration_Date__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","20701666029076781","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLH2AY","0058c00000BxeO9AAJ","false","FC-007119","ZIP","","","","ShippingPostalCode","","false","","","false","false","false","","a2EKU0000004ox82AA","2.0","","","false","","20781666029076776","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLd2AI","0058c00000BxeO9AAJ","false","FC-007141","State","","","","BillingState","","false","","","false","false","false","","a2EKU0000004ox82AA","2.0","","","false","","21781666029076786","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLl2AI","0058c00000BxeO9AAJ","false","FC-007149","","","","","cm_Passport_Issue_Date__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","23071666029076790","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLj2AI","0058c00000BxeO9AAJ","false","FC-007147","Shipping Address","","","","ShippingStreet","","false","","","false","false","false","","a2EKU0000004ox82AA","","","","false","","23581666029076789","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDU2AY","0058c00000BxeO9AAJ","false","FC-006636","City","","","","Mailing_City_nCino__c","","false","","","false","false","false","","a2EKU0000004owc2AA","","","","false","","23731598381727933","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDJ2AY","0058c00000BxeO9AAJ","false","FC-006625","State","","","","Mailing_State_nCino__c","","false","","","false","false","false","","a2EKU0000004owc2AA","2.0","","","false","","25451598381727929","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDP2AY","0058c00000BxeO9AAJ","false","FC-006631","","","","","LLC_BI__Primary_ID_Issue_Date__c","","false","","","false","false","false","","a2EKU0000004owc2AA","2.0","","","false","","25861598381727931","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDk2AI","0058c00000BxeO9AAJ","false","FC-006652","Mailing Address","","","","Mailing_Address_nCino__c","","false","","","false","false","false","","a2EKU0000004owd2AA","","","","false","","25901598553324133","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLq2AI","0058c00000BxeO9AAJ","false","FC-007154","Are there additional business entities you need to add as Guarantors or Borrowers?","","","","cm_Additional_Businesses__c","","false","","","false","false","false","","a2EKU0000004ox72AA","","","","false","","26241666029076793","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDl2AI","0058c00000BxeO9AAJ","false","FC-006653","","","","","FirstName","","false","","","false","false","false","","a2EKU0000004owd2AA","2.0","","","false","","26691598553324134","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLZ2AY","0058c00000BxeO9AAJ","false","FC-007137","","","Monthly Rent- Reported via Online App","","Name","","false","","","true","false","false","","a2EKU0000004oxB2AQ","","","","false","","27361666029076784","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cES2AY","0058c00000BxeO9AAJ","false","FC-006696","City","","","","Mailing_City_nCino__c","","false","","","false","false","false","","a2EKU0000004owT2AQ","","","","false","","27961602603021379","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cFB2AY","0058c00000BxeO9AAJ","false","FC-006741","","","{{artifact}}","","LLC_BI__Loan__c","","false","","","true","false","false","","a2EKU0000004owU2AQ","","","","false","","28291603130192869","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLF2AY","0058c00000BxeO9AAJ","false","FC-007117","","","{{Contact}}","","LLC_BI__Contact__c","","false","","","true","false","false","","a2EKU0000004oxV2AQ","","","","false","","28901666029076775","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEU2AY","0058c00000BxeO9AAJ","false","FC-006698","ZIP","","","","Mailing_Zip_code_nCino__c","","false","","","false","false","false","","a2EKU0000004owT2AQ","2.0","","","false","","29291602603021380","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEK2AY","0058c00000BxeO9AAJ","false","FC-006688","ZIP","","","","Mailing_Zip_code_nCino__c","","false","","","false","false","false","","a2EKU0000004owR2AQ","2.0","","","false","","29851602078251662","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLM2AY","0058c00000BxeO9AAJ","false","FC-007124","","","","","cm_Driver_License_Expiration_Date__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","30211666029076778","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLQ2AY","0058c00000BxeO9AAJ","false","FC-007128","City","","","","ShippingCity","","false","","","false","false","false","","a2EKU0000004ox82AA","","","","false","","30241666029076780","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEy2AI","0058c00000BxeO9AAJ","false","FC-006728","","","Customer Reported","","LLC_BI__Income_Source__c","","false","","","true","false","false","","a2EKU0000004owS2AQ","","","","false","","30481603130192863","LLC_BI__Income__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDR2AY","0058c00000BxeO9AAJ","false","FC-006633","ZIP","","","","LLC_BI__Home_Zipcode__c","","false","","","false","false","false","","a2EKU0000004owc2AA","2.0","","","false","","30821598381727932","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLx2AI","0058c00000BxeO9AAJ","false","FC-007161","","","{{individual}}","","LLC_BI__Account__c","","false","","","true","false","false","","a2EKU0000004oxV2AQ","","","","false","","31231666029076796","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cFJ2AY","0058c00000BxeO9AAJ","false","FC-006749","","","Rent- Reported via Online App","","LLC_BI__Debt_Type__c","","false","","","true","false","false","","a2EKU0000004owU2AQ","","","","false","","31311603130192872","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cF62AI","0058c00000BxeO9AAJ","false","FC-006736","Mailing Address","","","","Mailing_Address_nCino__c","","false","","","false","false","false","","a2EKU0000004owT2AQ","","","","false","","31911603130192868","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLh2AI","0058c00000BxeO9AAJ","false","FC-007145","","","","","cm_State_ID_Issue_Date__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","32561666029076787","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEH2AY","0058c00000BxeO9AAJ","false","FC-006685","State","","","","LLC_BI__Home_State__c","","false","","","false","false","false","","a2EKU0000004owR2AQ","2.0","","","false","","32971602078251638","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLD2AY","0058c00000BxeO9AAJ","false","FC-007115","Date of Birth","","","","Birthdate","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","33681666029076774","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEN2AY","0058c00000BxeO9AAJ","false","FC-006691","Physical Address","","","","LLC_BI__Home_Address__c","","false","","","false","false","false","","a2EKU0000004owT2AQ","","","","false","","34331602603021376","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEo2AI","0058c00000BxeO9AAJ","false","FC-006718","State","","","","Mailing_State_nCino__c","","false","","","false","false","false","","a2EKU0000004owR2AQ","2.0","","","false","","34481603129897216","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cL52AI","0058c00000BxeO9AAJ","false","FC-007107","","","Customer Reported","","LLC_BI__Income_Source__c","","false","","","true","false","false","","a2EKU0000004oxA2AQ","","","","false","","34611666029076770","LLC_BI__Income__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDo2AI","0058c00000BxeO9AAJ","false","FC-006656","State","","","","LLC_BI__Home_State__c","","false","","","false","false","false","","a2EKU0000004owd2AA","2.0","","","false","","34671598553324135","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLy2AI","0058c00000BxeO9AAJ","false","FC-007162","","","","","cm_Driver_License_Issue_Date__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","35761666029076797","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cL92AI","0058c00000BxeO9AAJ","false","FC-007111","ZIP","","","","BillingPostalCode","","false","","","false","false","false","","a2EKU0000004ox82AA","2.0","","","false","","35921666029076772","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cMy2AI","0058c00000BxeO9AAJ","false","FC-007224","","","","","nFORCE__Field_Name__c","","false","","","true","false","false","","","","a2FKU0000004vxl2AA","","false","","368ac54f-72bd-5c87-41c9-43d0c2c04e31","nFORCE__Field_Configuration__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cL82AI","0058c00000BxeO9AAJ","false","FC-007110","City","","","","Mailing_City_nCino__c","","false","","","false","false","false","","a2EKU0000004ox92AA","","","","false","","37121666029076772","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLc2AI","0058c00000BxeO9AAJ","false","FC-007140","","","","","cm_State_ID_Issuing_State__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","37231666029076785","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLX2AY","0058c00000BxeO9AAJ","false","FC-007135","","","{{artifact}}","","LLC_BI__Loan__c","","false","","","true","false","false","","a2EKU0000004oxV2AQ","","","","false","","37301666029076783","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEM2AY","0058c00000BxeO9AAJ","false","FC-006690","Mobile Phone Number","","","","MobilePhone","","false","","","false","false","false","","a2EKU0000004owT2AQ","","","","false","","37681602603021376","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLG2AY","0058c00000BxeO9AAJ","false","FC-007118","","","{{Contact}}","","LLC_BI__Contact__c","","false","","","true","false","false","","a2EKU0000004oxB2AQ","","","","false","","37951666029076775","LLC_BI__Debt__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEE2AY","0058c00000BxeO9AAJ","false","FC-006682","Mobile Phone Number","","","","MobilePhone","","false","","","false","false","false","","a2EKU0000004owR2AQ","","","","false","","39011602078251632","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDu2AI","0058c00000BxeO9AAJ","false","FC-006662","","","","","LLC_BI__Primary_ID_Expiration_Date__c","","false","","","false","false","false","","a2EKU0000004owd2AA","2.0","","","false","","40471598553324137","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDT2AY","0058c00000BxeO9AAJ","false","FC-006635","Social Security Number (SSN)","","","","LLC_BI__Tax_Identification_Number__c","","false","","","false","false","false","","a2EKU0000004owY2AQ","","","","false","","41291598381727932","LLC_BI__Beneficiary__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEl2AI","0058c00000BxeO9AAJ","false","FC-006715","Zip","","","","LLC_BI__Home_Zipcode__c","","false","","","false","false","false","","a2EKU0000004owR2AQ","2.0","","","false","","41821603129897215","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cMW2AY","0058c00000Dk4fdAAB","false","FC-007196","","","","","LLC_BI__Income_Type__c","","false","","","false","false","false","","","","a2FKU0000004vtd2AA","","false","","42017678075385560","LLC_BI__Income__c","false","","false","false","","","false","false","false","Alimony Support|Gross Annual Income|Investment/Trust Income|Other Income|Rental Income","",""
"a3TKU0000008cD82AI","0058c00000BxeO9AAJ","false","FC-006614","State","","","","ShippingState","","false","","","false","false","false","","a2EKU0000004owX2AQ","2.0","","","false","","42029879046397659","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cE72AI","0058c00000BxeO9AAJ","false","FC-006675","","","","","cm_of_Ownership__c","","false","","","false","false","false","","a2EKU0000004ow82AA","3.0","","","false","","42043251698754216","Beneficial_Owner__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cMQ2AY","0058c00000Dk4fdAAB","false","FC-007190","","","100","","LLC_BI__Ownership_Percent__c","","false","","","true","false","false","","a2EKU0000004oxM2AQ","","a2FKU0000004vmQ2AQ","","false","","42044963066399826","LLC_BI__Connection__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cMY2AY","0058c00000BxeO9AAJ","false","FC-007198","Doing Business As","","","","LLC_BI__Doing_Business_As__r.Name","","false","","","false","false","false","","","","a2FKU0000004vk42AA","","false","","42048633114611653","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cMT2AY","0058c00000Dk4fdAAB","false","FC-007193","","","","All applicant emails must be unique and in correct email format 'name@example.com'","Email","","false","","","false","false","false","","","","a2FKU0000004vmc2AA","The email address listed will be notified to log in and complete application... etc","false","","42056096975555324","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cMC2AY","0058c00000Dk4fdAAB","false","FC-007176","","","{{artifact}}","","LLC_BI__Deposit__c","","false","","","true","false","false","","","","a2FKU0000004vjF2AQ","","false","","42085915559474043","LLC_BI__Beneficiary__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDZ2AY","0058c00000BxeO9AAJ","false","FC-006641","","","","","LastName","","false","","","false","false","false","","a2EKU0000004owc2AA","2.0","","","false","","42103485638352626","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cD52AI","0058c00000BxeO9AAJ","false","FC-006611","Legal Entity Type","","","","Type","","false","","","false","false","false","","a2EKU0000004owX2AQ","","","","false","","42122452621317299","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDB2AY","0058c00000BxeO9AAJ","false","FC-006617","City","","","","BillingCity","","false","","","false","false","false","","a2EKU0000004owX2AQ","","","","false","","42136983569324498","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEC2AY","0058c00000BxeO9AAJ","false","FC-006680","Is this Owner also the Controlling Individual?","","","","Controlling_Individual__c","","false","","","false","false","false","","a2EKU0000004ow82AA","","","","false","","42138236032989596","Beneficial_Owner__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cE22AI","0058c00000BxeO9AAJ","false","FC-006670","","","","","cs_Type_of_Account_ACH_Int__c","","false","","","false","false","false","","a2EKU0000004owb2AA","2.0","","","false","","42144555292645515","LLC_BI__Deposit__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cOd2AI","0058c00000Dk4fdAAB","false","FC-007327","","","","","LLC_BI__Borrower_Type__c","","false","","","false","true","false","","","","a2FKU0000004vmm2AA","","false","","42149372608275315","LLC_BI__Legal_Entities__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLo2AI","0058c00000BxeO9AAJ","false","FC-007152","State","","","","LLC_BI__Home_State__c","","false","","","false","false","false","","a2EKU0000004ox92AA","2.0","","","false","","42181666029076792","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cOV2AY","0058c00000Dk4fdAAB","false","FC-007319","","","","","LLC_BI__Allocated_Facility_Amount__c","","false","","","false","true","false","","","","a2FKU0000004vty2AA","","false","","42182148697712431","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cN62AI","0058c00000BxeO9AAJ","false","FC-007232","","","","","Paid_Defaults_2k__c","","false","","","false","false","true","","","","a2FKU0000004vqa2AA","","false","","42182148697712435","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cN72AI","0058c00000BxeO9AAJ","false","FC-007233","","","","","LLC_BI__InterestRate__c","","false","","","false","false","true","","","","a2FKU0000004vuW2AQ","","false","","42182148697712436","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cN82AI","0058c00000BxeO9AAJ","false","FC-007234","","","","","LLC_BI__Amount__c","","false","","","false","false","true","","","","a2FKU0000004vuW2AQ","","false","","42182148697712437","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cN92AI","0058c00000BxeO9AAJ","false","FC-007235","","","","","LLC_BI__Monthly_Payment__c","","false","","","false","false","true","","","","a2FKU0000004vuW2AQ","","false","","42182148697712438","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cNA2AY","0058c00000BxeO9AAJ","false","FC-007236","","","","","LLC_BI__Payment_Schedule__c","","false","","","false","false","true","","","","a2FKU0000004vuW2AQ","","false","","42182148697712439","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cNB2AY","0058c00000BxeO9AAJ","false","FC-007237","","","","","LLC_BI__Term_Months__c","","false","","","false","false","true","","","","a2FKU0000004vuW2AQ","","false","","42182148697712440","LLC_BI__Loan__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDK2AY","0058c00000BxeO9AAJ","false","FC-006626","Social Security Number (SSN)","","","XXXXXXXXX","LLC_BI__SS__c","","false","","","false","false","false","","a2EKU0000004owc2AA","1.0","","As a federally regulated bank, we are required to know our customers. We use your SSN to pull your credit bureau data, which allows us to process your application.","true","Why do we need this?","42191598381727929","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDD2AY","0058c00000BxeO9AAJ","false","FC-006619","ZIP","","","","BillingPostalCode","","false","","","false","false","false","","a2EKU0000004owX2AQ","2.0","","","false","","42201073979871220","Account","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cE02AI","0058c00000BxeO9AAJ","false","FC-006668","Routing Number","","","","cs_Routing_Number_ACH_Int__c","","false","","","false","false","false","","a2EKU0000004owb2AA","2.0","","","false","","42206524088934928","LLC_BI__Deposit__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cLz2AI","0058c00000BxeO9AAJ","false","FC-007163","","","a1f5f0000010ARDAA2","","LLC_BI__Connection_Role__c","","false","","","true","false","false","","a2EKU0000004oxT2AQ","","","","false","","42222975162292231","LLC_BI__Connection__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEB2AY","0058c00000BxeO9AAJ","false","FC-006679","","","","","cm_Zip_Code__c","","false","","","false","false","false","","a2EKU0000004ow82AA","3.0","","","false","","42228402375687504","Beneficial_Owner__c","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cDY2AY","0058c00000BxeO9AAJ","false","FC-006640","","","","","FirstName","","false","","","false","false","false","","a2EKU0000004owc2AA","2.0","","","false","","42234958214003224","Contact","false","","false","false","","","false","false","false","","",""
"a3TKU0000008cEc2AI","0058c00000BxeO9AAJ","false","FC-006706","","","Customer Reported","","LLC_BI__Income_Source__c","","false","","","true","false","false","","a2EKU0000004owS2AQ","","","","false","","42239470709420655","LLC_BI__Income__c","false","","false","false","","","false","false","false","","",""
