"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a2FKU0000004vyA2AQ","false","Underwriting_Overview","a2GKU0000004W902AE","false","false","true","true","false","6.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","11151560278867256","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDpJMAW"
"a2FKU0000004vuI2AQ","false","Post Closing Review","a2GKU0000004W9g2AE","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","11651585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDlMMAW"
"a2FKU0000004vqS2AQ","false","Loan Details","a2GKU0000004W8x2AE","false","false","false","false","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","11841560278867257","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDhPMAW"
"a2FKU0000004vx82AA","false","Third Party Management","a2GKU0000004WDO2A2","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","12291602764631667","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDoHMAW"
"a2FKU0000004voj2AA","false","Enhanced Fee Loan Aggregate Summary","a2GKU0000004WDN2A2","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","12321602764631667","LLC_BI__Fee_Loan_Aggregate__c","false","false","","","","","false","false","","a2FKa000000SDfdMAG"
"a2FKU0000004vvJ2AQ","false","Relationship Add Debt","a2GKU0000004W932AE","false","false","true","false","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","12401562008947390","LLC_BI__Debt__c","false","false","","","2.0","","false","false","","a2FKa000000SDmPMAW"
"a2FKU0000004vlP2AQ","false","Booked Information","a2GKU0000004WBH2A2","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","12571620937672164","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDcBMAW"
"a2FKU0000004voL2AQ","false","Draw Overview Summary","a2GKU0000004WBS2A2","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","12591620937672170","LLC_BI__Budget__c","false","false","","","","","false","false","","a2FKa000000SDfEMAW"
"a2FKU0000004vi22AA","false","Booked Information","a2GKU0000004W9x2AE","false","false","false","true","false","4.0","slide","true","false","false","false","","false","","MappedSObjectScreenResource","","12721585604341049","LLC_BI__Loan__c","false","false","","","","","false","false","","a2F8c00000434mtEAA"
"a2FKU0000004vqO2AQ","false","Loan Compliances (HMDA Effective-2018)","a2GKU0000004WCP2A2","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","MappedSObjectHierarchyScreenResource","","13251663700625413","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDhLMAW"
"a2FKU0000004vol2AA","false","Enhanced Fees Management","a2GKU0000004WAY2A2","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","MappedSObjectHierarchyScreenResource","","14331619447515161","LLC_BI__Loan__c","false","false","","","","","false","false","","a2FKa000000SDffMAG"
"a2FKU0000004vvq2AA","false","SBL Business Info","a2GKU0000004WCd2AM","false","false","false","false","false","20.0","slide","true","false","false","false","","true","","MappedSObjectScreenResource","","15021666029075345","Account","false","false","","","","","false","false","","a2FKa000000SDmwMAG"
