"Id","OwnerId","IsDeleted","Name","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2ybn000004BhvEAAS","005bn000003k2JdAAI","","OR-000200","equal to","a30bn000004af5qAAA","a2zbn000000DofFAAS","a30bn000004af5pAAA","a2ybn000004BhwPAAS"
"a2ybn000004BhvFAAS","005bn000003k2JdAAI","","OR-000201","equal to","a30bn000004af5rAAA","a2zbn000000DofGAAS","a30bn000004af5qAAA","a2ybn000004BhwQAAS"
"a2ybn000004BhvGAAS","005bn000003k2JdAAI","","OR-000202","equal to","a30bn000004af6HAAQ","a2zbn000000DofsAAC","a30bn000004af5qAAA","a2ybn000004BhwRAAS"
"a2ybn000004BhvHAAS","005bn000003k2JdAAI","","OR-000203","equal to","a30bn000004af5sAAA","a2zbn000000DofHAAS","a30bn000004af5rAAA","a2ybn000004BhwSAAS"
"a2ybn000004BhvIAAS","005bn000003k2JdAAI","","OR-000204","equal to","a30bn000004af6HAAQ","a2zbn000000DoftAAC","a30bn000004af5rAAA","a2ybn000004BhwTAAS"
"a2ybn000004BhvJAAS","005bn000003k2JdAAI","","OR-000205","equal to","a30bn000004af6HAAQ","a2zbn000000DofuAAC","a30bn000004af5sAAA","a2ybn000004BhwUAAS"
"a2ybn000004BhvKAAS","005bn000003k2JdAAI","","OR-000206","equal to","a30bn000004af5kAAA","a2zbn000000Dof3AAC","a30bn000004af5gAAA","a2ybn000004BhwVAAS"
"a2ybn000004BhvLAAS","005bn000003k2JdAAI","","OR-000207","equal to","a30bn000004af5kAAA","a2zbn000000Dof7AAC","a30bn000004af5gAAA","a2ybn000004BhwWAAS"
"a2ybn000004BhvMAAS","005bn000003k2JdAAI","","OR-000208","equal to","a30bn000004af5lAAA","a2zbn000000DofAAAS","a30bn000004af5kAAA","a2ybn000004BhwXAAS"
"a2ybn000004BhvNAAS","005bn000003k2JdAAI","","OR-000209","equal to","a30bn000004af5lAAA","a2zbn000000DofTAAS","a30bn000004af5kAAA","a2ybn000004BhwYAAS"
"a2ybn000004BhvOAAS","005bn000003k2JdAAI","","OR-000210","equal to","a30bn000004af5nAAA","a2zbn000000DofCAAS","a30bn000004af5mAAA","a2ybn000004BhwZAAS"
"a2ybn000004BhvPAAS","005bn000003k2JdAAI","","OR-000211","equal to","a30bn000004af5nAAA","a2zbn000000DofaAAC","a30bn000004af6BAAQ","a2ybn000004BhwaAAC"
"a2ybn000004BhvQAAS","005bn000003k2JdAAI","","OR-000212","equal to","a30bn000004af5nAAA","a2zbn000000DofcAAC","a30bn000004af6CAAQ","a2ybn000004BhwbAAC"
"a2ybn000004BhvRAAS","005bn000003k2JdAAI","","OR-000213","equal to","a30bn000004af5nAAA","a2zbn000000DofeAAC","a30bn000004af6DAAQ","a2ybn000004BhwcAAC"
"a2ybn000004BhvSAAS","005bn000003k2JdAAI","","OR-000214","equal to","a30bn000004af5tAAA","a2zbn000000DofIAAS","a30bn000004af5sAAA","a2ybn000004BhwdAAC"
