"Id","IsDeleted","Name","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nFORCE__Screen_View__c","nFORCE__Widget__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GT99aYAD","false","Collateral","a0sWD00000XoC7eYAF","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008Yw3EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99bYAD","false","Collateral","a0sWD00000XoC7eYAF","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008Yw4EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99cYAD","false","Collateral","a0sWD00000XoC7fYAF","false","false","false","false","","false","true","false","false","false","1.0","slide","true","false","false","false","","false","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008Yw5EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99dYAD","false","Collateral","a0sWD00000XoC7gYAF","false","false","false","false","","true","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008Yw6EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99eYAD","false","Collateral","a0sWD00000XoC7gYAF","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008Yw7EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99fYAD","false","Collateral Owned","a0sWD00000XoC6qYAF","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008Yw8EAE","Account","","","","","",""
"a0qWD00000GT99gYAD","false","Collateral Summary","a0sWD00000XoC7fYAF","false","false","false","false","","false","true","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectScreenResource","","a2F5i0000008Yw9EAE","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99hYAD","false","Community Reinvestment Act (CRA) Reporting","a0sWD00000XoC7YYAV","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","false","","","","","MappedSObjectScreenResource","","a2F5i0000008YwAEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99iYAD","false","Conflict of Interest","a0sWD00000XoC7DYAV","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","MappedSObjectScreenResource","","a2F5i0000008YwBEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99jYAD","false","Construction Details","a0sWD00000XoC6iYAF","false","false","false","false","","false","true","false","false","false","2.0","slide","true","false","false","false","","false","","","","","MappedSObjectScreenResource","","a2F5i0000008YwCEAU","LLC_BI__Loan__c","","","","","",""
"a0qWD00000GT99kYAD","false","Contacts","a0sWD00000XoC7hYAF","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","MappedSObjectHierarchyScreenResource","","a2F5i0000008YwDEAU","LLC_BI__Loan__c","","","","","",""
