"Id","IsDeleted","Name","LLC_BI__Product_Type__c","LLC_BI__Product_Feature__c","LLC_BI__RealEstate_Type__c","LLC_BI__RealEstate__c","LLC_BI__lookupKey__c","LLC_BI__Classification__c","LLC_BI__Description__c","LLC_BI__Learn_More__c","LLC_BI__Order__c","LLC_BI__Enabled_Experiences__c","LLC_BI__Product_Display_Name__c","nPortal__Can_Pledge_Multiple_Collateral__c","nPortal__External_Name__c","nPortal__OA_Approval_Next_Steps__c","nPortal__OA_Auto_Decision_Enabled__c","LLC_BI__Product_Line_Name__c","LLC_BI__Product_Type_Name__c","LLC_BI__Default_App__c","LLC_BI__Screen_Section__c","LLC_BI__Deposit_Rate_Structure__c","LLC_BI__Maintenance_App__c","nPortal__OA_Collapsed_Offer_Card_Summary__c","nPortal__OA_Collateral_Required__c","nPortal__OA_Deposit_Funding_Failure_Next_Steps__c","nPortal__OA_Deposit_Funding_Next_Steps__c","nPortal__OA_Expanded_Offer_Summary_Card__c","nPortal__OA_Is_Hidden__c","nPortal__OA_Not_Approved_Next_Steps__c","LLC_BI__Maximum_Funding_Amount__c","LLC_BI__Minimum_Funding_Amount__c","nPortal__OA_Offers_Accepted_Next_Steps__c","nPortal__OA_Offers_Enabled__c","nPortal__OA_Product_Image__c","LLC_BI__Disable_Id_Document_Save__c","LLC_BI__Other_Disclosures_Description__c","LLC_BI__Other_Disclosures_Received__c","nPortal__Online_Application_AS_Screen__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","nPortal__Online_Application_Header_Text__c","LLC_BI__Maintenance_Screen_Section__c","nPortal__Online_Application_Subheader_Text__c","nPortal__Online_Application_Topbar_Fieldset__c","nPortal__Online_Application_Topbar_Text__c","nPortal__Online_Application_Type__c","nPortal__Online_Application_Your_Account_Fieldset__c","nPortal__Product_Marketing__c","nPortal__Suggested_Collateral_Enabled__c","nPortal__Your_Products_Component_Field_Set__c","cm_Days_to_Close__c","cm_Gross_Annual_Micro_Bus_Revenue_Cap__c","cm_Gross_Annual_Small_Bus_Revenue_Cap__c","cm_Maximum_Micro_Business_Loan_Amount__c","cm_Maximum_Small_Business_Loan_Amount__c","cm_Product_Validation__c","cm_Static_Name__c","cm_Display_Account_Options_Online__c"
"a0ubn000004s5f4AAA","","CD/Savings","a0tbn000008f3QTAAY","a0nbn000003YMFFAA4","","","PR-CDSavin0768479","","","","","","","false","CD/Savings","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","CD/Savings","false"
"a0ubn000004dcxvAAA","","Commercial","a0tbn000007pcYnAAI","a0nbn0000034pzTAAQ","","","PR-Commerc0313916","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004ktIbAAI","","Credit Card","a0tbn000008H0TdAAK","a0nbn000003Jb3mAAC","","","PR-CreditC0870885","","","","","","","true","Unsecured - Credit Card","","true","","","","","","","nPortal__OA_Collapsed_Offer_Card_Summary","false","","","SBL_OA_Expanded_Offer_Card","false","","","","Congratulations! Now that you have accepted an offer, let&#39;s talk about the next steps.","true","","false","","false","","true","a2Bbn000000KMCWEA4","","","","","","Online Loan Application","","","true","nPortal__Your_Products_Loan","","1000000.0","1000000.0","10000.0","25000.0","Small BusinessUnsecuredCredit Card","Credit Card","false"
"a0ubn000004s5f7AAA","","Equipment","a0tbn000008f3QTAAY","a0nbn000003YMFIAA4","","","PR-Equipme0187911","","","","","","","false","Equipment","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","Equipment","false"
"a0ubn000004dcxfAAA","","Equipment","a0tbn000007pcYhAAI","a0nbn0000034pzFAAQ","","","PR-Equipme0717716","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5erAAA","","Gold Savings","a0tbn000008f3QOAAY","a0nbn000003YMF5AAO","","","PR-GoldSav0505797","","","","","","","false","Gold Savings","","false","","","","a2Fbn000000Dtt9EAC","a3ybn0000002k0gAAA","","","false","We weren&#39;t able to begin the account funding process online. Please contact Customer Service at xxx.xxx.xxxx for assistance. ","","","false","","500.0","1.0","","false","","false","","false","","true","","Your Gold Savings Account","","This application should only take 5 minutes.","ODAO_Topbar_Fieldset","Your Gold Savings Application","Online Deposit Application","ODAO_YourAccountFieldset","<p>Add a savings account and earn a $50 bonus when you deposit $5000 upon opening.  0.3% APY and no maintenance fees.</p>","false","nPortal__Your_Products_Deposit","","","","","","","Gold Savings","true"
"a0ubn000004dcxdAAA","","Guidance Line - Revolving","a0tbn000007pcYfAAI","a0nbn0000034pzCAAQ","","","PR-Guidanc0124886","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004s5fBAAQ","","HELOC","a0tbn000008f3QWAAY","a0nbn000003YMFKAA4","Single Family Home","","PR-HELOC033947603","","","","","","","false","HELOC","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","Online Loan Application","","","false","","","","","","","","HELOC","false"
"a0ubn000004dcxaAAA","","HELOC","a0tbn000007pcYgAAI","","","","PR-HELOC035644312","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
"a0ubn000004dcxjAAA","","HELOC","a0tbn000007pcYfAAI","a0nbn0000034pzJAAQ","","","PR-HELOC055071492","","","","","","","false","","","false","","","","","","","","false","","","","false","","","","","false","","false","","false","","false","","","","","","","","","","false","","","","","","","","","false"
