"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c"
"a0qWD00000GTAJVYA5","false","Pledge Details","","","a0sWD00000XoBs3YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","true","","true","","","","MappedSObjectScreenResource","","42165069595139343","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmi6YAD","false","Collateral Valuation","","","a0sWD00000XnsdxYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42176098733769439","LLC_BI__Collateral__c","",""
"a0qWD00000GSmi7YAD","false","Bulk Pledge Details","","","a0sWD00000Xnse2YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42192074896987113","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmi8YAD","false","Bulk Pledge Details","","","a0sWD00000Xnse5YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42195570243048674","LLC_BI__Loan_Collateral2__c","",""
"a0qWE00000U6tVHYAZ","false","Bulk Pledge Details","","","a0sWE000002XbSqYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","CustomSObjectListScreenResource","","42199296889986455","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GTAKaYAP","false","Bulk Pledge Details","","","a0sWD00000XoBoMYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42211688042367551","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmi9YAD","false","Bulk Pledge Details","","","a0sWD00000Xnse6YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42214592204420924","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiAYAT","false","Collateral Valuation","","","a0sWD00000Xnse7YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42237191330811213","LLC_BI__Collateral__c","",""
"a0qWE00000U6tVIYAZ","false","Bulk Pledge Details","","","a0sWE000002XbSmYAK","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","false","","","","CustomSObjectListScreenResource","","42254883258067106","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiBYAT","false","Collateral Valuation","","","a0sWD00000Xnse8YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42256671778578968","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiCYAT","false","Collateral Valuation","","","a0sWD00000Xnse4YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42257152410399482","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiDYAT","false","Collateral Valuation","","","a0sWD00000Xnse9YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42263686687538568","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiEYAT","false","Collateral Search Results","","","a0sWD00000XnsdtYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42265414594135939","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiFYAT","false","Collateral Search Results","","","a0sWD00000XnseAYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42275749942731791","LLC_BI__Collateral__c","",""
"a0qWD00000GTAMBYA5","false","Collateral Search Results","","","a0sWD00000XoBtAYAV","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42276574753049427","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiGYAT","false","Bulk Pledge Details","","","a0sWD00000Xnse9YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42278275281163285","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GSmiHYAT","false","Collateral Valuation","","","a0sWD00000XnseBYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42301426787635379","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiIYAT","false","Bulk Pledge Details","","","a0sWD00000XnseCYAR","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42302197961286282","LLC_BI__Loan_Collateral2__c","",""
"a0qWD00000GTANOYA5","false","Collateral Valuation","","","a0sWD00000XoBp1YAF","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42321335984014317","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiJYAT","false","Collateral Search Results","","","a0sWD00000Xnse6YAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","MappedSObjectScreenResource","","42324251124134576","LLC_BI__Collateral__c","",""
"a0qWD00000GSmiKYAT","false","Bulk Pledge Details","","","a0sWD00000XnsdwYAB","false","false","false","false","","false","false","false","false","false","","slide","true","false","false","false","","true","","","","CustomSObjectListScreenResource","","42324850389840785","LLC_BI__Loan_Collateral2__c","",""
