"Id","IsDeleted","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Spread_Statement_Type__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","Name"
"a16DV000006IRgcYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","3.75","false","","a19DV000002V1nSYAS","Schedule K-1 Income","Standard","42535168493812590","Schedule K-1 Income"
"a16DV000006IRoaYAG","false","","true","None","Financial","false","false","false","true","false","false","false","","","","151.0","false","","a19DV000002V1npYAC","Notes Payable - Current","Standard","42537243022213372","Total Notes Payable - Current"
"a16DV000006R4SLYA0","false","","false","Total Assets","Financial","true","false","false","true","false","false","false","","","","30.0","false","","a19DV000002qH2HYAU","Total Assets","Standard","42537402225649656","Total Assets"
"a16DV000006IRfcYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","2000.0","false","","a19DV000002V1nPYAS","Vacancies","Standard","42537813537859339","Total Vacancy Amount"
"a16DV000006R4OOYA0","false","","false","None","Financial","false","true","false","true","false","false","false","","","","40.0","false","","a19DV000002qH1oYAE","Repayment Capacity","Standard","42538159475883630","Repayment Capacity"
"a16DV000006IRkgYAG","false","","false","None","Financial","true","false","false","true","false","false","false","","","","180.0","false","","a19DV000002V1nfYAC","Financing Surplus/(Reqmnts)","Standard","42539021485165459","Financing Surplus/(Reqmnts)"
"a16DV000006R4WKYA0","false","","false","None","Financial","false","false","false","true","false","false","false","","","","21.0","false","","a19DV000002V1oLYAS","Change in Investments","Standard","42539089250057688","Change in Investments"
"a16DV000006IRfgYAG","false","","false","None","Financial","false","false","false","true","false","false","false","","","","6000.0","false","","a19DV000002V1nPYAS","Excess  Cash Flow","Standard","42539542092717992","Excess  Cash Flow"
"a16DV000006IRmdYAG","false","","false","None","Financial","false","false","false","false","false","false","false","","","","-10.5","false","","a19DV000002V1nkYAC","Annualized COGS","Standard","42540045373750604","Annualized COGS"
"a16DV000006IRovYAG","false","","false","Adjusted Total Equity","Financial","true","false","false","false","false","false","false","","","","272.0","false","","a19DV000002V1npYAC","Tangible Net Worth","Standard","42540283431982103","Tangible Net Worth"
"a16DV000006R4QqYAK","false","","false","None","Financial","false","false","false","true","false","false","false","","","","140.0","false","","a19DV000002qH29YAE","Chg. Investments","Standard","42541264407346094","Chg. Investments"
