"Id","IsDeleted","LLC_BI__Category__c","LLC_BI__lookupKey__c","Name","OwnerId"
"a3YDV000000vXGb2AM","false","Accounting Grid (Income Statement)","Extraordinary_Gain_ACCTGRD","Extraordinary Gain","0058c00000Dk4fdAAB"
"a3YDV000000vXGa2AM","false","Accounting Grid (Income Statement)","Extraordinary_Loss_ACCTGRD","Extraordinary Loss","0058c00000Dk4fdAAB"
"a3YDV000000vXFH2A2","false","Accounting Grid (AG Owner Operator)","Farm_Size_Acres_ACCTGRD","Farm Size - Acres","0058c00000Dk4fdAAB"
"a3YDV000000vXHY2A2","false","Accounting Grid (Balance Sheet)","Finished_Goods_ACCTGRD","Finished Goods","0058c00000Dk4fdAAB"
"a3YDV000000vXHu2AM","false","Accounting Grid (Ratios/Stats)","Fixed_Charge_Coverage_ACCTGRD","Fixed Charge Coverage","0058c00000Dk4fdAAB"
"a3YDV000000vXHO2A2","false","Accounting Grid (Balance Sheet)","Furniture_Fixtures_ACCTGRD","Furniture & Fixtures","0058c00000Dk4fdAAB"
"a3YDV000000vXGW2A2","false","Accounting Grid (Income Statement)","Gain_on_Asset_Sale_ACCTGRD","Gain on Asset Sale","0058c00000Dk4fdAAB"
"a3YDV000000vXFn2AM","false","Accounting Grid (Income Statement)","General_Admin_Expense_ACCTGRD","General & Admin Expense","0058c00000Dk4fdAAB"
"a3YDV000000vXK42AM","false","NOI Statement","General_And_Administrative","General And Administrative","0058c00000Dk4fdAAB"
"a3YDV000000vXFj2AM","false","Accounting Grid (Cash Accounting)","Government_Payments_ACCTGRD","Government Payments","0058c00000Dk4fdAAB"
"a3YDV000000vXFU2A2","false","Accounting Grid (AG Owner Operator)","Grain_Inventory_ACCTGRD","Grain Inventory","0058c00000Dk4fdAAB"
"a3YDV000000vXJZ2A2","false","Accounting Grid (Ratios/Stats)","Gross_Margin_ACCTGRD","Gross Margin","0058c00000Dk4fdAAB"
"a3YDV000000vXIu2AM","false","NOI Statement","Ground_Rent","Ground Rent","0058c00000Dk4fdAAB"
"a3YDV000000vXFR2A2","false","Accounting Grid (AG Owner Operator)","Growing_Crops_ACCTGRD","Growing Crops","0058c00000Dk4fdAAB"
"a3YDV000000vXJS2A2","false","Accounting Grid (Ratios/Stats)","Historical_CFC_TCF_ACCTGRD","Historical CFC (TCF)","0058c00000Dk4fdAAB"
"a3YDV000000vXEv2AM","false","Accounting Grid (AG Owner Operator)","Improvements_BreedingLivestock_ACCTGTD","Improvements - Breeding Livestock","0058c00000Dk4fdAAB"
"a3YDV000000vXF42AM","false","Accounting Grid (AG Owner Operator)","Improvements_OtherCapitalAssets_ACCTGRD","Improvements - Other Capital Assets","0058c00000Dk4fdAAB"
"a3YDV000000vXGq2AM","false","Accounting Grid (Balance Sheet)","Income_Tax_Receivable_ACCTGRD","Income Tax Receivable","0058c00000Dk4fdAAB"
"a3YDV000000vXHB2A2","false","Accounting Grid (Balance Sheet)","Income_Taxes_Payable_ACCTGRD","Income Taxes Payable","0058c00000Dk4fdAAB"
"a3YDV000000vXIL2A2","false","Accounting Grid (Income Statement)","Income_from_SubsJoint_Ventures_ACCTGRD","Income from Subs/Joint Ventures","0058c00000Dk4fdAAB"
