"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__Covenant_Creation_Field_Set__c","LLC_BI__Covenant_Details_Field_Set__c","LLC_BI__Covenant_Edit_Field_Set__c","LLC_BI__Document_Sources__c","LLC_BI__Financial_Statement__c","LLC_BI__Grace_Days__c","LLC_BI__Is_Financial_Indicator__c","LLC_BI__lookupKey__c"
"a1jbn00008FsdwOAAR","005bn000003k2JdAAI","","Real Estate Taxes","Collateral","","","","","false","","false","1558457345664583"
"a1yWD000001aMuIYAU","005al00000Q6IbCAAV","false","Business Financial Statement","Financial Statement Requirements","","","","","true","30.0","false","42030619573947151"
"a1yWD000001aMuJYAU","005al00000Q6IbCAAV","false","Maintain Corporate Existence","Affirmative Covenants","","","","","false","15.0","false","42081818818812093"
"a1yWD000001aMuKYAU","005al00000Q6IbCAAV","false","Line Rest","Default Covenant","","","","","false","15.0","false","42083061122119645"
"a1yWD000001aMuLYAU","005al00000Q6IbCAAV","false","No Loans to Officers/Owners","Negative Covenants","","","","","false","15.0","false","42109402165092258"
"a1yWD000001aMuMYAU","005al00000Q6IbCAAV","false","Lease Requirements","Term Covenants","","","","","false","15.0","false","42147630879941531"
"a1yWD000001aMuNYAU","005al00000Q6IbCAAV","false","Minimum Net Worth","Financial Indicators","","","","","false","60.0","true","42148518087104789"
"a1yWD000001aMuOYAU","005al00000Q6IbCAAV","false","Global Cash Flow","Financial Indicators","","","","","false","60.0","true","42173916650513418"
"a1yWD000001aMuPYAU","005al00000Q6IbCAAV","false","Change of Ownership","Default Covenant","","","","","false","15.0","false","42204542123097694"
"a1yWD000001aMuQYAU","005al00000Q6IbCAAV","false","Limitation on Additional Debt","Default Covenant","","","","","false","15.0","false","42213199645035052"
"a1yWD000001aMuRYAU","005al00000Q6IbCAAV","false","Maintain Licenses/Permits","Affirmative Covenants","","","","","false","15.0","false","42217176175628265"
"a1yWD000001aMuSYAU","005al00000Q6IbCAAV","false","Maximum Debt to Worth","Financial Indicators","","","","","false","60.0","true","42236563194869976"
"a1yWD000001aMuTYAU","005al00000Q6IbCAAV","false","Fixed Charge Coverage","Financial Indicators","","","","","false","60.0","true","42259432651547202"
"a1yWD000001aMuUYAU","005al00000Q6IbCAAV","false","Debt Schedule","Financial Statement Requirements","","","","","true","15.0","false","42279508663557232"
"a1yWD000001aMuVYAU","005al00000Q6IbCAAV","false","No Distributions Without Approval","Negative Covenants","","","","","false","15.0","false","42296299323593475"
"a1yWD000001aMuWYAU","005al00000Q6IbCAAV","false","Flood Insurance","Insurance Requirements","","","","","false","15.0","false","42303495771079612"
"a1yWD000001aMuXYAU","005al00000Q6IbCAAV","false","Out of Debt Period","Term Covenants","","","","","false","15.0","false","42304354370355169"
"a1yWD000001aMuYYAU","005al00000Q6IbCAAV","false","Floor Plan Inspections","Collateral Requirements","","","","","false","15.0","false","42326800528350706"
"a1yWD000001aMuZYAU","005al00000Q6IbCAAV","false","Accounts Payable Aging","Financial Statement Requirements","","","","","true","15.0","false","42329852002289556"
"a1yWD000001aMuaYAE","005al00000Q6IbCAAV","false","Marketable Securities Statement","Financial Statement Requirements","","","","","true","15.0","false","42356308999462135"
"a1yWD000001aMubYAE","005al00000Q6IbCAAV","false","No Asset Sales","Negative Covenants","","","","","false","15.0","false","42363504712863389"
"a1yWD000001aMucYAE","005al00000Q6IbCAAV","false","No Change in Ownership","Negative Covenants","","","","","false","15.0","false","42373555063279360"
"a1yWD000001aMudYAE","005al00000Q6IbCAAV","false","Debt Service Coverage Ratio (DSCR)","Financial Indicators","","","","","false","60.0","true","42389314858762986"
"a1yWD000001aMueYAE","005al00000Q6IbCAAV","false","Crop Insurance","Insurance Requirements","","","","","false","15.0","false","42396008340462270"
"a1yWD000001aMufYAE","005al00000Q6IbCAAV","false","Tax Returns","Financial Statement Requirements","","","","","true","120.0","false","42400608280018013"
"a1yWD000001aMugYAE","005al00000Q6IbCAAV","false","Title Insurance","Insurance Requirements","","","","","false","15.0","false","42411841750982072"
"a1yWD000001aMuhYAE","005al00000Q6IbCAAV","false","Cross Default","Default Covenant","","","","","false","15.0","false","42436112014416859"
"a1yWD000001aMuiYAE","005al00000Q6IbCAAV","false","Limitation on Asset Sales","Default Covenant","","","","","false","15.0","false","42436933779045024"
"a1yWD000001aMujYAE","005al00000Q6IbCAAV","false","Maintain Insurance","Affirmative Covenants","","","","","false","15.0","false","42445076990623959"
"a1yWD000001aMukYAE","005al00000Q6IbCAAV","false","Equipment Inspections","Collateral Requirements","","","","","false","15.0","false","42450033707487811"
"a1yWD000001aMulYAE","005al00000Q6IbCAAV","false","Key Person Insurance","Insurance Requirements","","","","","false","15.0","false","42450905474598041"
"a1yWD000001aMumYAE","005al00000Q6IbCAAV","false","Accounts Receivable Aging","Financial Statement Requirements","","","","","true","15.0","false","42466245751434924"
"a1yWD000001aMunYAE","005al00000Q6IbCAAV","false","Builder's Risk Insurance","Insurance Requirements","","","","","false","15.0","false","42485456332325007"
"a1yWD000001aMuoYAE","005al00000Q6IbCAAV","false","Accounts Receivable Collateral","Collateral Requirements","","","","","false","15.0","false","42526991178741003"
"a1yWD000001aMupYAE","005al00000Q6IbCAAV","false","Environmental Compliance","Affirmative Covenants","","","","","false","15.0","false","42532607196565402"
"a1yWD000001aMuqYAE","005al00000Q6IbCAAV","false","Deposit Accounts Collateral","Collateral Requirements","","","","","false","15.0","false","42538503703871834"
"a1yWD000001aMurYAE","005al00000Q6IbCAAV","false","Minimum Working Capital","Financial Indicators","","","","","false","60.0","true","42540133324033427"
"a1yWD000001aMusYAE","005al00000Q6IbCAAV","false","Minimum Current Ratio","Financial Indicators","","","","","false","60.0","true","42543242333560134"
"a1yWD000001aMutYAE","005al00000Q6IbCAAV","false","Debt to EBITDA","Financial Indicators","","","","","false","60.0","true","42547003046581219"
"a1yWD000001aMuuYAE","005al00000Q6IbCAAV","false","Limitation on Investments","Default Covenant","","","","","false","15.0","false","42556333663476381"
"a1yWD000001aMuvYAE","005al00000Q6IbCAAV","false","Regulatory Actions","Default Covenant","","","","","false","15.0","false","42561861857229108"
"a1yWD000001aMuwYAE","005al00000Q6IbCAAV","false","Livestock Inspections","Collateral Requirements","","","","","false","15.0","false","42564963048768951"
"a1yWD000001aMuxYAE","005al00000Q6IbCAAV","false","Property Insurance","Insurance Requirements","","","","","false","15.0","false","42608532004025475"
"a1yWD000001aMuyYAE","005al00000Q6IbCAAV","false","Leverage Ratio","Financial Indicators","","","","","false","60.0","true","42624424985989231"
"a1yWD000001aMuzYAE","005al00000Q6IbCAAV","false","Investment Accounts Collateral","Collateral Requirements","","","","","false","15.0","false","42670743429159748"
