"Id","IsDeleted","Name","OwnerId","nFORCE__Address_Part__c","nFORCE__Alternate_Label__c","nFORCE__Autocomplete_Attribute_Value__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Value__c","nFORCE__Defined_Picklist_Values__c","nFORCE__Field_Hint__c","nFORCE__Field_Name__c","nFORCE__Filter_Criteria__c","nFORCE__Filter_Display_Name__c","nFORCE__Format_Description__c","nFORCE__Format_Enabled__c","nFORCE__Format_Expression__c","nFORCE__Format_Message__c","nFORCE__Is_Active__c","nFORCE__Is_Conditional_Lookup__c","nFORCE__Is_Editable__c","nFORCE__Is_Filter_Active__c","nFORCE__Is_Header__c","nFORCE__Is_Hidden__c","nFORCE__Is_Important__c","nFORCE__Is_Read_Only__c","nFORCE__Is_Required__c","nFORCE__Output_Expression__c","nFORCE__SLDS_Column_Size__c","nFORCE__Screen_Section__c","nFORCE__Tooltip_Contents__c","nFORCE__Tooltip_Enabled__c","nFORCE__Tooltip_Text__c","nFORCE__lookupKey__c","nFORCE__sObject_Name__c","nPortal__Picklist_Buttons_Enabled__c"
"a0SWD000002Fm2i2AC","false","FC-001983","005al00000RVcKvAAL","","","","","","","","Type","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKcrYAH","","false","","42376365263587631","Account",""
"a0SWD000002FmAf2AK","false","FC-002476","005al00000RVcKvAAL","","","","","Booked","","","LLC_BI__Stage__c","","Stages to Display","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKo3YAH","","false","","42376372932960978","LLC_BI__Loan__c",""
"a0SWD000002FlvH2AS","false","FC-001522","005al00000RVcKvAAL","","Doing Business As","","","","","","LLC_BI__Doing_Business_As__r.Name","","","","false","","","false","false","false","false","false","false","false","false","false","","","a0qWD00000JHKs7YAH","","false","","42390200293455371","LLC_BI__Legal_Entities__c",""
"a0SWD000002Fm2j2AC","false","FC-001984","005al00000RVcKvAAL","","","","","{{artifact}}","","","LLC_BI__Loan__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKcuYAH","","false","","42406135566526985","LLC_BI__Income__c",""
"a0SWD000002Fm2k2AC","false","FC-001985","005al00000RVcKvAAL","","","","","{{artifact}}","","","LLC_BI__Loan__c","","","","false","","","false","false","false","false","false","true","false","false","false","","","a0qWD00000JHKe5YAH","","false","","424061355665269857","LLC_BI__Income__c",""
"a0SWD000002FmAl2AK","false","FC-002482","005al00000RVcKvAAL","","","","","","","","Reg_W_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoYYAX","","false","","42439432218952761","LLC_BI__Loan__c",""
"a0SWD000002FmAm2AK","false","FC-002483","005al00000RVcKvAAL","","","","","","","","HVCRE_Reportable__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKoYYAX","","false","","42459782925464031","LLC_BI__Loan__c",""
"a0SWD000002Fm932AC","false","FC-002376","005al00000RVcKvAAL","","","","","","","","LOB_Lost_Reason__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKfqYAH","","false","","42467098173463753","LLC_BI__Loan__c",""
"a0SWD000002Fm942AC","false","FC-002377","005al00000RVcKvAAL","","","","","","","","LLC_BI__Stage__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKgEYAX","","false","","42477918162078543","LLC_BI__Loan__c",""
"a0SWD000002Fm952AC","false","FC-002378","005al00000RVcKvAAL","","","","","","","","Most_Recent_Approval_Date__c","","","","false","","","false","false","false","false","false","false","false","true","false","","","a0qWD00000JHKjmYAH","","false","","42495218474638721","LLC_BI__Product_Package__c",""
