"Id","OwnerId","IsDeleted","Name","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3Ybn0000004xDBEAY","005bn000003k2JdAAI","","Book Other Income","Accounting Grid (Other)","Book_Other_Income_ACCTGRD"
"a3Ybn0000004xLWEAY","005bn000003k2JdAAI","","Book Other Income and Expense","Accounting Grid (Other)","Book_Other_Income_Expense_ACCTGRD"
"a3Ybn0000004xI3EAI","005bn000003k2JdAAI","","Borrowed Funds to EBITDA","Accounting Grid (Ratios/Stats)","Borrowed_Funds_to_EBITDA_ACCTGRD"
"a3Ybn0000004xI1EAI","005bn000003k2JdAAI","","Borrowed Funds to Eff TNW","Accounting Grid (Ratios/Stats)","Borrowed_Funds_to_Eff_TNW_ACCTGRD"
"a3Ybn0000004xI0EAI","005bn000003k2JdAAI","","Borrowed Funds to NFA","Accounting Grid (Ratios/Stats)","Borrowed_Funds_to_NFA_ACCTGRD"
"a3Ybn0000004xEnEAI","005bn000003k2JdAAI","","Breeding Livestock - Appreciation/Depreciation","Accounting Grid (AG Owner Operator)","BreedingLivestock_AppreciationorDepreciation_ACCTGRD"
"a3Ybn0000004xFLEAY","005bn000003k2JdAAI","","Breeding Stock Inventory","Accounting Grid (AG Owner Operator)","BreedingStock_Inventory_ACCTGRD"
"a3Ybn0000004xE8EAI","005bn000003k2JdAAI","","Breeding Livestock - Manual Adjust","Accounting Grid (Cash Accounting)","Breeding_Livestock_ManualAdjust_ACCTGRD"
"a3Ybn0000004xFhEAI","005bn000003k2JdAAI","","Breeding Livestock Sold","Accounting Grid (AG Cash Income Statement)","Breeding_Livestock_Sold_ACCTGRD"
"a3Ybn0000004xMxEAI","005bn000003k2JdAAI","","Breeding Stock Total Adjust.","Accounting Grid (AG Owner Operator)","Breeding_Stock_TotalAdjust_ACCTGRD"
"a3Ybn0000004xHYEAY","005bn000003k2JdAAI","","Buildings & Improvements","Accounting Grid (Balance Sheet)","Buildings_Improvements_ACCTGRD"
"a3Ybn0000004xJgEAI","005bn000003k2JdAAI","","CAPEX","Accounting Grid (Ratios/Stats)","CAPEX_ACCTGRD"
"a3Ybn0000004xIDEAY","005bn000003k2JdAAI","","CAPEX / Depreciation Expense","Accounting Grid (Ratios/Stats)","CAPEX_Depreciation_Expense_ACCTGRD"
"a3Ybn0000004xFwEAI","005bn000003k2JdAAI","","CDRC","Accounting Grid (AG Owner Operator)","CDRC _ACCTGRD"
"a3Ybn0000004xCwEAI","005bn000003k2JdAAI","","CPLTD-Bank","Accounting Grid (Balance Sheet)","CPLTDBank_ACCTGRD"
"a3Ybn0000004xHFEAY","005bn000003k2JdAAI","","CPLTD-Other Secured","Accounting Grid (Balance Sheet)","CPLTDOther_Secured_ACCTGRD"
"a3Ybn0000004xHGEAY","005bn000003k2JdAAI","","CPLTD-Other Unsecured","Accounting Grid (Balance Sheet)","CPLTDOther_Unsecured_ACCTGRD"
"a3Ybn0000004xIEEAY","005bn000003k2JdAAI","","CP - Subordinated Debt","Accounting Grid (Balance Sheet)","CP_Subordinated_Debt_ACCTGRD"
"a3Ybn0000004xEREAY","005bn000003k2JdAAI","","Calculated Ending Net Worth - Cost Basis","Accounting Grid (AG Owner Operator)","Calculated_Ending_NetWorth_CostBasis_ACCTGRD"
"a3Ybn0000004xFOEAY","005bn000003k2JdAAI","","Capital Contributions","Accounting Grid (AG Owner Operator)","Capital_Contributions_ACCTGRD"
"a3Ybn0000004xL2EAI","005bn000003k2JdAAI","","Capital Expenditure","Accounting Grid (Cash Accounting)","Capital_Expenditure_ACCTGRD"
"a3Ybn0000004xHHEAY","005bn000003k2JdAAI","","Capital Lease Obligations - CP","Accounting Grid (Balance Sheet)","Capital_Lease_Obligations_CP_ACCTGRD"
"a3Ybn0000004xH9EAI","005bn000003k2JdAAI","","Capital Lease Obligations - LTP","Accounting Grid (Balance Sheet)","Capital_Lease_Obligations_LTP_ACCTGRD"
"a3Ybn0000004xIkEAI","005bn000003k2JdAAI","","Capital Leases","Accounting Grid (Balance Sheet)","Capital_Leases_ACCTGRD"
"a3Ybn0000004xFGEAY","005bn000003k2JdAAI","","Capital Sales","Accounting Grid (AG Cash Income Statement)","Capital_Sales_ACCTGRD"
"a3Ybn0000004xETEAY","005bn000003k2JdAAI","","Capital Withdrawals","Accounting Grid (AG Owner Operator)","Capital_Withdrawals_ACCTGRD"
"a3Ybn0000004xGjEAI","005bn000003k2JdAAI","","Cash","Accounting Grid (Balance Sheet)","Cash_ACCTGRD"
"a3Ybn0000004xIQEAY","005bn000003k2JdAAI","","Cash Value Life Insurance","Accounting Grid (Balance Sheet)","Cash_Value_Life_Insurance_ACCTGRD"
"a3Ybn0000004xE3EAI","005bn000003k2JdAAI","","Chg. Accounts Payable","Accounting Grid (Cash Accounting)","Change_Accounts_Payable_ACCTGRD"
"a3Ybn0000004xEKEAY","005bn000003k2JdAAI","","Chg. Accounts Receivable","Accounting Grid (Cash Accounting)","Change_Accounts_Receivable_ACCTGRD"
"a3Ybn0000004xEJEAY","005bn000003k2JdAAI","","Chg. Accrued Interest","Accounting Grid (Cash Accounting)","Change_Accrued_Interest_ACCTGRD"
"a3Ybn0000004xE7EAI","005bn000003k2JdAAI","","Chg. Breeding Livestock","Accounting Grid (Cash Accounting)","Change_Breeding_Livestock_ACCTGRD"
"a3Ybn0000004xEGEAY","005bn000003k2JdAAI","","Chg. Crop Inventory","Accounting Grid (Cash Accounting)","Change_Crop_Inventory_ACCTGRD"
"a3Ybn0000004xEIEAY","005bn000003k2JdAAI","","Chg. Growing Crops","Accounting Grid (Cash Accounting)","Change_Growing_Crops_ACCTGRD"
