"Id","OwnerId","IsDeleted","Name","nFORCE__Answer_Context__c","nFORCE__App__c","nFORCE__Category__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Description__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Layout__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__lookupKey__c","Description_Custom__c","AutorabitExtId__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a0XWD000002hCD82AM","005al00000RVvFOAA1","false","MASTER-Product Package Details","","m-pp-details","","false","","false","false","","","","m-pp-details","42754447670500511","Used in the Product Package's Commercial Workspace flexipage.","","","",""
"a0XWD000002hCBh2AM","005al00000RVvFOAA1","false","Deposit Booking UI","","deposit-booking","","false","","false","false","","","","deposit-booking","42788024293596456","","","","",""
"a0XWD000002hCD92AM","005al00000RVvFOAA1","false","Deposit Ownership and Roles Maintenance","","dep-pm-structure-and-roles","","false","","false","false","","","","dep-pm-structure-and-roles","42792102819560802","","","","",""
"a0XWD000002hCBl2AM","005al00000RVvFOAA1","false","Small Business Loan Workflow","","sbl-group","","false","","false","false","","","","sbl-group","42806046586701337","","","","",""
"a0XWD000002hCDA2A2","005al00000RVvFOAA1","false","CD Renewal","","dep-pm-renew-cd","","false","","false","false","","","","dep-pm-renew-cd","42837111203817960","","","","",""
"a0XWD000002hCI52AM","005al00000RVvFOAA1","false","DMW Treasury Income Group","","DMW_Ancillary_Revenue_Modal_0","","false","","false","false","","a0XWD000002hCI22AM","a0sWD00000Xo7jHYAR","","42839940097258523","","","","",""
"a0XWD000002hCBs2AM","005al00000RVvFOAA1","false","Productized Retail Lending","","productized-retail-lending","","false","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","false","false","","","","productized-retail-lending","42845150078169205","","","","",""
"a0XWD000002hCDB2A2","005al00000RVvFOAA1","false","Loan","","loan","","false","","false","false","","","","loan","42873438710069149","","","","",""
"a0XWD000002hCDC2A2","005al00000RVvFOAA1","false","Loan Customer Creation Individual","","loan-cc-ind","","false","","false","false","","","","loan-cc-ind","42874089776727817","","","","",""
"a0XWD000002hCBw2AM","005al00000RVvFOAA1","false","Small Business Loan Application","","portal-sbloan","Online Application","false","","false","false","","","","portal-sbloan","42877593676380574","","","","",""
