"Id","IsDeleted","Name","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Number_of_Columns__c","nFORCE__Optional_Configuration__c","nFORCE__Parent_Screen_Section__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Validation_Service__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","Custom_Code_in_Screen_Section__c","AutorabitExtId__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a0qWD00000GTAftYAH","false","Existing Customer? Hidden (Primary Applicant)","","","a0sWD00000XoBsAYAV","false","false","false","false","","true","false","false","false","false","0.0","slide","true","false","false","false","","true","","","","","a16WD000005UI0bYAG","MappedSObjectScreenResource","","","42909313017056921","Contact","","","",""
"a0qWD00000GSgkaYAD","false","Add Asset","","","a0sWD00000Xo7jtYAB","false","false","false","false","","true","true","false","false","false","4.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42912045205631221","nRetail__Asset__c","","","",""
"a0qWD00000GSgSyYAL","false","Editable Details","","","a0sWD00000Xo7cjYAB","false","false","false","false","","true","false","false","false","false","10.0","slide","true","false","false","false","","true","","","","","a16WD000005UIB5YAO","MappedSObjectHierarchyScreenResource","","","42917463810764978","LLC_BI__Loan__c","","","",""
"a0qWD00000GTAg8YAH","false","DEP Primary Identification- Passport","","","a0sWD00000XoBsAYAV","false","false","false","false","{{IF=/""A/""}}{{COND=/""A/"" FIELD=/""Contact.cs_Primary_ID_Type__c/"" IS=/""Passport/""}}{{ENDIF}}","false","false","false","false","false","1500.0","slide","true","false","false","false","","true","","","","a0qWD00000GTAUxYAP","a16WD000005UIBlYAO","MappedSObjectScreenResource","","","42921319449214013","Contact","","","",""
"a0qWD00000GSgkbYAD","false","Expand Loan Relationship","","","a0sWD00000Xo7l0YAB","false","false","false","false","","false","false","false","false","false","4.0","slide","true","false","false","false","","false","","6.0","","","","MappedSObjectScreenResource","","","42923904608254347","LLC_BI__Legal_Entities__c","","","",""
"a0qWD00000GSgkcYAD","false","Income Schedule","","","a0sWD00000Xo7m5YAB","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42926344984929280","LLC_BI__Income__c","","","",""
"a0qWD00000GSgkdYAD","false","SBL Personal SSN","","","a0sWD00000Xo7mEYAR","false","false","false","false","{{IF=""A OR B""}} {{COND=""A"" FIELD=""Contact.cm_Is_Existing_Customer__c"" IS=""1""}}{{COND=""B"" FIELD=""Contact.LLC_BI__Identity_Verification_Status__c"" IS=""Pass""}}{{ENDIF}}","false","false","false","false","false","1.0","slide","true","false","false","false","","true","","","","a0qWD00000GSgM9YAL","a16WD000005UI0WYAW","MappedSObjectListScreenResource","","","42926577454195418","Contact","","","",""
"a0qWD00000GSgkeYAD","false","Details  - EO Part 2 -Citizenship/Residency","","","a0sWD00000Xo7jrYAB","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","a16WD000005UI1WYAW","MappedSObjectScreenResource","","","42926671799872871","Contact","","","",""
"a0qWD00000GSgkfYAD","false","Booked Details","","","a0sWD00000Xo7jqYAB","false","false","false","false","","true","true","false","false","false","6.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42926917196790253","LLC_BI__Loan__c","","","",""
"a0qWD00000GSgkgYAD","false","Add Debt","","","a0sWD00000Xo7m5YAB","false","false","false","false","","true","true","false","false","false","3.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42929792296271645","LLC_BI__Debt__c","","","",""
"a0qWD00000GSgkhYAD","false","Add to Maintenance Order","","","a0sWD00000Xo7jBYAR","false","false","false","false","","false","true","false","false","false","2.0","slide","true","false","false","false","","false","","","","","","MappedSObjectHierarchyScreenResource","","","42935727552304145","LLC_BI__Requirement__c","","","",""
"a0qWD00000GSgkiYAD","false","Booked Facilities","","","a0sWD00000Xo7jUYAR","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","SObjectScreenResource","","","42937243322140215","LLC_BI__Loan__c","","","",""
"a0qWD00000GSgkjYAD","false","UI Config Builder - Add a New Screen Section","","","a0sWD00000Xo7jzYAB","false","false","false","false","","true","true","false","false","false","600.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42938252300420525","nFORCE__Screen_Section__c","","","",""
"a0qWD00000GSgVBYA1","false","Mobile","","","a0sWD00000Xo7d7YAB","false","false","false","false","{{IF=/""A AND B/""}} {{COND=/""A/"" FIELD=/""Contact.cm_Is_Existing_Customer__c/"" IS=/""0/""}}{{COND=/""B/"" FIELD=/""Contact.LLC_BI__Identity_Verification_Status__c/"" NOT=/""Pass/""}}{{ENDIF}}","false","false","false","false","false","1625.0","slide","true","false","false","false","","true","","","","a0qWD00000GSgUcYAL","a16WD000005UI40YAG","MappedSObjectScreenResource","","","42938951357932420","Contact","","","",""
"a0qWD00000GSgkkYAD","false","Debt Schedule","","","a0sWD00000Xo7m5YAB","false","false","false","false","","true","true","false","false","false","0.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42938992628976136","LLC_BI__Debt__c","","","",""
"a0qWD00000GSgklYAD","false","Copy Loan","","","a0sWD00000Xo7jxYAB","false","false","false","false","","false","false","false","false","false","0.0","slide","true","false","false","false","","false","","","","","","SObjectScreenResource","","","42945299036468299","LLC_BI__Loan__c","","","",""
"a0qWD00000GSgkmYAD","false","Property Location","","","a0sWD00000Xo7kGYAR","false","false","false","false","","true","true","false","false","false","2.0","slide","true","false","false","false","","true","","","","","","MappedSObjectScreenResource","","","42945510542805521","LLC_BI__Loan__c","","","",""
