"Id","OwnerId","IsDeleted","Name","nFORMS__Description__c","nFORMS__Enable_FLS__c","nFORMS__Enforce_Masking__c","nFORMS__Filter__c","nFORMS__Form_Purpose__c","nFORMS__Is_Active__c","nFORMS__Output_Type__c","nFORMS__Page_Dimension_Unit__c","nFORMS__Page_Width__c","nFORMS__Primary_Object__c","nFORMS__Save_To_Docman__c","nFORMS__Template_Input_Type__c","nFORMS__lookupKey__c","nFORMS__Document_Output_Type__c"
"a5rWE000000FjQMYA0","005al00000RVcKvAAL","false","LT021 Consent to Security","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2198E+16","Word"
"a5rWE000000FjQNYA0","005al00000RVcKvAAL","false","Small Business Credit Memo - TEST","","true","true","","Credit Memo","false","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.22163E+16","HTML"
"a5rWE000000FjQOYA0","005al00000RVcKvAAL","false","FM013 Third Party report Request","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.22676E+16","Word"
"a5rWE000000FjQPYA0","005al00000RVcKvAAL","false","Modification Request","Modification Template","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","true","HTML","4.22876E+16","HTML"
"a5rWE000000FjQQYA0","005al00000RVcKvAAL","false","FM052 Prec Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23218E+16","Word"
"a5rWE000000FjQRYA0","005al00000RVcKvAAL","false","FM070 B2L Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.23228E+16","Word"
"a5rWE000000FjQSYA0","005al00000RVcKvAAL","false","Jay Test","","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","false","HTML","4.23431E+16","HTML"
"a5rWE000000FjPtYAK","005al00000RVcKvAAL","false","FM032 Short Form Review","","true","true","","General","false","Word","Inches","","Account","false","Word","4.2391E+16","Word"
"a5rWE000000FjQTYA0","005al00000RVcKvAAL","false","FM076 Business Profile Additional info","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24092E+16","Word"
"a5rWE000000FjQUYA0","005al00000RVcKvAAL","false","LT020 Undertaking/Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24464E+16","Word"
"a5rWE000000FjQVYA0","005al00000RVcKvAAL","false","LT022 Consent to Security follow up","","true","true","","General","false","Word","Inches","","Account","false","Word","4.24643E+16","Word"
"a5rWE000000FjPuYAK","005al00000RVcKvAAL","false","FM065 DS1 Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24733E+16","Word"
"a5rWE000000FjQWYA0","005al00000RVcKvAAL","false","FM061 Board Minutes","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24795E+16","Word"
"a5rWE000000FjQXYA0","005al00000RVcKvAAL","false","LT023 Cert of Covenant Compliance","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24897E+16","Word"
"a5rWE000000FjQYYA0","005al00000RVcKvAAL","false","LT017 Letter of Non Crystalisation","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.24958E+16","Word"
"a5rWE000000FjQZYA0","005al00000RVcKvAAL","false","FM056 Prec Legal Charge B2L","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25084E+16","Word"
"a5rWE000000FjPvYAK","005al00000RVcKvAAL","false","FM036 Borrowers Application Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25126E+16","Word"
"a5rWE000000FjQaYAK","005al00000RVcKvAAL","false","FM068 Sole Director Resolution","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25171E+16","Word"
"a5rWE000000FjQbYAK","005al00000RVcKvAAL","false","FM069 B2L Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25281E+16","Word"
"a5rWE000000FjQcYAK","005al00000RVcKvAAL","false","FM066 Report on Title","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.25508E+16","Word"
"a5rWE000000FjQdYAK","005al00000RVcKvAAL","false","LT005 Decline Letter","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2569E+16","Word"
"a5rWE000000FjQeYAK","005al00000RVcKvAAL","false","FM058 Prec Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.259E+16","Word"
"a5rWE000000FjQfYAK","005al00000RVcKvAAL","false","FM067 Board Resolution","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.26561E+16","Word"
"a5rWE000000FjQgYAK","005al00000RVcKvAAL","false","IN009 Watchlist 2a Action Plan","","true","true","","General","false","Word","Inches","","Account","false","Word","4.26612E+16","Word"
"a5rWE000000FjQhYAK","005al00000RVcKvAAL","false","FM073 Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.26889E+16","Word"
"a5rWE000000FjQiYAK","005al00000RVcKvAAL","false","Boarding Data Sheet","Loan Boarding Data Sheet","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27204E+16","Word"
"a5rWE000000FjPwYAK","005al00000RVcKvAAL","false","Standard Commercial Short Form","Use this credit template for standard commercial loans.","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","4.27392E+16","HTML"
"a5rWE000000FjQjYAK","005al00000RVcKvAAL","false","FM059 Prec Sub Deed Multiple Loans","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27434E+16","Word"
"a5rWE000000FjQkYAK","005al00000RVcKvAAL","false","LT013 Valuation Instruction","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27494E+16","Word"
"a5rWE000000FjQlYAK","005al00000RVcKvAAL","false","Consumer Adverse Action- Co-Borrowers","","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27658E+16","PDF"
"a5rWE000000FjQmYAK","005al00000RVcKvAAL","false","FM053 Prec Deed of Priority: Legal Mortgage","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27804E+16","Word"
"a5rWE000000FjQnYAK","005al00000RVcKvAAL","false","Small Business Credit Memo","Credit Memo for all Small Business loans","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","4.27824E+16","HTML"
"a5rWE000000FjPxYAK","005al00000RVcKvAAL","false","MSA SCH A Change Service Form","","true","true","","General","false","Word","Inches","","LLC_BI__Treasury_Service__c","false","Word","4.27849E+16","Word"
"a5rWE000000FjQoYAK","005al00000RVcKvAAL","false","FM049 Prec Intercreditor Deed","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.27946E+16","Word"
"a5rWE000000FjQpYAK","005al00000RVcKvAAL","false","LT016 Fin Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.28262E+16","Word"
"a5rWE000000FjQqYAK","005al00000RVcKvAAL","false","Executive Pricing Summary","","true","true","","General","false","Word","Inches","","LLC_BI__Scenario__c","false","Word","4.28337E+16","Word"
"a5rWE000000FjQrYAK","005al00000RVcKvAAL","false","FM060 Prec Sub Deed Single Loan","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.28577E+16","Word"
"a5rWE000000FjQsYAK","005al00000RVcKvAAL","false","FM044 Business Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","4.28597E+16","Word"
"a5rWE000000FjQtYAK","005al00000RVcKvAAL","false","Consumer - Counter Offer- Amount/Term","","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","true","Word","4.28723E+16","PDF"
"a5rWE000000FjQuYAK","005al00000RVcKvAAL","false","FM011 Drawdown Instructions","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.28764E+16","Word"
"a5rWE000000FjQvYAK","005al00000RVcKvAAL","false","LT007 Fixed Rate Letter","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.2906E+16","Word"
"a5rWE000000FjQwYAK","005al00000RVcKvAAL","false","Review Credit Memo","Review Credit Memo","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Review__c","false","HTML","4.29398E+16","HTML"
"a5rWE000000FjQxYAK","005al00000RVcKvAAL","false","FM054 Prec Deed of Priority Mortgage Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29415E+16","Word"
"a5rWE000000FjQyYAK","005al00000RVcKvAAL","false","FM062 Business Monitoring Checklist","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29445E+16","Word"
"a5rWE000000FjQzYAK","005al00000RVcKvAAL","false","Adverse Action Letter-01","Loan Description-01","true","true","","General","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","4.29458E+16","HTML"
"a5rWE000000FjR0YAK","005al00000RVcKvAAL","false","FM050 Prec Corporate Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29478E+16","Word"
"a5rWE000000FjR1YAK","005al00000RVcKvAAL","false","Consumer Adverse Action- Borrower","","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29629E+16","PDF"
"a5rWE000000FjR2YAK","005al00000RVcKvAAL","false","FM057 Prec Legal Charge","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29677E+16","Word"
"a5rWE000000FjR3YAK","005al00000RVcKvAAL","false","FM030 How We Work with you","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","4.29687E+16","Word"
"a5rWE000000FjR4YAK","005al00000RVcKvAAL","false","Commitment Letter / Term Sheet","Generic Term Sheet","true","true","","General","true","PDF","Inches","","LLC_BI__Loan__c","false","Word","4.29721E+16","PDF"
"a5rWE000000FjR5YAK","005al00000RVcKvAAL","false","Test TISA Silver Checking","","true","true","{{IF=""A""}} {{COND=""A"" FIELD=""LLC_BI__Deposit__c.LLC_BI__Product__c"" IS=""Silver Checking""}} {{ENDIF}}","General","true","Word","Inches","","LLC_BI__Deposit__c","false","Word","4.29742E+16","PDF"
"a5rWE000000FjR6YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42009267194574885","Word"
"a5rWE000000FjR7YAK","005al00000RVcKvAAL","false","FM045 Personal Profile","","true","true","","General","false","Word","Inches","","Account","false","Word","42020628188281799","Word"
"a5rWE000000FjR8YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42023401456451523","Word"
"a5rWE000000FjR9YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42028197850756603","Word"
"a5rWE000000FjRAYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42037817115829531","PDF"
"a5rWE000000FjPyYAK","005al00000RVcKvAAL","false","Test-QA-Forms","Test-QA-Forms","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","true","HTML","42038829409225603","HTML"
"a5rWE000000FjRBYA0","005al00000RVcKvAAL","false","FM055 Prec Joint & Several Personal Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42042411914089768","Word"
"a5rWE000000FjRCYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42051313016927790","PDF"
"a5rWE000000FjRDYA0","005al00000RVcKvAAL","false","LT018 Removal of Financial Covenant","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42055857134633902","Word"
"a5rWE000000FjREYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42059793144361469","PDF"
"a5rWE000000FjRFYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42068779779325290","PDF"
"a5rWE000000FjRGYA0","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42069997663150289","Word"
"a5rWE000000FjRHYA0","005al00000RVcKvAAL","false","LT014 Consent to Lease","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42071020276903292","Word"
"a5rWE000000FjRIYA0","005al00000RVcKvAAL","false","FM075 Trust Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42071893641479859","Word"
"a5rWE000000FjRJYA0","005al00000RVcKvAAL","false","FM072 Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42077403542149912","Word"
"a5rWE000000FjUmYAK","005al00000RVcKvAAL","false","Standard Commercial Form","Standard Commercial Form","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","false","HTML","42081037088623546","HTML"
"a5rWE000000FjRKYA0","005al00000RVcKvAAL","false","FM051 Prec Cross Guarantee","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42082116380538887","Word"
"a5rWE000000FjRLYA0","005al00000RVcKvAAL","false","FM027 Indicative Offer","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42093767436381363","Word"
"a5rWE000000FjRMYA0","005al00000RVcKvAAL","false","LT019 Undertaking/Covenant Breach - BANK WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42097967735116771","Word"
"a5rWE000000FjRNYA0","005al00000RVcKvAAL","false","LT004 Redemption Statement","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42103547441834510","Word"
"a5rWE000000FjROYA0","005al00000RVcKvAAL","false","FM074 Trust Loan Document","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42108760346767185","Word"
"a5rWE000000FjRPYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42113823555409253","PDF"
"a5rWE000000FjRQYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42115568668126769","PDF"
"a5rWE000000FjRRYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42118287649184613","PDF"
"a5rWE000000FjRSYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42127356873804917","PDF"
"a5rWE000000FjRTYA0","005al00000RVcKvAAL","false","Third Party Report","","true","true","","General","false","Word","Inches","","LLC_BI__third_party_report__c","false","Word","42130136388507743","Word"
"a5rWE000000FjRUYA0","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42134830026472621","Word"
"a5rWE000000FjRVYA0","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42135828847051017","Word"
"a5rWE000000FjRWYA0","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42139620352851587","Word"
"a5rWE000000FjRXYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42151487232476024","PDF"
"a5rWE000000FjRYYA0","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42157652323073427","PDF"
"a5rWE000000FjRZYA0","005al00000RVcKvAAL","false","FM071 Precedent CP Schedule","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42181529788565016","Word"
"a5rWE000000FjRaYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42181710548380104","Word"
"a5rWE000000FjRbYAK","005al00000RVcKvAAL","false","LT015 Fin Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42190913319781664","Word"
"a5rWE000000FjRcYAK","005al00000RVcKvAAL","false","LT021 Consent to Security","","true","true","","General","false","Word","Inches","","Account","false","Word","42197989400103839","Word"
"a5rWE000000FjRdYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42206927051761099","PDF"
"a5rWE000000FjReYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42209145353409151","PDF"
"a5rWE000000FjRfYAK","005al00000RVcKvAAL","false","Small Business Credit Memo - TEST","","true","true","","Credit Memo","false","HTML","Inches","","LLC_BI__Loan__c","false","HTML","42216324035716241","HTML"
"a5rWE000000FjRgYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42224305617909243","PDF"
"a5rWE000000FjRhYAK","005al00000RVcKvAAL","false","doc 3","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42225473580310248","Word"
"a5rWE000000FjUlYAK","005al00000Q6IbCAAV","false","Appraisal Request Letter","Template to begin an Appraisal Request Letter","true","true","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","42225895354932322","Word"
"a5rWE000000FjRiYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42231596150847946","Word"
"a5rWE000000FjRjYAK","005al00000RVcKvAAL","false","doc 1","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42237058375246407","Word"
"a5rWE000000FjRkYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42239323176056773","Word"
"a5rWE000000FjRlYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42248545062272022","PDF"
"a5rWE000000FjRmYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42265404896089035","Word"
"a5rWE000000FjRnYAK","005al00000RVcKvAAL","false","FM013 Third Party report Request","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42267610599491672","Word"
"a5rWE000000FjRoYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42281111182235479","Word"
"a5rWE000000FjUiYAK","005al00000RVcKvAAL","false","Modification Request","Modification Template","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Product_Package__c","true","HTML","42287555452295220","HTML"
"a5rWE000000FjRpYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42288055684314503","PDF"
"a5rWE000000FjRqYAK","005al00000RVcKvAAL","false","FM052 Prec Debenture","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42321789492070522","Word"
"a5rWE000000FjRrYAK","005al00000RVcKvAAL","false","FM070 B2L Loan Terms","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42322802940776608","Word"
"a5rWE000000FjRsYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42334059232320862","Word"
"a5rWE000000FjRtYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42335066631517234","Word"
"a5rWE000000FjRuYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42342873546406331","PDF"
"a5rWE000000FjRvYAK","005al00000RVcKvAAL","false","Jay Test","","true","true","","Credit Memo","true","HTML","Inches","","LLC_BI__Loan__c","false","HTML","42343088485857355","HTML"
"a5rWE000000FjRwYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42345326140802431","PDF"
"a5rWE000000FjRxYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42354726315294788","PDF"
"a5rWE000000FjRyYAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42373254164061622","Word"
"a5rWE000000FjRzYAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42390898097665817","PDF"
"a5rWE000000FjPzYAK","005al00000RVcKvAAL","false","FM032 Short Form Review","","true","true","","General","false","Word","Inches","","Account","false","Word","42391045522310857","Word"
"a5rWE000000FjUdYAK","005al00000Q6IbCAAV","false","Adverse Action Letter - Co-Borrower","Adverse Action Letter for the Co-Borrower","true","true","","General","true","PDF","Inches","","LLC_BI__Loan__c","false","HTML","42391397655616539","PDF"
"a5rWE000000FjS0YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42392736851943544","Word"
"a5rWE000000FjS1YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42395953023796829","Word"
"a5rWE000000FjS2YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42406448913287983","Word"
"a5rWE000000FjS3YAK","005al00000RVcKvAAL","false","FM076 Business Profile Additional info","","true","true","","General","false","Word","Inches","","Account","false","Word","42409231045934953","Word"
"a5rWE000000FjS4YAK","005al00000RVcKvAAL","false","newData Added for Fee Template - 2","","true","true","","General","false","","Inches","","LLC_BI__Treasury_Service__c","false","HTML","42420003835689863","PDF"
"a5rWE000000FjS5YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42420711345390332","Word"
"a5rWE000000FjS6YAK","005al00000RVcKvAAL","false","doc 2","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42426631184484603","Word"
"a5rWE000000FjS7YAK","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42437531963680910","Word"
"a5rWE000000FjS8YAK","005al00000RVcKvAAL","false","LT020 Undertaking/Covenant Breach - NON WAIVER","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42446392565420356","Word"
"a5rWE000000FjS9YAK","005al00000RVcKvAAL","false","LT022 Consent to Security follow up","","true","true","","General","false","Word","Inches","","Account","false","Word","42464282472576933","Word"
"a5rWE000000FjUsYAK","005al00000Q6IbCAAV","false","Commitment Letter","Commercial Baseline - Commitment Letter Template","false","false","","General","true","Word","Inches","","LLC_BI__Loan__c","false","Word","42464591334310949","Word"
"a5rWE000000FjSAYA0","005al00000RVcKvAAL","false","newData Added for Fee Template -1","","true","true","","General","false","","Inches","","Account","false","Word","42464814546014306","Word"
"a5rWE000000FjQ0YAK","005al00000RVcKvAAL","false","FM065 DS1 Form","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42473251223102654","Word"
"a5rWE000000FjSBYA0","005al00000RVcKvAAL","false","Davillers","","true","true","","General","false","","Inches","","Account","false","Word","42476371003946995","PDF"
"a5rWE000000FjSCYA0","005al00000RVcKvAAL","false","FM061 Board Minutes","","true","true","","General","false","Word","Inches","","LLC_BI__Loan__c","false","Word","42479517625721157","Word"
