"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9iLbYAJ","false","SC-000020450","1.01","UI_Compliance_Information","","","","false","","","a0qWD00000GSgRFYA1","","","false","02091585311472179","LLC_BI__Loan__c"
"a0vWD00000B9iwBYAR","false","SC-000022578","1.01","Loan_UI_Third_Party_Mgmt_Route","","","","false","a0vWD00000B9iSAYAZ","LLC_BI__Service_Mgmt__r","a0qWD00000GSgYNYA1","","","false","0240312506404973B853312B2B112446","LLC_BI__Service_Mgmt__c"
"a0vWD00000B9iLcYAJ","false","SC-000020451","0.0","LLC_BI__UI_CRA_Loan_Information","","","","false","","","a0qWD00000GSgULYA1","Loan Information","","false","02511585311472184","LLC_BI__Loan__c"
"a0vWD00000B9iQrYAJ","false","SC-000020776","10.0","","","","","false","","","a0qWD00000GSgVHYA1","","","false","02551701790671954","LLC_BI__Deposit__c"
"a0vWD00000B9iLdYAJ","false","SC-000020452","1.01","IBCL_Consumer_Next_Steps","","a0bWD0000011L6fYAE","0.0","false","","","a0qWD00000GSgQvYAL","","","false","02651602764632535","LLC_BI__Loan__c"
"a0vWD00000B9iLeYAJ","false","SC-000020453","1.01","OA_Primary_ID_Details","","a0bWD0000011L6gYAE","0.0","false","","","a0qWD00000GSgRDYA1","","","false","02691598553324362","Contact"
"a0vWD00000B9ipzYAB","false","SC-000022194","2.01","UI_Borrowing_Structure","","","","false","a0vWD00000B9iKtYAJ","LLC_BI__Legal_Entities__r","a0qWD00000GSTTTYA5","Borrowing Structure","","false","02741560278867810","LLC_BI__Legal_Entities__c"
"a0vWD00000B9iQsYAJ","false","SC-000020777","1.01","","","a0bWD0000011L9oYAE","0.0","false","","","a0qWD00000GSgVFYA1","","","false","03111701790671952","LLC_BI__Deposit__c"
"a0vWD00000B9iRvYAJ","false","SC-000020842","1.01","UI_Loan_Details","","a0bWD0000011L9uYAE","","false","","","a0qWD00000GSgVSYA1","","","false","033E170D704C4E2F896F103579001216","LLC_BI__Loan__c"
"a0vWD00000B9j0YYAR","false","SC-000022849","1.01","nRetail__Third_Party_Related_List","","","","false","a0vWD00000B9imzYAB","LLC_BI__Service_Mgmt__r","a0qWD00000GSghhYAD","","","false","03561619447516044","LLC_BI__Service_Mgmt__c"
"a0vWD00000B9iLfYAJ","false","SC-000020454","0.0","nRetail__Decision_Overview","","","","false","","","a0qWD00000GSgU5YAL","Decision_Overview","","false","03711600720268232","LLC_BI__Loan__c"
"a0vWD00000B9iLgYAJ","false","SC-000020455","0.0","nRetail__Underwriting_Overview","","","","false","","","a0qWD00000GSgQrYAL","Underwriting_Overview","","false","04461663700626418","LLC_BI__Loan__c"
"a0vWD00000B9inEYAR","false","SC-000022163","1.01","","","","","false","","","a0qWD00000GSghTYAT","Risk Rating","","false","04551619447516057","LLC_BI__Loan__c"
"a0vWD00000B9iLhYAJ","false","SC-000020456","1.01","nPortal__SBL_Others_Involved_Multi_Record","","","","false","","","a0qWD00000GSgTbYAL","","","false","04571666029078196","Contact"
"a0vWD00000B9iLiYAJ","false","SC-000020457","0.0","LLC_BI__UI_CRA_Action_Taken","","","","false","","","a0qWD00000GSgTtYAL","Action Taken","","false","05651585311472159","LLC_BI__Loan__c"
"a0vWD00000B9iq0YAB","false","SC-000022195","2.0","LLC_BI__UI_HMDA_Demographic_Questions","","","","false","a0vWD00000B9iKyYAJ","LLC_BI__Legal_Entities__r","a0qWD00000GSgMBYA1","HMDA","","false","05841620937672802","LLC_BI__Legal_Entities__c"
"a0vWD00000B9iLjYAJ","false","SC-000020458","1.01","SBL_Eligibility_Loan","","","","false","","","a0qWD00000GSgR2YAL","","","false","05921666029078200","LLC_BI__Loan__c"
"a0vWD00000B9lQLYAZ","false","SC-000027194","3.01","LLC_BI__UI_HMDA_Entity_Compliance_2018","","","","false","a0vWD00000B9izLYAR","LLC_BI__Entity_Compliances__r","a0qWD00000GSglIYAT","Entity Compliance","","false","06051619447516050","LLC_BI__Entity_Compliance__c"
"a0vWD00000B9iLkYAJ","false","SC-000020459","0.0","LLC_BI__Add_Income","","","","false","","","a0qWD00000GSgRYYA1","Add Income","","false","06621600720268231","LLC_BI__Income__c"
"a0vWD00000B9iLlYAJ","false","SC-000020460","1.01","","","","","false","","","a0qWD00000GSgU9YAL","Loan Relationship","","false","07361585311472189","LLC_BI__Loan__c"
"a0vWD00000B9iRwYAJ","false","SC-000020843","1.01","","","a0bWD0000011L9sYAE","0.0","false","","","a0qWD00000GSgYHYA1","","","false","07691B0A7C6F4D2BA75D060F435A6C7D","LLC_BI__Loan__c"
"a0vWD00000B9iQtYAJ","false","SC-000020778","1.01","","","a0bWD0000011L6tYAE","0.0","false","","","a0qWD00000GSgVGYA1","","","false","07901701790671951","LLC_BI__Deposit__c"
"a0vWD00000B9iLmYAJ","false","SC-000020461","1.01","RequiredLoanFieldsToCreateRateOrPayment","","","0.0","false","","","a0qWD00000GSgTiYAL","","","false","08241585311472167","LLC_BI__Loan__c"
"a0vWD00000B9inFYAR","false","SC-000022164","0.0","LLC_BI__Payment_Component_Extended_Fields","","","","false","","","a0qWD00000GSglFYAT","","","false","08271619447516047","LLC_BI__Pricing_Payment_Component__c"
"a0vWD00000B9iLnYAJ","false","SC-000020462","0.0","LLC_BI__UI_CRA_Property_Location","","","","false","","","a0qWD00000GSgTqYAL","Property Location","","false","08661585311472160","LLC_BI__Loan__c"
