"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nPortal__Portal_Header_Text__c","nFORCE__Taxonomy_Id__c","nPortal__Portal_Icon_Path__c","nFORCE__Parameters__c","nPortal__Portal_Subheader_Text__c","nPortal__Search_Object_Filter__c","nPortal__Search_Object_Type__c","nPortal__Search_Results_Fieldset__c","nPortal__Search_Select_Active_Text__c","nFORCE__Body_Type__c","nFORCE__Description__c","nPortal__Search_Select_Text__c"
"a2Ebn000000DJu3EAG","005bn000003k2JdAAI","","Decision History","small-business-loan-post-approval-ui-decision-history","llc_bi__loanautodecisionscorecardhistory","","n-icon-analyze","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","12201663700623976","","retail-loan-decision-history","","","","","","","","","",""
"a2Ebn000000ECIcEAO","005bn000003k2JdAAI","","Account Options","deposit-account-origination---baseline-account-options2","llc_bi__ancillary_services_product_creation","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","12211701790670180","","account-options_2023R1","","","","","","","","","",""
"a2Ebn000000ECIYEA4","005bn000003k2JdAAI","","Ownership Structure and Roles","deposit-account-origination---baseline-ownership-structure-and-roles2","llc_bi__multitierinvolvement","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","12291701790670176","","ownership-structure-and-roles_2023R1","","","","","","","","","",""
"a2Ebn000000CRHhEAO","005bn000003kBWnAAM","","Documents","m-retail-documents","nforce__blank","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","13851560278866600","","m-retail-documents","","","","","","","","","",""
"a2Ebn000000DJtOEAW","005bn000003k2JdAAI","","Policy Exceptions","small-business-loan-ui-policy-exceptions","llc_bi__policyexceptions","","n-icon-exception","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","14531640791244945","","policy-exception","","","","","","","","","",""
"a2Ebn000000DJtwEAG","005bn000003k2JdAAI","","Manual Underwriting","small-business-loan-post-approval-ui-manual-underwriting","nforce__ncdatagrid","","","false","nforce__navigation","","","a2Gbn000000kG3jEAE","nforce__sub_navigation","","nforce__topbar","14711663700623970","","next-step-manual-underwriting","","","","","","","","Visualforce Page","",""
"a2Ebn000000CRHgEAO","005bn000003kBWnAAM","","Offers","m-retail-offers","nretail__offers","","n-icon-loan","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","14801560278866600","","m-retail-offers","","","","","","","","","",""
"a2Ebn000000CRPVEA4","005bn000003k2JdAAI","","Entity Compliance","post-approval-entity-compliance","llc_bi__hmda_entity_compliance","","n-icon-hmda","false","nforce__navigation","","","a2Gbn000000hcgNEAQ","nforce__sub_navigation","","nforce__topbar","15091619447513736","","post-approval-entity-compliance","","","","","","","","","",""
"a2Ebn000000Cwd0EAC","005bn000003k2JdAAI","","Core-Specific Information","atbk-booking-core-specific-deposit","atbk__corespecific","","n-icon-entity","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","150F1F5A197E4001B8412E1700267564","","","","","","","","","","","",""
"a2Ebn000000CRIwEAO","005bn000003k2JdAAI","","Reg O","comm-accel-loan-reg-o","llc_bi__Questionnaire_Loan_App","","n-icon-hmda","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","15171615577844686","","comm-accel-loan-reg-o","","","","","","","","","",""
