"Id","OwnerId","IsDeleted","Name","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c","nPortal__Context_Type__c","nPortal__Is_Portal_Enabled__c","ChexSystems_route__c"
"a2Bbn000000J53BEAS","005bn000003k2JdAAI","","zzzMASTER-Loan - Default","m-loan-default","42437678991602102","false","false","false","","","m-loan-default","","","","PSO Clone - Not Used","","","false",""
"a2Bbn000000J53bEAC","005bn000003k2JdAAI","","Account Covenant","COV_Account","42441109320717903","false","false","false","","","","","","","","","","false",""
"a2Bbn000000J53HEAS","005bn000003k2JdAAI","","MASTER-Loan - Commercial","m-commercial","42444854997057659","false","false","false","","","m-commercial","","","","","","","false",""
"a2Bbn000000J53IEAS","005bn000003k2JdAAI","","zzzMASTER-Loan - Card","m-card","42454587536386082","false","false","false","","","m-card","","","","PSO Clone - Not Used","","","false",""
"a2Bbn000000J52SEAS","005bn000003k2JdAAI","","DMW Comments Group","DMW_Ancillary_Revenue_Modal_2","42481350694044625","false","false","false","a2Bbn000000J52PEAS","a2Gbn000000hccREAQ","","","","","","","","false",""
"a2Bbn000000J53MEAS","005bn000003k2JdAAI","","DocuSign","docusign","42493559830866569","false","false","false","","","docusign","","","","","","","false",""
"a2Bbn000000J52wEAC","005bn000003k2JdAAI","","Test","tmmg-Test00-00","42511983079847080","false","false","false","","a2Gbn000000hccMEAQ","tmmg-Test00-00","","","","","","","false",""
"a2Bbn000000J52mEAC","005bn000003kBWnAAM","","zzzSession (Not Used) - Unsecured Term Loan","term","42522017816930892","false","false","false","","","term","","","","Packaged - Do not use as this is not maintained (Summer 19)","","","false",""
"a2Bbn000000J52YEAS","005bn000003k2JdAAI","","Product Package Details","pp-details","42543592196307027","false","false","false","","","pp-details","","","","","","","false",""
"a2Bbn000000J53NEAS","005bn000003kBWeAAM","","nCino UI Builder","uiconfig","42557072293211678","false","false","false","","a2Gbn000000hccOEAQ","uiconfig","","","","","","","false",""
"a2Bbn000000J535EAC","005bn000003k2JdAAI","","Deposit Beneficiary Maintenance","dep-pm-beneficiary","42557821139915648","false","false","false","","","dep-pm-beneficiary","","","","","","","false",""
"a2Bbn000000J52eEAC","005bn000003k2JdAAI","","Counterparty Report","counterparty-report","42604168176930459","false","false","false","","a2Gbn000000hccJEAQ","counterparty-report","","","","","","","false",""
"a2Bbn000000J53VEAS","005bn000003k2JdAAI","","Loan Customer Creation Business","loan-cc-bus","42604178718324788","false","false","false","","","loan-cc-bus","","","","","","","false",""
"a2Bbn000000J52VEAS","005bn000003k2JdAAI","","Reg W","","42609568878702857","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J52dEAC","005bn000003k2JdAAI","","Customer Portal","customer-portal","42618985083488670","false","false","false","","","customer-portal","Customer Dashboard","","","","","","false",""
"a2Bbn000000J52XEAS","005bn000003k2JdAAI","","CRA","","42628075973481801","false","false","true","","","","","","","","","","false",""
"a2Bbn000000J52ZEAS","005bn000003k2JdAAI","","Treasury Proforma","treasury-proforma","42632675207231296","false","false","false","","","treasury-proforma","","","","","","","false",""
"a2Bbn000000J52kEAC","005bn000003kBWnAAM","","zzzSession (Not Used) - Vehicle Loan","veh-loan-grp","42633052120866545","false","false","false","","","veh-loan-grp","","","","Packaged - Do not use as this is not maintained (Summer 19)","","","false",""
"a2Bbn000000J53REAS","005bn000003k2JdAAI","","Relationship","relationship","42635757875411396","false","false","false","","","relationship","","","","","","","false",""
"a2Bbn000000J539EAC","005bn000003k2JdAAI","","Treasury Services","treasury-default","42641407286729576","false","false","false","","","treasury-default","","","","","","","false",""
"a2Bbn000000J52REAS","005bn000003k2JdAAI","","DMW Additional Income Group","DMW_Ancillary_Revenue_Modal_1","42658409791791901","false","false","false","a2Bbn000000J52PEAS","a2Gbn000000hccQEAQ","","","","","","","","false",""
"a2Bbn000000J52hEAC","005bn000003k2JdAAI","","Secured Small Business Loan Application (Individual Other Involved)","portal-sbl-secured-other","42658790117959030","false","false","false","a2Bbn000000J52gEAC","","portal-sbl-secured-other","","","","","","","false",""
"a2Bbn000000LQnYEAW","005bn000003k2JdAAI","","Loan Gold Questions","","42662481910622078","false","false","true","","","","","","","","","","false",""
"a2Bbn000000LTFaEAO","005bn000003k2JdAAI","","Deposit Application (Individual) - Additional Owner","portal-perdep-owner-odao","42668082779579811","false","false","false","a2Bbn000000LTFZEA4","","portal-perdep-owner-odao","Online Application","a2Cbn000002VbE2EAK","","","","Owner","true","portal-perdep-owner-odao.perdep-owner-eid"
"a2Bbn000000LQnWEAW","005bn000003k2JdAAI","","DAO- Individual-Account Due Diligence","dao-ind-add","42677444022408553","false","false","true","","","dao-ind-add","","","Deposit","","","","true",""
"a2Bbn000000LTFbEAO","005bn000003k2JdAAI","","Deposit Application (Business)","portal-dep-bus","42693416628638679","false","false","false","","","portal-dep-bus","Online Application","a2Cbn000002VbE2EAK","","","","Applicant","true",""
"a2Bbn000000J53SEAS","005bn000003k2JdAAI","","Deposit Customer Creation Individual","dep-cc-ind","42753016822525984","false","false","false","","","dep-cc-ind","","","","","","","false",""
"a2Bbn000000J53PEAS","005bn000003k2JdAAI","","MASTER-Product Package Details","m-pp-details","42754447670500511","false","false","false","","","m-pp-details","","","","","","","false",""
"a2Bbn000000LTFdEAO","005bn000003k2JdAAI","","Deposit Booking UI","deposit-booking","42788024293596456","false","false","false","","","deposit-booking","","","","","","","false",""
"a2Bbn000000J536EAC","005bn000003k2JdAAI","","Deposit Ownership and Roles Maintenance","dep-pm-structure-and-roles","42792102819560802","false","false","false","","","dep-pm-structure-and-roles","","","","","","","false",""
"a2Bbn000000J52pEAC","005bn000003kBWnAAM","","Small Business Loan Workflow","sbl-group","42806046586701337","false","false","false","","","sbl-group","","","","","","","false",""
"a2Bbn000000J538EAC","005bn000003k2JdAAI","","CD Renewal","dep-pm-renew-cd","42837111203817960","false","false","false","","","dep-pm-renew-cd","","","","","","","false",""
"a2Bbn000000J52QEAS","005bn000003k2JdAAI","","DMW Treasury Income Group","DMW_Ancillary_Revenue_Modal_0","42839940097258523","false","false","false","a2Bbn000000J52PEAS","a2Gbn000000hccPEAQ","","","","","","","","false",""
"a2Bbn000000LTFeEAO","005bn000003k2JdAAI","","Productized Retail Lending","productized-retail-lending","42845150078169205","false","false","false","","","productized-retail-lending","","","","","The productized route group includes the retail route templates required for a faster configuration and implementation  experience. Users must clone this group as needed for each loan product type as this specific route group is template-only.","","false",""
"a2Bbn000000J531EAC","005bn000003k2JdAAI","","Loan","loan","42873438710069149","false","false","false","","","loan","","","","","","","false",""
"a2Bbn000000J53UEAS","005bn000003k2JdAAI","","Loan Customer Creation Individual","loan-cc-ind","42874089776727817","false","false","false","","","loan-cc-ind","","","","","","","false",""
"a2Bbn000000J52iEAC","005bn000003k2JdAAI","","Small Business Loan Application","portal-sbloan","42877593676380574","false","false","false","","","portal-sbloan","Online Application","","","","","Applicant","true",""
