"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","LLC_BI__Spread_Statement_Type__c","LLC_BI__Color__c","LLC_BI__Debit__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Group_Type__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Is_Summary_Group__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Row_Number__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Title__c","LLC_BI__Total_Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Grand_Total__c"
"a51WD00000ZIrpHYAT","false","Total Gross Intangibles","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjPYAR","","false","None","Financial","false","false","false","true","false","false","","","","22.5","false","","Gross Intangibles","Standard","comm-bl-42049378292142687","false"
"a51WD00000ZIrrLYAT","false","M-3 Part II: Column B Adjustments","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjmYAB","","false","None","Financial","false","false","false","false","false","false","","","","39.84375","false","","M-3 PART II: COLUMN B (ENTER +/- AS REPORTED ON RETURN)","Standard","comm-bl-42051029162530614","false"
"a51WD00000ZIrrVYAT","false","Profitability","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjRYAR","","false","None","Financial","false","true","false","true","false","false","","","","60.0","false","","Profitability","Standard","comm-bl-42051436003260469","false"
"a51WD00000ZIrqxYAD","false","Gross Cash Flow (subT)","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjjYAB","","false","Cash Flow","Financial","false","false","false","true","false","false","","","","70.0","false","","Gross Cash Flow (Subtotal)","Standard","comm-bl-42052936353499752","false"
"a51WD00000ZIrp6YAD","false","Total Extraordinary Income","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjOYAR","","false","None","Financial","false","false","false","true","false","false","","","","110.0","false","","Extraordinary Items","Standard","comm-bl-42055198779039708","false"
"a51WD00000ZIrptYAD","false","Cash Flow Coverage","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjaYAB","","false","None","Financial","false","true","false","true","false","false","","","","130.0","false","","Cash Flow Coverage","Standard","comm-bl-42055313507905784","false"
"a51WD00000ZIrtxYAD","false","Book Operating Profit","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjtYAB","","false","None","Financial","false","false","false","true","false","false","","","","50.0","false","","Book Operating Profit","Standard","comm-bl-42056238978922456","false"
"a51WD00000ZIrqUYAT","false","Gross Profit","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjeYAB","","false","None","Financial","true","false","false","true","false","false","","","","30.0","false","","Gross Profit","Standard","comm-bl-42056898873600025","false"
"a51WD00000ZIrqYYAT","false","Business Net Profit/(Loss)","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjeYAB","","false","None","Financial","true","false","false","true","false","false","","","","70.0","false","","Business Net Profit/(Loss)","Standard","comm-bl-42058901424370306","false"
"a51WD00000ZIroTYAT","false","Net Cash from Funding","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjKYAR","","false","None","Financial","true","false","false","true","false","false","","","","201.0","false","","Cash from Funding","Standard","comm-bl-42064399833860110","false"
"a51WD00000ZIrsFYAT","false","Total Changes in Equity Accounts","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjVYAR","","false","None","Financial","false","false","false","true","false","false","","","","30.0","false","","Changes in Equity Accounts","Standard","comm-bl-42066067456226265","false"
"a51WD00000ZIrrQYAT","false","Partial Year Adjustment","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjRYAR","","false","None","Decimal","false","false","false","true","false","false","","","","10.0","false","","Partial Year Adjustment","Standard","comm-bl-42068717720917331","false"
"a51WD00000ZIroDYAT","false","CASH AFTER OPERATIONS","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjKYAR","","false","None","Financial","true","false","false","true","false","false","","","","41.0","false","","Cash After Operations","Standard","comm-bl-42074082968167955","false"
"a51WD00000ZIrppYAD","false","Loan Assumption 2","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButkAYAR","","false","None","Financial","false","true","false","false","false","false","","","","75.0","false","","Loan Assumption 2","Standard","comm-bl-42075065152313139","false"
"a51WD00000ZIroqYAD","false","Net Change in Borrowing","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjNYAR","","false","None","Financial","false","false","false","true","false","false","","","","51.0","false","","Change in Borrowing","Standard","comm-bl-42076364811113317","false"
"a51WD00000ZIrqCYAT","false","Total Non-Liquid Assets","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjcYAB","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Non-Liquid Assets","Standard","comm-bl-42076770300802628","false"
"a51WD00000ZIrqIYAT","false","Personal Income","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjdYAB","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","Personal Income","Standard","comm-bl-42077059567283630","false"
"a51WD00000ZIrsQYAT","false","Margin After Term Debt Service","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjWYAR","","false","None","Financial","true","false","false","true","false","false","","","","63.75","false","","Margin After Term Debt Service","Standard","comm-bl-42077732516687399","false"
"a51WD00000ZIruLYAT","false","CF Available to Service Debt","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjvYAB","","false","None","Financial","false","false","false","true","false","false","","","","10.0","false","","CF Available to Service Debt","Standard","comm-bl-42080447413032880","false"
"a51WD00000ZIrqGYAT","false","Total Adjustments to NW","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjcYAB","","false","None","Financial","false","false","false","true","false","false","","","","60.0","false","","Adjustments to Net Worth","Standard","comm-bl-42081139756053153","false"
"a51WD00000ZIrwRYAT","false","Total Other Income (Loss)","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001Butk6YAB","","false","None","Financial","false","false","false","true","false","false","","","","35.0","false","","Other Income (Loss)","Standard","comm-bl-42081172806690350","false"
"a51WD00000ZIrspYAD","false","Net Inc. After Owner Withdrawals","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjXYAR","","false","None","Financial","false","false","false","true","false","false","","","","90.0","false","","Net Inc. After WD & Div.","Standard","comm-bl-42082391755805535","false"
"a51WD00000ZIrprYAD","false","Loan Metrics","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButkAYAR","","false","None","Financial","false","true","false","true","false","false","","","","90.0","false","","Loan Metrics","Standard","comm-bl-42085954747524712","false"
"a51WD00000ZIrwkYAD","false","Total Non-Current Liabilities","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001Butk8YAB","","false","None","Financial","false","false","false","true","false","false","","","","50.0","false","","Non-Current Liabilities","Standard","comm-bl-42088965795327796","false"
"a51WD00000ZIrrfYAD","false","Total Other Expense","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjSYAR","","false","None","Financial","false","false","false","true","false","false","","","","65.0","false","","Other Expense","Standard","comm-bl-42091645624650049","false"
"a51WD00000ZIruzYAD","false","Net Change in Borrowing","2026-04-07T19:32:43.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjzYAB","","false","None","Financial","false","false","false","true","false","false","","","","190.0","false","","Change in Borrowing","Standard","comm-bl-42092519473674701","false"
"a51WD00000ZIrqMYAT","false","Schedule K-1 Income","2026-04-07T19:32:39.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjdYAB","","false","None","Financial","false","false","false","true","false","false","","","","60.0","false","","Schedule K-1 Income","Standard","comm-bl-42093102161544171","false"
"a51WD00000ZIrtBYAT","false","Pro Forma Sensitized Cash Flow Coverage","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjnYAB","","false","None","Financial","false","true","false","false","false","false","","","","80.0","false","","Pro Forma Sensitized Cash Flow Coverage","Standard","comm-bl-42105903417024366","false"
"a51WD00000ZIrtNYAT","false","Total Non-Current Assets","2026-04-07T19:32:42.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","005al00000RVcKvAAL","2026-07-22T10:51:10.000Z","","","a55WD00001ButjpYAB","","false","None","Financial","false","false","false","true","false","false","","","","20.0","false","","Non-Current Assets","Standard","comm-bl-42108466355979152","false"
