"Id","IsDeleted","Name","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Linked__c","LLC_BI__Linked_Spread_Statement_Record__c","LLC_BI__Linked_Spread_Statement_Total_Group__c","LLC_BI__Operation_Add__c","LLC_BI__Operation_Divide__c","LLC_BI__Operation_Multiply__c","LLC_BI__Operation_Subtract__c","LLC_BI__Operation__c","LLC_BI__Period_Over_Period_Change__c","LLC_BI__Row_Number__c","LLC_BI__Spread_Statement_Record_Total__c","LLC_BI__lookupKey__c","LLC_BI__Record_Type__c","LLC_BI__Prior_Fiscal_Year__c","LLC_BI__Display_Type__c","LLC_BI__KPI_Type__c","LLC_BI__Period_Over_Prior_Fiscal_Year__c","LLC_BI__Formula__c","LLC_BI__Source_Row__c","LLC_BI__Cloned_Source_Row__c","LLC_BI__Formula_Long_Text__c","LLC_BI__Associated_Parent_Record__c"
"a18bn000001a18TAAQ","","Effect of Accounting Chg","a19bn000001uMdeAAE","false","true","","","","","","","","ADD","false","30.0","a16bn00000108g9AAA","42474070282775184","Standard","false","Group","","false","","","","",""
"a18bn000001a1lxAAA","","Current Period Interest Expense","a19bn000001uMUvAAM","false","true","","","","","","","","ADD","false","11.0","a16bn00000108XIAAY","42474097728241771","Simulated","false","Group","","false","","","","<#Interest_Expense_ACCTGRD>*-1",""
"a18bn000001a1UfAAI","","Gain on Sale of Assets","a19bn000001uMUWAA2","false","true","","","","","","","","ADD","false","21.0","a16bn00000108J3AAI","42474195975415073","Standard","false","Group","","false","","","","",""
"a18bn000001a1GfAAI","","Cash from Sales","a19bn000001uMdSAAU","false","true","","","","","","","","ADD","false","1.0","a16bn00000108dbAAA","42474350890381519","Simulated","false","Group","","false","","","","<#DCF_Cash_Collected_from_Sales_ACCTGRD> + <#DCF_Cash_Paid_to_Suppliers_ACCTGRD>",""
"a18bn000001a1CbAAI","","General & Administrative","a19bn000001uMdjAAE","false","true","","","","","","","","ADD","false","100.0","a16bn00000108gvAAA","42474506854653441","Standard","false","Group","","false","","","","",""
"a18bn000001a1lPAAQ","","Non-Cash Expense","a19bn000001uMUwAAM","true","true","","","","","","","","ADD","false","21.0","a16bn00000108XlAAI","42474893193801621","Simulated","false","Group","","false","","","","<#NonCash_Expense_ACCTGRD>*-1",""
"a18bn000001a1t3AAA","","Supplies","a19bn000001uMUoAAM","false","true","","","","","","","","ADD","false","151.0","a16bn00000108WjAAI","42475021679601463","Standard","false","Group","","false","","","","",""
"a18bn000001a1cfAAA","","Average Total Farm Assets","a19bn000001uMUYAA2","false","true","","","","","","","","ADD","false","16.0","a16bn00000108JNAAY","42475242906989044","Simulated","false","Group","","false","","","","IF(<#Prior_Period_Total_Farm_Assets_ACCTGRD> > 0, ((<#Total_Assets_ACCTGRD>-<#Prior_Period_Total_Farm_Assets_ACCTGRD>)/2),<#Total_Assets_ACCTGRD>)",""
"a18bn000001a1rYAAQ","","Trade notes and accts receivable","a19bn000001uMUdAAM","false","true","","","","","","","","ADD","false","21.0","a16bn00000108V7AAI","42475532677472791","Standard","false","Group","","false","","","","",""
"a18bn000001a1TSAAY","","Long Term Debt - Bank","a19bn000001uMUUAA2","false","true","","","","","","","","ADD","false","1.0","a16bn00000108IlAAI","42475712796019473","Standard","false","Group","","false","","","","",""
