"Id","IsDeleted","Name","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Category__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c"
"a1UWD0000024FNw2AM","false","CLA-BD-0001053","a1WWD000002Ehn72AC","0.0","","Rough Carpentry Labor","","61.0","","","","","a23bn000001w0QdAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FNx2AM","false","CLA-BD-0001054","a1WWD000002Ehn72AC","0.0","","Rough Carpentry Material","","62.0","","","","","a23bn000001w0QeAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FNy2AM","false","CLA-BD-0001055","a1WWD000002Ehn72AC","0.0","","Sheet Metal","","63.0","","","","","a23bn000001w0QfAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FNz2AM","false","CLA-BD-0001056","a1WWD000002Ehn72AC","0.0","","Insulation","","64.0","","","","","a23bn000001w0QgAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO02AM","false","CLA-BD-0001057","a1WWD000002Ehn72AC","0.0","","Glass & Glazing","","65.0","","","","","a23bn000001w0QhAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO12AM","false","CLA-BD-0001058","a1WWD000002Ehn72AC","0.0","","Ceramic tile","","69.0","","","","","a23bn000001w0QiAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO22AM","false","CLA-BD-0001059","a1WWD000002Ehn72AC","0.0","","Drywall & Metal Studs","","66.0","","","","","a23bn000001w0QjAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO32AM","false","CLA-BD-0001060","a1WWD000002Ehn72AC","0.0","","Acoustic Tile","","67.0","","","","","a23bn000001w0QkAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO42AM","false","CLA-BD-0001061","a1WWD000002Ehn72AC","0.0","","Painting","","68.0","","","","","a23bn000001w0QlAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO52AM","false","CLA-BD-0001062","a1WWD000002Ehn72AC","0.0","","EIFS / Lath & Plaster","","70.0","","","","","a23bn000001w0QmAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO62AM","false","CLA-BD-0001063","a1WWD000002Ehn72AC","0.0","","Misc. S.S.","","71.0","","","","","a23bn000001w0QnAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO72AM","false","CLA-BD-0001064","a1WWD000002Ehn72AC","0.0","","Toilet accessories","","72.0","","","","","a23bn000001w0QoAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO82AM","false","CLA-BD-0001065","a1WWD000002Ehn72AC","0.0","","GC Installed Items","","73.0","","","","","a23bn000001w0QpAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FO92AM","false","CLA-BD-0001066","a1WWD000002Ehn72AC","0.0","","H.V.A.C. System","","74.0","","","","","a23bn000001w0QqAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOA2A2","false","CLA-BD-0001067","a1WWD000002Ehn72AC","0.0","","TABC - Air Balance (Required)","","75.0","","","","","a23bn000001w0QrAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOB2A2","false","CLA-BD-0001068","a1WWD000002Ehn72AC","0.0","","Plumbing","","76.0","","","","","a23bn000001w0QsAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOC2A2","false","CLA-BD-0001069","a1WWD000002Ehn72AC","0.0","","Fire Sprinkler (if required)","","77.0","","","","","a23bn000001w0QtAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOD2A2","false","CLA-BD-0001070","a1WWD000002Ehn72AC","0.0","","Metal Fab","","78.0","","","","","a23bn000001w0QuAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOE2A2","false","CLA-BD-0001071","a1WWD000002Ehn72AC","0.0","","Electrical Material","","82.0","","","","","a23bn000001w0QvAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOF2A2","false","CLA-BD-0001072","a1WWD000002Ehn72AC","0.0","","Cedar brackets","","79.0","","","","","a23bn000001w0QwAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOG2A2","false","CLA-BD-0001073","a1WWD000002Ehn72AC","0.0","","Termite Treat","","80.0","","","","","a23bn000001w0QxAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOH2A2","false","CLA-BD-0001074","a1WWD000002Ehn72AC","0.0","","Electrical Labor","","81.0","","","","","a23bn000001w0QyAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOI2A2","false","CLA-BD-0001075","a1WWD000002Ehn72AC","0.0","","Power Management System","","83.0","","","","","a23bn000001w0QzAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOJ2A2","false","CLA-BD-0001076","a1WWD000002Ehn72AC","0.0","","F.R.P. and marlite","","86.0","","","","","a23bn000001w0R0AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOK2A2","false","CLA-BD-0001077","a1WWD000002Ehn72AC","0.0","","Gas to Property Line","","1.0","","","","","a23bn000001w0R1AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOL2A2","false","CLA-BD-0001078","a1WWD000002Ehn72AC","0.0","","Water to Property line","","2.0","","","","","a23bn000001w0R2AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOM2A2","false","CLA-BD-0001079","a1WWD000002Ehn72AC","0.0","","Sewer to Property Line","","3.0","","","","","a23bn000001w0R3AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FON2A2","false","CLA-BD-0001080","a1WWD000002Ehn72AC","0.0","","New electric service","","4.0","","","","","a23bn000001w0R4AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOO2A2","false","CLA-BD-0001081","a1WWD000002Ehn72AC","0.0","","Power pole - new or relocate","","5.0","","","","","a23bn000001w0R5AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOP2A2","false","CLA-BD-0001082","a1WWD000002Ehn72AC","0.0","","Street light - new or relocate","","6.0","","","","","a23bn000001w0R6AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOQ2A2","false","CLA-BD-0001083","a1WWD000002Ehn72AC","0.0","","Telephone Pole","","7.0","","","","","a23bn000001w0R7AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOR2A2","false","CLA-BD-0001084","a1WWD000002Ehn72AC","0.0","","Off site fire hydrant","","8.0","","","","","a23bn000001w0R8AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOS2A2","false","CLA-BD-0001085","a1WWD000002Ehn72AC","0.0","","Traffic signals - new or relocate","","9.0","","","","","a23bn000001w0R9AAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOT2A2","false","CLA-BD-0001086","a1WWD000002Ehn72AC","0.0","","Offsite Demolition","","10.0","","","","","a23bn000001w0RAAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOU2A2","false","CLA-BD-0001087","a1WWD000002Ehn72AC","0.0","","New Curb & Gutter","","11.0","","","","","a23bn000001w0RBAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOV2A2","false","CLA-BD-0001088","a1WWD000002Ehn72AC","0.0","","New sidewalk","","12.0","","","","","a23bn000001w0RCAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOW2A2","false","CLA-BD-0001089","a1WWD000002Ehn72AC","0.0","","New approaches","","13.0","","","","","a23bn000001w0RDAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOX2A2","false","CLA-BD-0001090","a1WWD000002Ehn72AC","0.0","","Street paving and markings","","14.0","","","","","a23bn000001w0REAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOY2A2","false","CLA-BD-0001091","a1WWD000002Ehn72AC","0.0","","Temp sidewalk","","15.0","","","","","a23bn000001w0RFAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOZ2A2","false","CLA-BD-0001092","a1WWD000002Ehn72AC","0.0","","Storm Drain","","16.0","","","","","a23bn000001w0RGAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOa2AM","false","CLA-BD-0001093","a1WWD000002Ehn72AC","0.0","","Relocate Transformer","","17.0","","","","","a23bn000001w0RHAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOb2AM","false","CLA-BD-0001094","a1WWD000002Ehn72AC","0.0","","Survey","","18.0","","","","","a23bn000001w0RIAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOc2AM","false","CLA-BD-0001095","a1WWD000002Ehn72AC","0.0","","Soils","","20.0","","","","","a23bn000001w0RJAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOd2AM","false","CLA-BD-0001096","a1WWD000002Ehn72AC","0.0","","Landscaping w/ Irrigation (Required)","","36.0","","","","","a23bn000001w0RKAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOe2AM","false","CLA-BD-0001097","a1WWD000002Ehn72AC","0.0","","Bollard w/ Covers","","37.0","","","","","a23bn000001w0RLAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOf2AM","false","CLA-BD-0001098","a1WWD000002Ehn72AC","0.0","","Fire Sprinkler Service","","38.0","","","","","a23bn000001w0RMAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOg2AM","false","CLA-BD-0001099","a1WWD000002Ehn72AC","0.0","","Erosion & Dust Control","","39.0","","","","","a23bn000001w0RNAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOh2AM","false","CLA-BD-0001100","a1WWD000002Ehn72AC","0.0","","Fire Hydrant","","40.0","","","","","a23bn000001w0ROAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOi2AM","false","CLA-BD-0001101","a1WWD000002Ehn72AC","0.0","","Dumpster Approach","","41.0","","","","","a23bn000001w0RPAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOj2AM","false","CLA-BD-0001102","a1WWD000002Ehn72AC","0.0","","Wheel stops","","42.0","","","","","a23bn000001w0RQAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOk2AM","false","CLA-BD-0001103","a1WWD000002Ehn72AC","0.0","","Preasure Washing","","43.0","","","","","a23bn000001w0RRAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOl2AM","false","CLA-BD-0001104","a1WWD000002Ehn72AC","0.0","","Service Yard Conc/CMU","","44.0","","","","","a23bn000001w0RSAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOm2AM","false","CLA-BD-0001105","a1WWD000002Ehn72AC","0.0","","Barricades/Signs","","45.0","","","","","a23bn000001w0RTAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOn2AM","false","CLA-BD-0001106","a1WWD000002Ehn72AC","0.0","","Signage","","46.0","","","","","a23bn000001w0RUAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOo2AM","false","CLA-BD-0001107","a1WWD000002Ehn72AC","0.0","","Misc.","","47.0","","","","","a23bn000001w0RVAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOp2AM","false","CLA-BD-0001108","a1WWD000002Ehn72AC","0.0","","Building Demolition","","48.0","","","","","a23bn000001w0RWAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOq2AM","false","CLA-BD-0001109","a1WWD000002Ehn72AC","0.0","","Building Concrete Material","","49.0","","","","","a23bn000001w0RXAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOr2AM","false","CLA-BD-0001110","a1WWD000002Ehn72AC","0.0","","Building Concrete Labor","","50.0","","","","","a23bn000001w0RYAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOs2AM","false","CLA-BD-0001111","a1WWD000002Ehn72AC","0.0","","Concrete Foundation( Include building slab)","","51.0","","","","","a23bn000001w0RZAAY","0.0","0.0","0.0","0.0"
"a1UWD0000024FOt2AM","false","CLA-BD-0001112","a1WWD000002Ehn72AC","0.0","","Masonry/Building","","52.0","","","","","a23bn000001w0RaAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOu2AM","false","CLA-BD-0001113","a1WWD000002Ehn72AC","0.0","","Structural Steel","","53.0","","","","","a23bn000001w0RbAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOv2AM","false","CLA-BD-0001114","a1WWD000002Ehn72AC","0.0","","Wood Doors","","56.0","","","","","a23bn000001w0RcAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOw2AM","false","CLA-BD-0001115","a1WWD000002Ehn72AC","0.0","","Finish Lumber & Doors","","54.0","","","","","a23bn000001w0RdAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOx2AM","false","CLA-BD-0001116","a1WWD000002Ehn72AC","0.0","","Metal Doors & Frames","","55.0","","","","","a23bn000001w0ReAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOy2AM","false","CLA-BD-0001117","a1WWD000002Ehn72AC","0.0","","Finish Hardware","","57.0","","","","","a23bn000001w0RfAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FOz2AM","false","CLA-BD-0001118","a1WWD000002Ehn72AC","0.0","","Framing Labor","","58.0","","","","","a23bn000001w0RgAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP02AM","false","CLA-BD-0001119","a1WWD000002Ehn72AC","0.0","","Misc.","","92.0","","","","","a23bn000001w0RhAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP12AM","false","CLA-BD-0001120","a1WWD000002Ehn72AC","0.0","","Grade fill / cut","","21.0","","","","","a23bn000001w0RiAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP22AM","false","CLA-BD-0001121","a1WWD000002Ehn72AC","0.0","","Site Demolition","","22.0","","","","","a23bn000001w0RjAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP32AM","false","CLA-BD-0001122","a1WWD000002Ehn72AC","0.0","","Retaining wall","","23.0","","","","","a23bn000001w0RkAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP42AM","false","CLA-BD-0001123","a1WWD000002Ehn72AC","0.0","","Trash Enclosure","","24.0","","","","","a23bn000001w0RlAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP52AM","false","CLA-BD-0001124","a1WWD000002Ehn72AC","0.0","","Concrete slabs/curbs (do not include in building slab)","","25.0","","","","","a23bn000001w0RmAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024FP62AM","false","CLA-BD-0001125","a1WWD000002Ehn72AC","0.0","","Storm Drain","","26.0","","","","","a23bn000001w0RnAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YMv2AM","false","CLA-BD-0001126","a1WWD000002Ehn72AC","0.0","","Concrete Sidewalks","","27.0","","","","","a23bn000001w0RoAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YMw2AM","false","CLA-BD-0001127","a1WWD000002Ehn72AC","0.0","","Concrete light bases","","28.0","","","","","a23bn000001w0RpAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YMx2AM","false","CLA-BD-0001128","a1WWD000002Ehn72AC","0.0","","Electrical site work/labor","","29.0","","","","","a23bn000001w0RqAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YMy2AM","false","CLA-BD-0001129","a1WWD000002Ehn72AC","0.0","","Site Lighting Material","","30.0","","","","","a23bn000001w0RrAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YMz2AM","false","CLA-BD-0001130","a1WWD000002Ehn72AC","0.0","","Monument sign base construction Lang to verify if applicable","","31.0","","","","","a23bn000001w0RsAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YN02AM","false","CLA-BD-0001131","a1WWD000002Ehn72AC","0.0","","Plumbing sit work","","32.0","","","","","a23bn000001w0RtAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YN12AM","false","CLA-BD-0001132","a1WWD000002Ehn72AC","0.0","","Telephone Underground","","33.0","","","","","a23bn000001w0RuAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YN22AM","false","CLA-BD-0001133","a1WWD000002Ehn72AC","0.0","","Concrete paving","","34.0","","","","","a23bn000001w0RvAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YN32AM","false","CLA-BD-0001134","a1WWD000002Ehn72AC","0.0","","Asphalt paving & striping","","35.0","","","","","a23bn000001w0RwAAI","0.0","0.0","0.0","0.0"
"a1UWD0000024YN42AM","false","CLA-BD-0001135","a1WWD000002Ehn82AC","0.0","","Landscaping","","3.0","","","","","a23bn000001w0RxAAI","0.0","0.0","","0.0"
"a1UWD0000024YN52AM","false","CLA-BD-0001136","a1WWD000002Ehn82AC","0.0","","Bituminous Damproofing","","11.0","","","","","a23bn000001w0RyAAI","0.0","0.0","","0.0"
"a1UWD0000024YN62AM","false","CLA-BD-0001137","a1WWD000002Ehn82AC","0.0","","Linear Metal Ceilings","","19.0","","","","","a23bn000001w0RzAAI","0.0","0.0","","0.0"
"a1UWD0000024YN72AM","false","CLA-BD-0001138","a1WWD000002Ehn82AC","0.0","","Hydraulic Elevators","","24.0","","","","","a23bn000001w0S0AAI","0.0","0.0","","0.0"
"a1UWD0000024YN82AM","false","CLA-BD-0001139","a1WWD000002Ehn82AC","0.0","","Glass/Glazing","","15.0","","","","","a23bn000001w0S1AAI","0.0","0.0","","0.0"
"a1UWD0000024YN92AM","false","CLA-BD-0001140","a1WWD000002Ehn82AC","0.0","","General Conditions","","29.0","","","","","a23bn000001w0S2AAI","0.0","0.0","","0.0"
"a1UWD0000024YNA2A2","false","CLA-BD-0001141","a1WWD000002Ehn82AC","0.0","","S & C Bond","","30.0","","","","","a23bn000001w0S3AAI","0.0","0.0","","0.0"
"a1UWD0000024YNB2A2","false","CLA-BD-0001142","a1WWD000002Ehn82AC","0.0","","Rough Carpentry","","9.0","","","","","a23bn000001w0S4AAI","0.0","0.0","","0.0"
"a1UWD0000024YNC2A2","false","CLA-BD-0001143","a1WWD000002Ehn82AC","0.0","","Finish Carpentry/Millwork","","10.0","","","","","a23bn000001w0S5AAI","0.0","0.0","","0.0"
"a1UWD0000024YND2A2","false","CLA-BD-0001144","a1WWD000002Ehn82AC","0.0","","HVAC","","27.0","","","","","a23bn000001w0S6AAI","0.0","0.0","","0.0"
"a1UWD0000024YNE2A2","false","CLA-BD-0001145","a1WWD000002Ehn82AC","0.0","","Acoustical Ceilings","","18.0","","","","","a23bn000001w0S7AAI","0.0","0.0","","0.0"
"a1UWD0000024YNF2A2","false","CLA-BD-0001146","a1WWD000002Ehn82AC","0.0","","Structural Steel","","8.0","","","","","a23bn000001w0S8AAI","0.0","0.0","","0.0"
"a1UWD0000024YNG2A2","false","CLA-BD-0001147","a1WWD000002Ehn82AC","0.0","","Plumbing","","25.0","","","","","a23bn000001w0S9AAI","0.0","0.0","","0.0"
"a1UWD0000024YNH2A2","false","CLA-BD-0001148","a1WWD000002Ehn82AC","0.0","","Fabric Awnings","","23.0","","","","","a23bn000001w0SAAAY","0.0","0.0","","0.0"
"a1UWD0000024YNI2A2","false","CLA-BD-0001149","a1WWD000002Ehn82AC","0.0","","Doors/Frames/Hardware","","14.0","","","","","a23bn000001w0SBAAY","0.0","0.0","","0.0"
"a1UWD0000024YNJ2A2","false","CLA-BD-0001150","a1WWD000002Ehn82AC","0.0","","Unit Masonry","","7.0","","","","","a23bn000001w0SCAAY","0.0","0.0","","0.0"
"a1UWD0000024YNK2A2","false","CLA-BD-0001151","a1WWD000002Ehn82AC","0.0","","Termite Control","","2.0","","","","","a23bn000001w0SDAAY","0.0","0.0","","0.0"
"a1UWD0000024YNL2A2","false","CLA-BD-0001152","a1WWD000002Ehn82AC","0.0","","Fire Protection","","26.0","","","","","a23bn000001w0SEAAY","0.0","0.0","","0.0"
"a1UWD0000024YNM2A2","false","CLA-BD-0001153","a1WWD000002Ehn82AC","0.0","","Joint Sealers","","13.0","","","","","a23bn000001w0SFAAY","0.0","0.0","","0.0"
"a1UWD0000024YNN2A2","false","CLA-BD-0001154","a1WWD000002Ehn82AC","0.0","","Resilient and Carpet Flooring","","20.0","","","","","a23bn000001w0SGAAY","0.0","0.0","","0.0"
"a1UWD0000024YNO2A2","false","CLA-BD-0001155","a1WWD000002Ehn82AC","0.0","","Building Excavator","","4.0","","","","","a23bn000001w0SHAAY","0.0","0.0","","0.0"
"a1UWD0000024YNP2A2","false","CLA-BD-0001156","a1WWD000002Ehn82AC","0.0","","Painting","","21.0","","","","","a23bn000001w0SIAAY","0.0","0.0","","0.0"
"a1UWD0000024YNQ2A2","false","CLA-BD-0001157","a1WWD000002Ehn82AC","0.0","","Sitework","","1.0","","","","","a23bn000001w0SJAAY","0.0","0.0","","0.0"
"a1UWD0000024YNR2A2","false","CLA-BD-0001158","a1WWD000002Ehn82AC","0.0","","Misc. Specialities","","22.0","","","","","a23bn000001w0SKAAY","0.0","0.0","","0.0"
"a1UWD0000024YNS2A2","false","CLA-BD-0001159","a1WWD000002Ehn82AC","0.0","","Electrical","","28.0","","","","","a23bn000001w0SLAAY","0.0","0.0","","0.0"
"a1UWD0000024YNT2A2","false","CLA-BD-0001160","a1WWD000002Ehn82AC","0.0","","Ceramic Tile","","17.0","","","","","a23bn000001w0SMAAY","0.0","0.0","","0.0"
"a1UWD0000024YNU2A2","false","CLA-BD-0001161","a1WWD000002Ehn82AC","0.0","","Cast in Place Concrete","","5.0","","","","","a23bn000001w0SNAAY","0.0","0.0","","0.0"
"a1UWD0000024YNV2A2","false","CLA-BD-0001162","a1WWD000002Ehn82AC","0.0","","Roofing &Sheetmetal Flashing","","12.0","","","","","a23bn000001w0SOAAY","0.0","0.0","","0.0"
"a1UWD0000024YNW2A2","false","CLA-BD-0001163","a1WWD000002Ehn82AC","0.0","","Studs/Drywall/EIFS","","16.0","","","","","a23bn000001w0SPAAY","0.0","0.0","","0.0"
"a1UWD0000024YNX2A2","false","CLA-BD-0001164","a1WWD000002Ehn82AC","0.0","","Tilt-Up Precast Concrete","","6.0","","","","","a23bn000001w0SQAAY","0.0","0.0","","0.0"
"a1UWD0000024YNY2A2","false","CLA-BD-0001165","a1WWD000002Ehn82AC","0.0","","Change Orders","","36.0","","","","","a23bn000001w0SRAAY","0.0","0.0","","0.0"
"a1UWD0000024YNZ2A2","false","CLA-BD-0001166","a1WWD000002Ehn82AC","0.0","","Allowance - Precast Concrete Pane","","35.0","","","","","a23bn000001w0SSAAY","0.0","0.0","","0.0"
"a1UWD0000024YNa2AM","false","CLA-BD-0001167","a1WWD000002Ehn82AC","0.0","","Allowance - Drywall Support/Finishing","","34.0","","","","","a23bn000001w0STAAY","0.0","0.0","","0.0"
"a1UWD0000024YNb2AM","false","CLA-BD-0001168","a1WWD000002Ehn82AC","0.0","","Fee","","31.0","","","","","a23bn000001w0SUAAY","0.0","0.0","","0.0"
"a1UWD0000024YNc2AM","false","CLA-BD-0001169","a1WWD000002Ehn82AC","0.0","","Allowance - Add'l Steel Support","","33.0","","","","","a23bn000001w0SVAAY","0.0","0.0","","0.0"
"a1UWD0000024YNd2AM","false","CLA-BD-0001170","a1WWD000002Ehn82AC","0.0","","Allowance - Mis Paving Earthwork","","32.0","","","","","a23bn000001w0SWAAY","0.0","0.0","","0.0"
"a1UWD0000024YNe2AM","false","CLA-BD-0001171","a1WWD000002Ehn92AC","0.0","","Exterior Glass (7xS450)","","21.0","","","","","a23bn000001w0SXAAY","0.0","0.0","","0.0"
"a1UWD0000024YNf2AM","false","CLA-BD-0001172","a1WWD000002Ehn92AC","0.0","","General Conditions","","22.0","","","","","a23bn000001w0SYAAY","0.0","0.0","","0.0"
"a1UWD0000024YNg2AM","false","CLA-BD-0001173","a1WWD000002Ehn92AC","0.0","","O&P","","23.0","","","","","a23bn000001w0SZAAY","0.0","0.0","","0.0"
"a1UWD0000024YNh2AM","false","CLA-BD-0001174","a1WWD000002Ehn92AC","0.0","","Insurance","","24.0","","","","","a23bn000001w0SaAAI","0.0","0.0","","0.0"
"a1UWD0000024YNi2AM","false","CLA-BD-0001175","a1WWD000002Ehn92AC","0.0","","Millwork","","14.0","","","","","a23bn000001w0SbAAI","0.0","0.0","","0.0"
"a1UWD0000024YNj2AM","false","CLA-BD-0001176","a1WWD000002Ehn92AC","0.0","","Structural ( Entry Feature)","","15.0","","","","","a23bn000001w0ScAAI","0.0","0.0","","0.0"
"a1UWD0000024YNk2AM","false","CLA-BD-0001177","a1WWD000002Ehn92AC","0.0","","Concrete Fill In Plumbing Trenches","","16.0","","","","","a23bn000001w0SdAAI","0.0","0.0","","0.0"
"a1UWD0000024YNl2AM","false","CLA-BD-0001178","a1WWD000002Ehn92AC","0.0","","Site Stripping (ADA)","","17.0","","","","","a23bn000001w0SeAAI","0.0","0.0","","0.0"
"a1UWD0000024YNm2AM","false","CLA-BD-0001179","a1WWD000002Ehn92AC","0.0","","Roof Structure (Trusses, Sheeting, Labor)","","18.0","","","","","a23bn000001w0SfAAI","0.0","0.0","","0.0"
"a1UWD0000024YNn2AM","false","CLA-BD-0001180","a1WWD000002Ehn92AC","0.0","","Roofing","","19.0","","","","","a23bn000001w0SgAAI","0.0","0.0","","0.0"
