"Id","OwnerId","IsDeleted","Name","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a0dWE00000ECosNYAT","005al00000RVcKvAAL","false","OR-000899","equal to","a0gWE000001WJ7sYAG","a0eWE000005K26qYAC","a0gWE000001WJ6PYAW","a2Q3g000000TPEmEAO"
"a0dWE00000ECosOYAT","005al00000RVcKvAAL","false","OR-000900","equal to","a0gWE000001WJ6QYAW","a0eWE000005K24SYAS","a0gWE000001WJ6PYAW","a2Q3g000000TPEnEAO"
"a0dWE00000ECosPYAT","005al00000RVcKvAAL","false","OR-000901","equal to","a0gWE000001WJ6RYAW","a0eWE000005K24TYAS","a0gWE000001WJ6QYAW","a2Q3g000000TPEoEAO"
"a0dWE00000ECosQYAT","005al00000RVcKvAAL","false","OR-000902","equal to","a0gWE000001WJ7sYAG","a0eWE000005K26rYAC","a0gWE000001WJ6QYAW","a2Q3g000000TPEpEAO"
"a0dWE00000ECosRYAT","005al00000RVcKvAAL","false","OR-000903","equal to","a0gWE000001WJ6SYAW","a0eWE000005K24UYAS","a0gWE000001WJ6RYAW","a2Q3g000000TPEqEAO"
"a0dWE00000ECosSYAT","005al00000RVcKvAAL","false","OR-000904","equal to","a0gWE000001WJ7sYAG","a0eWE000005K26sYAC","a0gWE000001WJ6RYAW","a2Q3g000000TPErEAO"
"a0dWE00000ECosTYAT","005al00000RVcKvAAL","false","OR-000905","equal to","a0gWE000001WJ6TYAW","a0eWE000005K24VYAS","a0gWE000001WJ6SYAW","a2Q3g000000TPEsEAO"
"a0dWE00000ECosUYAT","005al00000RVcKvAAL","false","OR-000906","equal to","a0gWE000001WJ7sYAG","a0eWE000005K26tYAC","a0gWE000001WJ6SYAW","a2Q3g000000TPEtEAO"
"a0dWE00000ECosVYAT","005al00000RVcKvAAL","false","OR-000907","equal to","a0gWE000001WJ7iYAG","a0eWE000005K26XYAS","a0gWE000001WJ7jYAG","a2Q3g000000TPEuEAO"
"a0dWE00000ECosWYAT","005al00000RVcKvAAL","false","OR-000908","equal to","a0gWE000001WJ7eYAG","a0eWE000005K26uYAC","a0gWE000001WJ71YAG","a2Q3g000000TPEvEAO"
"a0dWE00000ECosXYAT","005al00000RVcKvAAL","false","OR-000909","equal to","a0gWE000001WJ7cYAG","a0eWE000005K26uYAC","a0gWE000001WJ71YAG","a2Q3g000000TPEwEAO"
"a0dWE00000ECosYYAT","005al00000RVcKvAAL","false","OR-000910","equal to","a0gWE000001WJ7dYAG","a0eWE000005K26uYAC","a0gWE000001WJ71YAG","a2Q3g000000TPExEAO"
"a0dWE00000ECosZYAT","005al00000RVcKvAAL","false","OR-000911","equal to","a0gWE000001WJ7fYAG","a0eWE000005K26uYAC","a0gWE000001WJ71YAG","a2Q3g000000TPEyEAO"
"a0dWE00000ECosaYAD","005al00000RVcKvAAL","false","OR-000912","equal to","a0gWE000001WJ7gYAG","a0eWE000005K26uYAC","a0gWE000001WJ71YAG","a2Q3g000000TPEzEAO"
"a0dWE00000ECosbYAD","005al00000RVcKvAAL","false","OR-000913","equal to","a0gWE000001WJ6jYAG","a0eWE000005K24cYAC","a0gWE000001WJ6ZYAW","a2Q3g000000TPF0EAO"
